Unique_ID,Season_Lookup,Season,season_num,team_id,Team Name,player_id_notclean,player_id_clean,Player Name,Position,Total Played,Total Starts
team_id_31|Season5|Sukesh Hegde,Season5,PKL_S5,5,31,Gujarat Giants,111,111,Sukesh Hegde,Raider,18,18
team_id_31|Season5|Mahendra Rajput,Season5,PKL_S5,5,31,Gujarat Giants,163,163,Mahendra Rajput,Raider,17,5
team_id_31|Season5|Chandran Ranjit,Season5,PKL_S5,5,31,Gujarat Giants,36,36,Chandran Ranjit,Raider,11,9
team_id_31|Season5|Pawan Sehrawat,Season5,PKL_S5,5,31,Gujarat Giants,318,318,Pawan Sehrawat,Raider,9,1
team_id_31|Season5|Rakesh Narwal,Season5,PKL_S5,5,31,Gujarat Giants,204,204,Rakesh Narwal,Raider,6,5
team_id_31|Season5|Manoj Kumar,Season5,PKL_S5,5,31,Gujarat Giants,70,70,Manoj Kumar,Left Cover,5,0
team_id_31|Season5|Vikas Kale,Season5,PKL_S5,5,31,Gujarat Giants,#N/A,-1,Vikas Kale,Right Cover,2,0
team_id_31|Season5|Mahipal Narwal,Season5,PKL_S5,5,31,Gujarat Giants,#N/A,-1,Mahipal Narwal,All Rounder,2,0
team_id_31|Season5|C Kalai Arasan,Season5,PKL_S5,5,31,Gujarat Giants,#N/A,-1,C Kalai Arasan,Defender,1,0
team_id_31|Season5|Amit Rathi,Season5,PKL_S5,5,31,Gujarat Giants,#N/A,-1,Amit Rathi,Raider,1,0
team_id_31|Season5|Sultan Dange,Season5,PKL_S5,5,31,Gujarat Giants,#N/A,-1,Sultan Dange,Raider,0,0
team_id_31|Season5|Seong Ryeol Kim,Season5,PKL_S5,5,31,Gujarat Giants,#N/A,-1,Seong Ryeol Kim,All Rounder,0,0
team_id_28|Season5|Wazir Singh,Season5,PKL_S5,5,28,Haryana Steelers,124,124,Wazir Singh,Raider,21,21
team_id_28|Season5|Surender Nada,Season5,PKL_S5,5,28,Haryana Steelers,146,146,Surender Nada,Left Corner,21,21
team_id_28|Season5|Mohit Chhillar,Season5,PKL_S5,5,28,Haryana Steelers,71,71,Mohit Chhillar,Right Corner,20,20
team_id_28|Season5|Vikas,Season5,PKL_S5,5,28,Haryana Steelers,734,734,Vikas,Right Corner,19,4
team_id_28|Season5|Rakesh Singh Kumar,Season5,PKL_S5,5,28,Haryana Steelers,158,158,Rakesh Singh Kumar,Left Cover,19,19
team_id_28|Season5|Surjeet Singh,Season5,PKL_S5,5,28,Haryana Steelers,119,119,Surjeet Singh,Raider,17,14
team_id_28|Season5|Neeraj Kumar,Season5,PKL_S5,5,28,Haryana Steelers,637,637,Neeraj Kumar,Right Cover,17,16
team_id_28|Season5|Prashanth Kumar Rai,Season5,PKL_S5,5,28,Haryana Steelers,155,155,Prashanth Kumar Rai,Raider,16,11
team_id_28|Season5|Deepak Kumar Dahiya,Season5,PKL_S5,5,28,Haryana Steelers,174,174,Deepak Kumar Dahiya,Raider,16,10
team_id_28|Season5|Vikash Khandola,Season5,PKL_S5,5,28,Haryana Steelers,#N/A,-1,Vikash Khandola,Raider,9,9
team_id_28|Season5|Parmod Narwal,Season5,PKL_S5,5,28,Haryana Steelers,150,150,Parmod Narwal,All Rounder,6,4
team_id_28|Season5|Jeeva Gopal,Season5,PKL_S5,5,28,Haryana Steelers,53,53,Jeeva Gopal,Left Cover,6,3
team_id_28|Season5|Deepak Kumar,Season5,PKL_S5,5,28,Haryana Steelers,275,275,Deepak Kumar,All Rounder,6,0
team_id_28|Season5|Mayur Shivtarkar,Season5,PKL_S5,5,28,Haryana Steelers,3045,3045,Mayur Shivtarkar,All Rounder,5,1
team_id_28|Season5|Kuldeep Singh,Season5,PKL_S5,5,28,Haryana Steelers,732,732,Kuldeep Singh,All Rounder,5,2
team_id_28|Season5|Ashish Chhokar,Season5,PKL_S5,5,28,Haryana Steelers,195,195,Ashish Chhokar,Raider,5,3
team_id_28|Season5|Mahendra Singh Dhaka,Season5,PKL_S5,5,28,Haryana Steelers,#N/A,-1,Mahendra Singh Dhaka,Right Cover,2,2
team_id_28|Season5|Khomsan Thongkham,Season5,PKL_S5,5,28,Haryana Steelers,#N/A,-1,Khomsan Thongkham,Raider,2,0
team_id_28|Season5|David Mosambayi,Season5,PKL_S5,5,28,Haryana Steelers,266,266,David Mosambayi,Raider,2,0
team_id_28|Season5|Babu M,Season5,PKL_S5,5,28,Haryana Steelers,726,726,Babu M,Left Cover,2,1
team_id_28|Season5|Raju Lal Choudhary,Season5,PKL_S5,5,28,Haryana Steelers,#N/A,-1,Raju Lal Choudhary,Right Corner,0,0
team_id_3|Season5|Somvir Shekhar,Season5,PKL_S5,5,3,Jaipur Pink Panthers,109,109,Somvir Shekhar,Defender,22,20
team_id_3|Season5|Sidharth,Season5,PKL_S5,5,3,Jaipur Pink Panthers,611,611,Sidharth,All Rounder,21,16
team_id_3|Season5|Pawan Kumar,Season5,PKL_S5,5,3,Jaipur Pink Panthers,#N/A,-1,Pawan Kumar,Raider,21,20
team_id_3|Season5|Nitin Rawal,Season5,PKL_S5,5,3,Jaipur Pink Panthers,3065,3065,Nitin Rawal,Left Cover,21,21
team_id_3|Season5|Tushar Patil,Season5,PKL_S5,5,3,Jaipur Pink Panthers,242,242,Tushar Patil,Raider,17,15
team_id_3|Season5|Manjeet Chhillar,Season5,PKL_S5,5,3,Jaipur Pink Panthers,69,69,Manjeet Chhillar,All Rounder,15,15
team_id_3|Season5|Jasvir Singh,Season5,PKL_S5,5,3,Jaipur Pink Panthers,52,52,Jasvir Singh,Raider,15,15
team_id_3|Season5|Sunil Siddhgavali,Season5,PKL_S5,5,3,Jaipur Pink Panthers,613,613,Sunil Siddhgavali,Raider,12,8
team_id_3|Season5|Ajit Singh,Season5,PKL_S5,5,3,Jaipur Pink Panthers,3056,3056,Ajit Singh,Raider,11,2
team_id_3|Season5|Santhapanaselvam,Season5,PKL_S5,5,3,Jaipur Pink Panthers,3076,3076,Santhapanaselvam,All Rounder,10,10
team_id_3|Season5|Manoj Dhull,Season5,PKL_S5,5,3,Jaipur Pink Panthers,233,233,Manoj Dhull,Right Corner,9,3
team_id_3|Season5|Kamal Kishor,Season5,PKL_S5,5,3,Jaipur Pink Panthers,#N/A,-1,Kamal Kishor,Raider,7,2
team_id_3|Season5|Rahul Choudhary,Season5,PKL_S5,5,3,Jaipur Pink Panthers,738,738,Rahul Choudhary,Raider,5,1
team_id_3|Season5|Selvamani K,Season5,PKL_S5,5,3,Jaipur Pink Panthers,264,264,Selvamani K,Raider,3,2
team_id_3|Season5|Navneet Gautam,Season5,PKL_S5,5,3,Jaipur Pink Panthers,#N/A,-1,Navneet Gautam,Left Corner,3,3
team_id_3|Season5|Abhishek N,Season5,PKL_S5,5,3,Jaipur Pink Panthers,#N/A,-1,Abhishek N,All Rounder,2,0
team_id_3|Season5|Ravinder Kumar,Season5,PKL_S5,5,3,Jaipur Pink Panthers,292,292,Ravinder Kumar,Defender,1,1
team_id_3|Season5|Jae Lee,Season5,PKL_S5,5,3,Jaipur Pink Panthers,#N/A,-1,Jae Lee,Left Corner,0,0
team_id_3|Season5|Dong Kim,Season5,PKL_S5,5,3,Jaipur Pink Panthers,#N/A,-1,Dong Kim,All Rounder,0,0
team_id_6|Season5|Vishal Mane,Season5,PKL_S5,5,6,Patna Pirates,123,123,Vishal Mane,Right Cover,26,26
team_id_6|Season5|Sachin Shingade,Season5,PKL_S5,5,6,Patna Pirates,165,165,Sachin Shingade,Left Cover,26,26
team_id_6|Season5|Pardeep Narwal,Season5,PKL_S5,5,6,Patna Pirates,197,197,Pardeep Narwal,Raider,26,26
team_id_6|Season5|Monu Goyat,Season5,PKL_S5,5,6,Patna Pirates,388,388,Monu Goyat,Raider,26,26
team_id_6|Season5|Jaideep,Season5,PKL_S5,5,6,Patna Pirates,579,579,Jaideep,Left Corner,26,26
team_id_6|Season5|Manish,Season5,PKL_S5,5,6,Patna Pirates,728,728,Manish,Right Cover,23,0
team_id_6|Season5|Vinod Kumar,Season5,PKL_S5,5,6,Patna Pirates,764,764,Vinod Kumar,Raider,21,9
team_id_6|Season5|Vijay,Season5,PKL_S5,5,6,Patna Pirates,#N/A,-1,Vijay,Raider,19,15
team_id_6|Season5|Jawahar Dagar,Season5,PKL_S5,5,6,Patna Pirates,#N/A,-1,Jawahar Dagar,Raider,18,15
team_id_6|Season5|Vikas Jaglan,Season5,PKL_S5,5,6,Patna Pirates,#N/A,-1,Vikas Jaglan,Raider,13,1
team_id_6|Season5|Satish,Season5,PKL_S5,5,6,Patna Pirates,790,790,Satish,Right Corner,10,9
team_id_6|Season5|Vishnu Uthaman,Season5,PKL_S5,5,6,Patna Pirates,580,580,Vishnu Uthaman,Raider,3,1
team_id_6|Season5|Virender Singh,Season5,PKL_S5,5,6,Patna Pirates,#N/A,-1,Virender Singh,Right Corner,3,2
team_id_6|Season5|Md. Zakir Hossain,Season5,PKL_S5,5,6,Patna Pirates,#N/A,-1,Md. Zakir Hossain,Raider,1,0
team_id_6|Season5|Sandeep,Season5,PKL_S5,5,6,Patna Pirates,#N/A,-1,Sandeep,Defender,0,0
team_id_6|Season5|Parveen Birwal,Season5,PKL_S5,5,6,Patna Pirates,#N/A,-1,Parveen Birwal,All Rounder,0,0
team_id_6|Season5|Mohammad Maghshoudulu,Season5,PKL_S5,5,6,Patna Pirates,#N/A,-1,Mohammad Maghshoudulu,All Rounder,0,0
team_id_6|Season5|Arvind Kumar,Season5,PKL_S5,5,6,Patna Pirates,#N/A,-1,Arvind Kumar,All Rounder,0,0
team_id_7|Season5|Rajesh Mondal,Season5,PKL_S5,5,7,Puneri Paltan,85,85,Rajesh Mondal,Raider,24,21
team_id_7|Season5|Deepak Hooda,Season5,PKL_S5,5,7,Puneri Paltan,41,41,Deepak Hooda,All Rounder,24,24
team_id_7|Season5|Ravi Kumar,Season5,PKL_S5,5,7,Puneri Paltan,240,240,Ravi Kumar,Right Cover,23,18
team_id_7|Season5|Sandeep Narwal,Season5,PKL_S5,5,7,Puneri Paltan,142,142,Sandeep Narwal,All Rounder,21,21
team_id_7|Season5|Girish Maruti Ernak,Season5,PKL_S5,5,7,Puneri Paltan,161,161,Girish Maruti Ernak,Left Corner,21,20
team_id_7|Season5|Monu Sandhu,Season5,PKL_S5,5,7,Puneri Paltan,#N/A,-1,Monu Sandhu,Raider,19,12
team_id_7|Season5|Dharmaraj Cheralathan,Season5,PKL_S5,5,7,Puneri Paltan,42,42,Dharmaraj Cheralathan,Defender,18,14
team_id_7|Season5|Ziaur Rahman,Season5,PKL_S5,5,7,Puneri Paltan,536,536,Ziaur Rahman,Left Cover,16,16
team_id_7|Season5|Rinku Narwal,Season5,PKL_S5,5,7,Puneri Paltan,3084,3084,Rinku Narwal,Left Corner,13,5
team_id_7|Season5|Suresh Kumar,Season5,PKL_S5,5,7,Puneri Paltan,771,771,Suresh Kumar,Raider,11,1
team_id_7|Season5|Rohit Kumar Choudary,Season5,PKL_S5,5,7,Puneri Paltan,217,217,Rohit Kumar Choudary,Raider,11,5
team_id_7|Season5|Akshay Jadhav,Season5,PKL_S5,5,7,Puneri Paltan,365,365,Akshay Jadhav,Raider,10,5
team_id_7|Season5|More G B,Season5,PKL_S5,5,7,Puneri Paltan,772,772,More G B,Raider,6,5
team_id_7|Season5|Umesh Mhatre,Season5,PKL_S5,5,7,Puneri Paltan,272,272,Umesh Mhatre,Raider,5,0
team_id_7|Season5|Vikash Khatri,Season5,PKL_S5,5,7,Puneri Paltan,#N/A,-1,Vikash Khatri,Raider,1,1
team_id_7|Season5|Ajay Ghanghas,Season5,PKL_S5,5,7,Puneri Paltan,#N/A,-1,Ajay Ghanghas,All Rounder,1,0
team_id_7|Season5|Takamitsu Kono,Season5,PKL_S5,5,7,Puneri Paltan,#N/A,-1,Takamitsu Kono,All Rounder,0,0
team_id_29|Season5|K. Prapanjan,Season5,PKL_S5,5,29,Tamil Thalaivas,219,219,K. Prapanjan,Raider,22,22
team_id_29|Season5|Amit Hooda,Season5,PKL_S5,5,29,Tamil Thalaivas,212,212,Amit Hooda,Right Corner,22,22
team_id_29|Season5|Ajay Thakur,Season5,PKL_S5,5,29,Tamil Thalaivas,26,26,Ajay Thakur,Raider,22,22
team_id_29|Season5|Darshan J.,Season5,PKL_S5,5,29,Tamil Thalaivas,724,724,Darshan J.,Right Cover,20,17
team_id_29|Season5|C. Arun,Season5,PKL_S5,5,29,Tamil Thalaivas,191,191,C. Arun,Left Cover,20,20
team_id_29|Season5|Vineet Kumar,Season5,PKL_S5,5,29,Tamil Thalaivas,#N/A,-1,Vineet Kumar,Raider,18,16
team_id_29|Season5|Dong Geon Lee,Season5,PKL_S5,5,29,Tamil Thalaivas,522,522,Dong Geon Lee,Raider,17,2
