,event_no,event_half,event,event_id,event_text,raider_id,raiding_team_id,defender_id,defending_team_id,raid_points,raid_touch_points,raid_bonus_points,raid_technical_points,raid_all_out_points,defending_capture_points,defending_bonus_points,defending_technical_points,defending_all_out_points,super_raid,super_tackle,do_or_die,super_ten,high_five,review,defending_points,clock,status_id,score,seq_no,defenders,created_date,team_id,player_id,substituted_by,substitute_time
20,21,1,Timeout,8,,,,,,,,,,,,,,,,,,,,,,09:57,0,,0,,2024-02-28T21:21:16,,,,
21,22,1,Successful Raid,1,Vinay  raids successfully,3054.0,28.0,,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,09:57,0,"[6, 8]",21,[4769],2024-02-28T21:24:36,,,,
22,23,1,Empty Raid,3,Arjun Deshwal empty raid,2024.0,3.0,,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,09:36,0,"[6, 8]",22,[],2024-02-28T21:25:14,,,,
23,24,1,Successful Raid,1,Vinay  raids successfully,3054.0,28.0,,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,09:07,0,"[6, 9]",23,[5022],2024-02-28T21:25:43,,,,
24,25,1,Unsuccessful Raid,2,Arjun Deshwal unsuccessful raid,2024.0,3.0,4954.0,28.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,08:33,0,"[7, 10]",24,[4954],2024-02-28T21:26:16,,,,
25,26,1,Successful Raid,1,Vinay  raids successfully,3054.0,28.0,,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': True, 'team_id': 28, 'outcome': {'id': 0, 'outcome_value': ''}, 'reason': None}",0.0,07:51,0,"[7, 13]",25,[3574],2024-02-28T21:27:17,,,,
26,27,1,Unsuccessful Raid,2,V Ajith Kumar unsuccessful raid,3053.0,3.0,5032.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,07:38,0,"[7, 14]",26,[5032],2024-02-28T21:27:49,,,,
27,28,1,Unsuccessful Raid,2,Shivam Patare unsuccessful raid,4108.0,28.0,5022.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,07:04,0,"[8, 14]",27,[5022],2024-02-28T21:29:17,,,,
28,29,1,Unsuccessful Raid,2,Bhavani Rajput unsuccessful raid,660.0,3.0,4186.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,06:22,0,"[8, 15]",28,[4186],2024-02-28T21:29:32,,,,
29,30,1,Empty Raid,3,Ashish  empty raid,3028.0,28.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,05:54,0,"[8, 15]",29,[],2024-02-28T21:30:20,,,,
30,31,1,Successful Raid,1,Arjun Deshwal raids successfully,2024.0,3.0,,28.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,05:25,0,"[9, 15]",30,[5032],2024-02-28T21:30:47,,,,
31,32,1,Successful Raid,1,Shivam Patare raids successfully,4108.0,28.0,,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,04:51,0,"[9, 16]",31,[5022],2024-02-28T21:31:10,,,,
32,33,1,Successful Raid,1,Arjun Deshwal raids successfully,2024.0,3.0,,28.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,04:26,0,"[10, 16]",32,[4954],2024-02-28T21:31:38,,,,
33,34,1,Successful Raid,1,Shivam Patare raids successfully,4108.0,28.0,,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,03:58,0,"[10, 17]",33,[5022],2024-02-28T21:32:12,,,,
34,35,1,Successful Raid,1,Arjun Deshwal raids successfully,2024.0,3.0,,28.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,03:23,0,"[11, 17]",34,[],2024-02-28T21:32:48,,,,
