high-5s_player_name,player-tackle-points_player_name,super-10s_player_name,player-avg-tackle-points_player_name,player-successful-tackles_player_name,player-total-points_player_name,player-super-raids_player_name,player-super-tackles_player_name,player-dod-raid-points_player_name,player-raid-points_player_name,player-successful-raids_player_name,high-5s_match_played,player-tackle-points_match_played,super-10s_match_played,player-avg-tackle-points_match_played,player-successful-tackles_match_played,player-total-points_match_played,player-super-raids_match_played,player-super-tackles_match_played,player-dod-raid-points_match_played,player-raid-points_match_played,player-successful-raids_match_played,high-5s_position_name,player-tackle-points_position_name,super-10s_position_name,player-avg-tackle-points_position_name,player-successful-tackles_position_name,player-total-points_position_name,player-super-raids_position_name,player-super-tackles_position_name,player-dod-raid-points_position_name,player-raid-points_position_name,player-successful-raids_position_name,high-5s_team,player-tackle-points_team,super-10s_team,player-avg-tackle-points_team,player-successful-tackles_team,player-total-points_team,player-super-raids_team,player-super-tackles_team,player-dod-raid-points_team,player-raid-points_team,player-successful-raids_team,high-5s_team_name,player-tackle-points_team_name,super-10s_team_name,player-avg-tackle-points_team_name,player-successful-tackles_team_name,player-total-points_team_name,player-super-raids_team_name,player-super-tackles_team_name,player-dod-raid-points_team_name,player-raid-points_team_name,player-successful-raids_team_name,high-5s_team_full_name,player-tackle-points_team_full_name,super-10s_team_full_name,player-avg-tackle-points_team_full_name,player-successful-tackles_team_full_name,player-total-points_team_full_name,player-super-raids_team_full_name,player-super-tackles_team_full_name,player-dod-raid-points_team_full_name,player-raid-points_team_full_name,player-successful-raids_team_full_name,high-5s_rank,player-tackle-points_rank,super-10s_rank,player-avg-tackle-points_rank,player-successful-tackles_rank,player-total-points_rank,player-super-raids_rank,player-super-tackles_rank,player-dod-raid-points_rank,player-raid-points_rank,player-successful-raids_rank,high-5s_value,player-tackle-points_value,super-10s_value,player-avg-tackle-points_value,player-successful-tackles_value,player-total-points_value,player-super-raids_value,player-super-tackles_value,player-dod-raid-points_value,player-raid-points_value,player-successful-raids_value,high-5s_points_per_match,player-tackle-points_points_per_match,super-10s_points_per_match,player-avg-tackle-points_points_per_match,player-successful-tackles_points_per_match,player-total-points_points_per_match,player-super-raids_points_per_match,player-super-tackles_points_per_match,player-dod-raid-points_points_per_match,player-raid-points_points_per_match,player-successful-raids_points_per_match,high-5s_team_id,player-tackle-points_team_id,super-10s_team_id,player-avg-tackle-points_team_id,player-successful-tackles_team_id,player-total-points_team_id,player-super-raids_team_id,player-super-tackles_team_id,player-dod-raid-points_team_id,player-raid-points_team_id,player-successful-raids_team_id,high-5s_position_id,player-tackle-points_position_id,super-10s_position_id,player-avg-tackle-points_position_id,player-successful-tackles_position_id,player-total-points_position_id,player-super-raids_position_id,player-super-tackles_position_id,player-dod-raid-points_position_id,player-raid-points_position_id,player-successful-raids_position_id
,Jasvir Singh,,Jasvir Singh,Jasvir Singh,Jasvir Singh,,,Jasvir Singh,Jasvir Singh,Jasvir Singh,,16.0,,16.0,16.0,16,,,16.0,16.0,16.0,,Defender,,Defender,Defender,Defender,,,Defender,Defender,Defender,,,,,,,,,,,,,CHE,,CHE,CHE,CHE,,,CHE,CHE,CHE,,Tamil Thalaivas,,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,,,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,,106.0,,123.0,111.0,62,,,75.0,37.0,37.0,,4.0,,0.25,4.0,46,,,2.0,42.0,32.0,,0.25,,0.015625,0.25,2.875,,,0.125,2.625,2.0,,29.0,,29.0,29.0,29,,,29.0,29.0,29.0,,9.0,,9.0,9.0,9,,,9.0,9.0,9.0
Jeeva Kumar,Jeeva Kumar,,Jeeva Kumar,Jeeva Kumar,Jeeva Kumar,,Jeeva Kumar,,,,19.0,19.0,,19.0,19.0,19,,19.0,,,,Defender,Defender,,Defender,Defender,Defender,,Defender,,,,,,,,,,,,,,,U.P.,U.P.,,U.P.,U.P.,U.P.,,U.P.,,,,U.P. Yoddha,U.P. Yoddha,,U.P. Yoddha,U.P. Yoddha,U.P. Yoddha,,U.P. Yoddha,,,,30.0,24.0,,22.0,27.0,71,,18.0,,,,1.0,40.0,,2.11,36.0,40,,4.0,,,,0.0526315789473684,2.1052631578947367,,0.1110526315789473,1.894736842105263,2.1052631578947367,,0.2105263157894736,,,,30.0,30.0,,30.0,30.0,30,,30.0,,,,9.0,9.0,,9.0,9.0,9,,9.0,,,
,Kashiling Adake,Kashiling Adake,Kashiling Adake,Kashiling Adake,Kashiling Adake,Kashiling Adake,Kashiling Adake,Kashiling Adake,Kashiling Adake,Kashiling Adake,,20.0,20.0,20.0,20.0,20,20.0,20.0,20.0,20.0,20.0,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,BLR,BLR,BLR,BLR,BLR,BLR,BLR,BLR,BLR,BLR,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,49.0,28.0,78.0,50.0,27,15.0,50.0,29.0,29.0,28.0,,17.0,1.0,0.85,15.0,84,3.0,2.0,12.0,67.0,51.0,,0.85,0.05,0.0424999999999999,0.75,4.2,0.15,0.1,0.6,3.35,2.55,,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,,8.0,8.0,8.0,8.0,8,8.0,8.0,8.0,8.0,8.0
,Mahesh Goud,,Mahesh Goud,Mahesh Goud,Mahesh Goud,Mahesh Goud,,Mahesh Goud,Mahesh Goud,Mahesh Goud,,10.0,,10.0,10.0,10,10.0,,10.0,10.0,10.0,,Raider,,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,,,,,,,,,,,,,KOL,,KOL,KOL,KOL,KOL,,KOL,KOL,KOL,,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,,83.0,,82.0,82.0,61,16.0,,30.0,38.0,41.0,,8.0,,0.8,8.0,46,3.0,,11.0,38.0,26.0,,0.8,,0.08,0.8,4.6,0.3,,1.1,3.8,2.6,,4.0,,4.0,4.0,4,4.0,,4.0,4.0,4.0,,8.0,,8.0,8.0,8,8.0,,8.0,8.0,8.0
Manjeet Chhillar,Manjeet Chhillar,,Manjeet Chhillar,Manjeet Chhillar,Manjeet Chhillar,,Manjeet Chhillar,,Manjeet Chhillar,Manjeet Chhillar,19.0,19.0,,19.0,19.0,19,,19.0,,19.0,19.0,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,,All Rounder,,All Rounder,All Rounder,,,,,,,,,,,,CHE,CHE,,CHE,CHE,CHE,,CHE,,CHE,CHE,Tamil Thalaivas,Tamil Thalaivas,,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,,Tamil Thalaivas,,Tamil Thalaivas,Tamil Thalaivas,23.0,9.0,,6.0,10.0,37,,7.0,,77.0,76.0,2.0,59.0,,3.11,54.0,67,,5.0,,8.0,5.0,0.1052631578947368,3.1052631578947367,,0.1636842105263158,2.8421052631578947,3.526315789473684,,0.2631578947368421,,0.4210526315789473,0.2631578947368421,29.0,29.0,,29.0,29.0,29,,29.0,,29.0,29.0,0.0,0.0,,0.0,0.0,0,,0.0,,0.0,0.0
,Mohit Chhillar,,Mohit Chhillar,Mohit Chhillar,Mohit Chhillar,,Mohit Chhillar,,,,,14.0,,14.0,14.0,14,,14.0,,,,,Defender,,Defender,Defender,Defender,,Defender,,,,,,,,,,,,,,,,JAI,,JAI,JAI,JAI,,JAI,,,,,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,,,,,33.0,,21.0,33.0,84,,27.0,,,,,31.0,,2.21,28.0,31,,3.0,,,,,2.2142857142857144,,0.1578571428571428,2.0,2.2142857142857144,,0.2142857142857142,,,,,3.0,,3.0,3.0,3,,3.0,,,,,9.0,,9.0,9.0,9,,9.0,,,
,Nithesh B R,,Nithesh B R,Nithesh B R,Nithesh B R,,,,,,,2.0,,2.0,2.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLR,,BLR,BLR,BLR,,,,,,,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,,,,,,151.0,,101.0,138.0,186,,,,,,,1.0,,0.5,1.0,1,,,,,,,0.5,,0.25,0.5,0.5,,,,,,,1.0,,1.0,1.0,1,,,,,,,0.0,,0.0,0.0,0,,,,,
,Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,,21.0,21.0,21.0,21.0,21,21.0,21.0,21.0,21.0,21.0,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,HYD,HYD,HYD,HYD,HYD,HYD,HYD,HYD,HYD,HYD,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,86.0,16.0,114.0,90.0,11,11.0,67.0,1.0,12.0,9.0,,7.0,4.0,0.33,6.0,166,4.0,1.0,43.0,159.0,136.0,,0.3333333333333333,0.1904761904761904,0.0157142857142857,0.2857142857142857,7.904761904761905,0.1904761904761904,0.0476190476190476,2.047619047619047,7.571428571428571,6.476190476190476,,8.0,8.0,8.0,8.0,8,8.0,8.0,8.0,8.0,8.0,,8.0,8.0,8.0,8.0,8,8.0,8.0,8.0,8.0,8.0
,Rajaguru Subramanian,,Rajaguru Subramanian,Rajaguru Subramanian,Rajaguru Subramanian,,,,,,,8.0,,8.0,8.0,8,,,,,,,Defender,,Defender,Defender,Defender,,,,,,,,,,,,,,,,,,MUM,,MUM,MUM,MUM,,,,,,,U Mumba,,U Mumba,U Mumba,U Mumba,,,,,,,77.0,,55.0,70.0,131,,,,,,,10.0,,1.25,10.0,10,,,,,,,1.25,,0.15625,1.25,1.25,,,,,,,5.0,,5.0,5.0,5,,,,,,,9.0,,9.0,9.0,9,,,,,
,,,,,Rajesh Mondal,,,Rajesh Mondal,Rajesh Mondal,Rajesh Mondal,,,,,,11,,,11.0,11.0,11.0,,,,,,Raider,,,Raider,Raider,Raider,,,,,,,,,,,,,,,,,PUN,,,PUN,PUN,PUN,,,,,,Puneri Paltan,,,Puneri Paltan,Puneri Paltan,Puneri Paltan,,,,,,117,,,34.0,61.0,60.0,,,,,,14,,,7.0,14.0,13.0,,,,,,1.2727272727272727,,,0.6363636363636364,1.2727272727272727,1.181818181818182,,,,,,7,,,7.0,7.0,7.0,,,,,,8,,,8.0,8.0,8.0
