season,player-total-points_player_name,player-total-points_match_played,player-total-points_position_name,player-total-points_team_name,player-total-points_team_full_name,player-super-tackles_rank,player-raid-points_rank,player-super-raids_rank,high-5s_rank,player-tackle-points_rank,player-avg-tackle-points_rank,player-dod-raid-points_rank,player-total-points_rank,player-successful-tackles_rank,player-successful-raids_rank,super-10s_rank,player-super-tackles_value,player-raid-points_value,player-super-raids_value,high-5s_value,player-tackle-points_value,player-avg-tackle-points_value,player-dod-raid-points_value,player-total-points_value,player-successful-tackles_value,player-successful-raids_value,super-10s_value,player-super-tackles_points_per_match,player-raid-points_points_per_match,player-super-raids_points_per_match,high-5s_points_per_match,player-tackle-points_points_per_match,player-avg-tackle-points_points_per_match,player-dod-raid-points_points_per_match,player-total-points_points_per_match,player-successful-tackles_points_per_match,player-successful-raids_points_per_match,super-10s_points_per_match,player-super-tackles_team_id,player-raid-points_team_id,player-super-raids_team_id,high-5s_team_id,player-tackle-points_team_id,player-avg-tackle-points_team_id,player-dod-raid-points_team_id,player-total-points_team_id,player-successful-tackles_team_id,player-successful-raids_team_id,super-10s_team_id,player-super-tackles_position_id,player-raid-points_position_id,player-super-raids_position_id,high-5s_position_id,player-tackle-points_position_id,player-avg-tackle-points_position_id,player-dod-raid-points_position_id,player-total-points_position_id,player-successful-tackles_position_id,player-successful-raids_position_id,super-10s_position_id
3,Shyam Kumar Sah,7,Defender,KOL,Bengal Warriors,31,50,26,,53,59,,72,58,54,,1,7,1,,5,0.71,,12,4,4,,0.1428571428571428,1,0.1428571428571428,,0.7142857142857143,0.1014285714285714,,1.7142857142857142,0.5714285714285714,0.5714285714285714,,4,4,4,,4,4,,4,4,4,,9,9,9,,9,9,,9,9,9,
3,Sukesh Hegde,13,Raider,HYD,Telugu Titans,32,11,,,67,90,14,13,78,11,,1,61,,,3,0.23,12,64,2,49,,0.076923077,4.6923076923076925,,,0.2307692307692307,0.017692308,0.9230769230769232,4.923076923076923,0.1538461538461538,3.769230769230769,,8,8,,,8,8,8,8,8,8,,8,8,,,8,8,8,8,8,8,
3,Surjeet Narwal,12,Raider,BLR,Bengaluru Bulls,,19,14,,68,84,46,25,65,21,16,,40,2,,3,0.25,2,43,3,29,1,,3.3333333333333335,0.1666666666666666,,0.25,0.020833333,0.1666666666666666,3.5833333333333335,0.25,2.4166666666666665,0.083333333,,1,1,,1,1,1,1,1,1,1,,8,8,,8,8,8,8,8,8,8
3,Surjeet Singh,12,Raider,DEL,Dabang Delhi K.C.,,10,,,,,29,12,,10,1,,68,,,,,6,68,,54,5,,5.666666666666667,,,,,0.5,5.666666666666667,,4.5,0.4166666666666667,,2,,,,,2,2,,2,2,,8,,,,,8,8,,8,8
3,Vishal Mane,13,Defender,MUM,U Mumba,,,,,27,36,,62,25,,,,,,,16,1.23,,16,16,,,,,,,1.2307692307692308,0.094615385,,1.2307692307692308,1.2307692307692308,,,,,,,5,5,,5,5,,,,,,,9,9,,9,9,,
3,Sunil Jaipal,2,Raider,PAT,Patna Pirates,,60,,,,,,93,,53,,,4,,,,,,4,,4,,,2,,,,,,2,,2,,,6,,,,,,6,,6,,,8,,,,,,8,,8,
3,Sandeep Narwal,14,All Rounder,PAT,Patna Pirates,19,44,,2,2,3,,14,2,42,,2,9,,6,55,3.93,,64,53,8,,0.1428571428571428,0.6428571428571429,,0.4285714285714285,3.928571428571429,0.2807142857142857,,4.571428571428571,3.7857142857142856,0.5714285714285714,,6,6,,6,6,6,,6,6,6,,0,0,,0,0,0,,0,0,0,
3,Surender Nada,7,Defender,MUM,U Mumba,,83,,,32,20,,63,27,,,,1,,,13,1.86,,14,13,,,,0.1428571428571428,,,1.8571428571428572,0.2657142857142857,,2,1.8571428571428572,,,,5,,,5,5,,5,5,,,,9,,,9,9,,9,9,,
3,Prashant Chavan,6,Defender,PUN,Puneri Paltan,,,,,69,67,,96,59,,,,,,,3,0.5,,3,3,,,,,,,0.5,0.083333333,,0.5,0.5,,,,,,,7,7,,7,7,,,,,,,9,9,,9,9,,
3,Parmod Narwal,4,All Rounder,BLR,Bengaluru Bulls,,,,,75,68,,106,77,,,,,,,2,0.5,,2,2,,,,,,,0.5,0.125,,0.5,0.5,,,,,,,1,1,,1,1,,,,,,,0,0,,0,0,,
