season,team_name,Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
PKL-08,U Mumba,,7,6,50%,100.00%,,
PKL-08,U Mumba,Harendra Kumar,7,1,100%,,,100.00%
PKL-08,U Mumba,Jashandeep Singh,5,1,8%,100.00%,,
PKL-08,U Mumba,,6,5,42%,20.00%,20.00%,60.00%
PKL-08,U Mumba,,7,6,50%,33.30%,16.70%,50.00%
PKL-08,U Mumba,Kamlesh,3,1,14%,100.00%,,
PKL-08,U Mumba,,4,2,29%,50.00%,,50.00%
PKL-08,U Mumba,,7,4,57%,,25.00%,75.00%
PKL-08,U Mumba,Mohsen Maghsoudlou,2,1,2%,,,100.00%
PKL-08,U Mumba,,3,2,5%,50.00%,50.00%,
PKL-08,U Mumba,,4,4,9%,75.00%,,25.00%
PKL-08,U Mumba,,5,6,14%,66.70%,,33.30%
PKL-08,U Mumba,,6,8,18%,25.00%,37.50%,37.50%
PKL-08,U Mumba,,7,23,52%,47.80%,26.10%,26.10%
PKL-08,U Mumba,Prathap S,4,1,13%,,,100.00%
PKL-08,U Mumba,,5,1,13%,,,100.00%
PKL-08,U Mumba,,6,2,25%,,,100.00%
PKL-08,U Mumba,,7,4,50%,25.00%,50.00%,25.00%
PKL-08,U Mumba,Rahul Rana,5,2,10%,100.00%,,
PKL-08,U Mumba,,6,3,15%,66.70%,33.30%,
PKL-08,U Mumba,,7,15,75%,46.70%,26.70%,26.70%
PKL-08,U Mumba,Rinku Hc,5,1,50%,100.00%,,
PKL-08,U Mumba,,7,1,50%,100.00%,,
PKL-08,U Mumba,Shivam,3,2,4%,50.00%,50.00%,
PKL-08,U Mumba,,4,5,9%,40.00%,60.00%,
PKL-08,U Mumba,,5,11,19%,36.40%,18.20%,45.50%
PKL-08,U Mumba,,6,14,25%,21.40%,50.00%,28.60%
PKL-08,U Mumba,,7,25,44%,16.00%,52.00%,32.00%
PKL-08,U Mumba,Sunil Siddhgavali,6,1,100%,100.00%,,
PKL-08,U Mumba,V. Ajith Kumar,1,1,0%,,83.30%,16.70%
PKL-08,U Mumba,,2,12,4%,33.30%,46.70%,20.00%
PKL-08,U Mumba,,3,15,5%,39.30%,28.60%,32.10%
PKL-08,U Mumba,,4,28,10%,50.00%,22.10%,27.90%
PKL-08,U Mumba,,5,68,23%,23.10%,52.30%,24.60%
PKL-08,U Mumba,,6,65,22%,27.50%,53.90%,18.60%
PKL-08,U Mumba,,7,102,35%,,,
PKL-08,Gujarat Fortunegiants,Ajay Kumar,1,1,1%,,100.00%,
PKL-08,Gujarat Fortunegiants,,3,1,1%,100.00%,,
PKL-08,Gujarat Fortunegiants,,4,15,9%,80.00%,6.70%,13.30%
PKL-08,Gujarat Fortunegiants,,5,20,12%,70.00%,10.00%,20.00%
PKL-08,Gujarat Fortunegiants,,6,58,36%,36.20%,39.70%,24.10%
PKL-08,Gujarat Fortunegiants,,7,68,42%,30.90%,50.00%,19.10%
PKL-08,Gujarat Fortunegiants,Bhuvneshwar,4,2,40%,,50.00%,50.00%
PKL-08,Gujarat Fortunegiants,Gaur,7,3,60%,66.70%,33.30%,
PKL-08,Gujarat Fortunegiants,Girish Maruti Ern..,7,1,100%,,,100.00%
PKL-08,Gujarat Fortunegiants,Hadi Oshtorak,5,1,6%,100.00%,,
PKL-08,Gujarat Fortunegiants,,6,3,19%,100.00%,,
PKL-08,Gujarat Fortunegiants,,7,12,75%,33.30%,25.00%,41.70%
PKL-08,Gujarat Fortunegiants,Harmanjit Singh,7,1,100%,100.00%,,
PKL-08,Gujarat Fortunegiants,Mahendra Rajput,2,1,1%,,,100.00%
PKL-08,Gujarat Fortunegiants,,3,8,7%,37.50%,50.00%,12.50%
PKL-08,Gujarat Fortunegiants,,4,12,10%,41.70%,16.70%,41.70%
PKL-08,Gujarat Fortunegiants,,5,19,16%,42.10%,31.60%,26.30%
PKL-08,Gujarat Fortunegiants,,6,27,23%,29.60%,48.10%,22.20%
PKL-08,Gujarat Fortunegiants,,7,52,44%,32.70%,42.30%,25.00%
PKL-08,Gujarat Fortunegiants,Maninder Singh,5,1,25%,,,100.00%
PKL-08,Gujarat Fortunegiants,,6,3,75%,33.30%,33.30%,33.30%
PKL-08,Gujarat Fortunegiants,Pardeep Kumar,1,1,1%,,100.00%,
PKL-08,Gujarat Fortunegiants,,2,13,9%,7.70%,76.90%,15.40%
