team,season,Raider Name,Total Raids,Successful Raids,Unnamed: 3
Gujarat Fortunegiants,PKL-S9,Chandran Ranjit,162,75,46%
Gujarat Fortunegiants,PKL-S9,Sonu,80,30,38%
Gujarat Fortunegiants,PKL-S9,Mahendra Ganesh Rajput,67,39,58%
Gujarat Fortunegiants,PKL-S9,Dong Geon Lee,65,30,46%
Gujarat Fortunegiants,PKL-S9,Shankar Bhimraj Gadai,11,4,36%
Gujarat Fortunegiants,PKL-S9,Purna Singh,8,1,13%
Gujarat Fortunegiants,PKL-S9,Prashanth Kumar Rai,7,2,29%
Gujarat Fortunegiants,PKL-S9,Arkam Shaikh,7,1,14%
Gujarat Fortunegiants,PKL-S9,Rinku Narwal,5,0,0%
Gujarat Fortunegiants,PKL-S9,Pardeep Kumar,5,0,0%
Gujarat Fortunegiants,PKL-S9,Rohit Kumar,4,1,25%
Gujarat Fortunegiants,PKL-S9,Rohan Singh,1,0,0%
Gujarat Fortunegiants,PKL-S9,Mohammad Ghorbani,1,0,0%
Gujarat Fortunegiants,PKL-S9,Gaurav Chhikara,1,0,0%
Telugu Titans,PKL-S9,Siddharth Sirish Desai,224,114,51%
Telugu Titans,PKL-S9,Abhishek Singh,188,50,27%
Telugu Titans,PKL-S9,Mohsen Maghsoudlou Jaf..,111,20,18%
Telugu Titans,PKL-S9,Adarsh T,99,30,30%
Telugu Titans,PKL-S9,Vinay,95,28,29%
Telugu Titans,PKL-S9,Monu Goyat,84,22,26%
Telugu Titans,PKL-S9,K Hanumanthu,57,21,37%
Telugu Titans,PKL-S9,Rajnish,23,8,35%
Telugu Titans,PKL-S9,Vijay Kumar,15,1,7%
Telugu Titans,PKL-S9,Surjeet Singh,11,1,9%
Telugu Titans,PKL-S9,Vishal Bhardwaj,10,0,0%
Telugu Titans,PKL-S9,Prince D,7,0,0%
Telugu Titans,PKL-S9,Parvesh Bhainswal,7,0,0%
Telugu Titans,PKL-S9,Ankit,3,2,67%
Telugu Titans,PKL-S9,Mohit Pahal,2,0,0%
Telugu Titans,PKL-S9,Palla Ramakrishna,1,0,0%
Telugu Titans,PKL-S9,Nitin,1,0,0%
Telugu Titans,PKL-S9,Muhammed Shihas S,1,0,0%
