PlayerName,TeamName
Pardeep  Narwal,PatnaPirates
Ashish  Kun,PatnaPirates
Jang  Esmaeil,PatnaPirates
Mohammad  Singh,PatnaPirates
Mohit  Pratap,PatnaPirates
Monu  Choudhary,PatnaPirates
Naveen  Kumar,PatnaPirates
Purna  Dagar,PatnaPirates
Rajveersinh  Kumar,PatnaPirates
Mahendra  Oshtorak,PatnaPirates
Neeraj  Mann,PatnaPirates
Jaideep  Jaglan,PatnaPirates
,PatnaPirates
,PatnaPirates
,PatnaPirates
,PatnaPirates
,PatnaPirates
,PatnaPirates
PO  Surjeet,Puneri Paltan
Amit  Kumar,Puneri Paltan
Darshan  Kadian,Puneri Paltan
Emad  Sedaghatnia,Puneri Paltan
Manjeet  Tomar,Puneri Paltan
Nitin  Mohite,Puneri Paltan
Pankaj  Kumar,Puneri Paltan
Pawan  Sriram,Puneri Paltan
R.  Sail,Puneri Paltan
Sushant  Yadav,Puneri Paltan
Deepak  Balasaheb,Puneri Paltan
Jadhav  Tajik,Puneri Paltan
Hadi  Shinde,Puneri Paltan
Shubham  Sawant,Puneri Paltan
Sanket  Maruti,Puneri Paltan
Girish  Kumar,Puneri Paltan
Amit  B,Puneri Paltan
,Puneri Paltan
,Puneri Paltan
Ajay  Thakur,Tamil Thalivas
Anand  Chaudhari,Tamil Thalivas
Rahul  Bappu,Tamil Thalivas
Shabeer  Ajith Kumar ,Tamil Thalivas
V.  Sharma,Tamil Thalivas
Vineet  Bishnoi,Tamil Thalivas
Yashwant  Abishek,Tamil Thalivas
Ajeet  Subramanian,Tamil Thalivas
M.  Chhillar,Tamil Thalivas
Ponparthiban  Arif Robbani ,Tamil Thalivas
Himanshu  Chauhan,Tamil Thalivas
Mohit  Chhillar,Tamil Thalivas
Sagar  Singh,Tamil Thalivas
Mohammad  Onyango Obiero ,Tamil Thalivas
,Tamil Thalivas
,Tamil Thalivas
,Tamil Thalivas
,Tamil Thalivas
Abozar  Mohajermighani,Telugu Titans
Amit  Kumar,Telugu Titans
Ankit  Beniwal,Telugu Titans
Kamal  Singh,Telugu Titans
Mula  Siva,Telugu Titans
Palle  Mallikarjun,Telugu Titans
Rajnish  Gowda,Telugu Titans
Rakesh  Sirish,Telugu Titans
Siddharth  Desai,Telugu Titans
Suraj  Dattu,Telugu Titans
Aakash  Choudhary,Telugu Titans
Akash  Arun,Telugu Titans
Manish  Madane,Telugu Titans
C.  Bhardwaj,Telugu Titans
Krushna  Rahimi,Telugu Titans
,Telugu Titans
,Telugu Titans
,Telugu Titans
Fazel  Atrachali,UMumba
Abhishek  Singh,UMumba
Arjun  Deshwal,UMumba
Athul  MS,UMumba
Dong  Geon,UMumba
Gaurav  Kumar,UMumba
Navneet  Baliyan,UMumba
Rohit  Kumar,UMumba
Vinoth  Subramanian,UMumba
Rajaguru  Vardhan,UMumba
Harsh  Kumar,UMumba
Anil  Chang,UMumba
Harendra  Singh,UMumba
Young  Rohidas,UMumba
Surinder  Balyan,UMumba
Ajinkya  Narwal,UMumba
,UMumba
,UMumba
Nitesh  Kumar,UP Yodha
Ankush  Singh,UP Yodha
Azad  Singh,UP Yodha
Gulveer  Masud,UP Yodha
Md.  Goyat,UP Yodha
Monu  Devadiga,UP Yodha
Rishank  Jadhav,UP Yodha
Shrikant  Gill,UP Yodha
Surender  Singh,UP Yodha
Surender  Singh,UP Yodha
Ashu  Nagar,UP Yodha
Aashish  Shaikh,UP Yodha
Amit  Maghsoudloujafari,UP Yodha
Sumit  Kumar,UP Yodha
,UP Yodha
,UP Yodha
,UP Yodha
,UP Yodha
,UP Yodha
Sunil  Kumar,Gujarat FortuneGiants
Abolfazl  Maghsodloumahali,Gujarat FortuneGiants
Gurvinder  Singh,Gujarat FortuneGiants
Harmanjit  Singh,Gujarat FortuneGiants
Lalit  Chaudhary,Gujarat FortuneGiants
More  GB,Gujarat FortuneGiants
Sachin  Tanwar,Gujarat FortuneGiants
Sonu  Jaglan,Gujarat FortuneGiants
Amit  Kharb,Gujarat FortuneGiants
Ankit  Bhainswal,Gujarat FortuneGiants
Parvesh  Gahlawat,Gujarat FortuneGiants
Sonu  Malik,Gujarat FortuneGiants
Sumit  Shivaji,Gujarat FortuneGiants
Ruturaj  Gulia,Gujarat FortuneGiants
Pankaj  Shazid,Gujarat FortuneGiants
Rohit  Kumar,Gujarat FortuneGiants
,Gujarat FortuneGiants
,Gujarat FortuneGiants
