season,team_name,player-id-pkdc,Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
PKL-06,Puneri Paltan,772,More G B,2,6,3%,33.30%,33.30%,33.30%
PKL-06,Puneri Paltan,772,More G B,3,7,4%,57.10%,14.30%,28.60%
PKL-06,Puneri Paltan,772,More G B,4,14,8%,35.70%,14.30%,50.00%
PKL-06,Puneri Paltan,772,More G B,5,39,23%,61.50%,20.50%,17.90%
PKL-06,Puneri Paltan,772,More G B,6,40,23%,40.00%,35.00%,25.00%
PKL-06,Puneri Paltan,772,More G B,7,67,39%,19.40%,49.30%,31.30%
PKL-06,Puneri Paltan,320,Nitin Tomar,1,2,1%,,100.00%,
PKL-06,Puneri Paltan,320,Nitin Tomar,2,8,4%,12.50%,75.00%,12.50%
PKL-06,Puneri Paltan,320,Nitin Tomar,3,17,9%,70.60%,17.60%,11.80%
PKL-06,Puneri Paltan,320,Nitin Tomar,4,21,11%,47.60%,23.80%,28.60%
PKL-06,Puneri Paltan,320,Nitin Tomar,5,30,16%,66.70%,16.70%,16.70%
PKL-06,Puneri Paltan,320,Nitin Tomar,6,49,26%,20.40%,69.40%,10.20%
PKL-06,Puneri Paltan,320,Nitin Tomar,7,65,34%,26.20%,53.80%,20.00%
PKL-06,Puneri Paltan,786,Parvesh ,2,1,3%,,,100.00%
PKL-06,Puneri Paltan,786,Parvesh ,3,2,7%,,50.00%,50.00%
PKL-06,Puneri Paltan,786,Parvesh ,4,2,7%,50.00%,50.00%,
PKL-06,Puneri Paltan,786,Parvesh ,5,13,43%,61.50%,7.70%,30.80%
PKL-06,Puneri Paltan,786,Parvesh ,6,8,27%,50.00%,25.00%,25.00%
PKL-06,Puneri Paltan,786,Parvesh ,7,4,13%,25.00%,,75.00%
PKL-06,Puneri Paltan,85,Rajesh Mondal,3,5,7%,40.00%,20.00%,40.00%
PKL-06,Puneri Paltan,85,Rajesh Mondal,4,10,13%,40.00%,10.00%,50.00%
PKL-06,Puneri Paltan,85,Rajesh Mondal,5,22,29%,59.10%,18.20%,22.70%
PKL-06,Puneri Paltan,85,Rajesh Mondal,6,15,20%,40.00%,20.00%,40.00%
PKL-06,Puneri Paltan,85,Rajesh Mondal,7,23,31%,65.20%,17.40%,17.40%
PKL-06,Puneri Paltan,240,Ravi Kumar,7,1,100%,100.00%,,
PKL-06,Puneri Paltan,3084,Rinku Narwal,4,1,14%,,,100.00%
PKL-06,Puneri Paltan,3084,Rinku Narwal,5,4,57%,75.00%,,25.00%
PKL-06,Puneri Paltan,3084,Rinku Narwal,7,2,29%,50.00%,50.00%,
PKL-06,Puneri Paltan,3102,Sandeep ,5,2,22%,,50.00%,50.00%
PKL-06,Puneri Paltan,3102,Sandeep ,7,7,78%,28.60%,42.90%,28.60%
PKL-06,Puneri Paltan,142,Sandeep Narwal,1,2,2%,,100.00%,
PKL-06,Puneri Paltan,142,Sandeep Narwal,2,1,1%,100.00%,,
PKL-06,Puneri Paltan,142,Sandeep Narwal,3,7,8%,85.70%,,14.30%
PKL-06,Puneri Paltan,142,Sandeep Narwal,4,9,10%,66.70%,11.10%,22.20%
PKL-06,Puneri Paltan,142,Sandeep Narwal,5,12,14%,91.70%,,8.30%
PKL-06,Puneri Paltan,142,Sandeep Narwal,6,17,20%,88.20%,11.80%,
PKL-06,Puneri Paltan,142,Sandeep Narwal,7,38,44%,50.00%,31.60%,18.40%
PKL-06,Puneri Paltan,3103,Shubham Shinde,5,4,36%,75.00%,,25.00%
PKL-06,Puneri Paltan,3103,Shubham Shinde,6,4,36%,75.00%,,25.00%
PKL-06,Puneri Paltan,3103,Shubham Shinde,7,3,27%,100.00%,,
PKL-06,Patna Pirates,211,Deepak Narwal,1,1,1%,,100.00%,
PKL-06,Patna Pirates,211,Deepak Narwal,2,1,1%,,100.00%,
PKL-06,Patna Pirates,211,Deepak Narwal,3,2,1%,50.00%,,50.00%
PKL-06,Patna Pirates,211,Deepak Narwal,4,14,10%,64.30%,7.10%,28.60%
PKL-06,Patna Pirates,211,Deepak Narwal,5,19,14%,36.80%,36.80%,26.30%
PKL-06,Patna Pirates,211,Deepak Narwal,6,30,21%,16.70%,53.30%,30.00%
PKL-06,Patna Pirates,211,Deepak Narwal,7,73,52%,34.20%,43.80%,21.90%
PKL-06,Patna Pirates,579,Jaideep ,3,1,13%,100.00%,,
PKL-06,Patna Pirates,579,Jaideep ,5,1,13%,100.00%,,
PKL-06,Patna Pirates,579,Jaideep ,7,6,75%,83.30%,,16.70%
PKL-06,Patna Pirates,390,Jawahar Dagar,6,1,20%,100.00%,,
PKL-06,Patna Pirates,390,Jawahar Dagar,7,4,80%,25.00%,25.00%,50.00%
PKL-06,Patna Pirates,252,Kuldeep Singh,7,1,100%,100.00%,,
PKL-06,Patna Pirates,763,Manjeet ,1,1,1%,,100.00%,
PKL-06,Patna Pirates,763,Manjeet ,2,2,1%,50.00%,50.00%,
PKL-06,Patna Pirates,763,Manjeet ,3,16,8%,25.00%,50.00%,25.00%
PKL-06,Patna Pirates,763,Manjeet ,4,35,19%,42.90%,25.70%,31.40%
PKL-06,Patna Pirates,763,Manjeet ,5,42,22%,38.10%,38.10%,23.80%
PKL-06,Patna Pirates,763,Manjeet ,6,36,19%,25.00%,50.00%,25.00%
PKL-06,Patna Pirates,763,Manjeet ,7,57,30%,24.60%,43.90%,31.60%
PKL-06,Patna Pirates,197,Pardeep Narwal,1,6,2%,,100.00%,
PKL-06,Patna Pirates,197,Pardeep Narwal,2,34,9%,5.90%,79.40%,14.70%
PKL-06,Patna Pirates,197,Pardeep Narwal,3,47,12%,36.20%,40.40%,23.40%
PKL-06,Patna Pirates,197,Pardeep Narwal,4,45,12%,26.70%,51.10%,22.20%
PKL-06,Patna Pirates,197,Pardeep Narwal,5,60,15%,48.30%,31.70%,20.00%
PKL-06,Patna Pirates,197,Pardeep Narwal,6,67,17%,19.40%,61.20%,19.40%
PKL-06,Patna Pirates,197,Pardeep Narwal,7,132,34%,25.00%,43.20%,31.80%
PKL-06,Patna Pirates,#N/A,Surender Singh,7,1,100%,,,100.00%
PKL-06,Patna Pirates,14,Taedeok Eom,7,2,100%,50.00%,,50.00%
PKL-06,Patna Pirates,242,Tushar Patil,3,2,5%,50.00%,50.00%,
PKL-06,Patna Pirates,242,Tushar Patil,4,3,8%,33.30%,,66.70%
PKL-06,Patna Pirates,242,Tushar Patil,5,14,37%,57.10%,14.30%,28.60%
PKL-06,Patna Pirates,242,Tushar Patil,6,5,13%,,80.00%,20.00%
PKL-06,Patna Pirates,242,Tushar Patil,7,14,37%,28.60%,42.90%,28.60%
PKL-06,Patna Pirates,3081,Vijay ,3,3,3%,100.00%,,
PKL-06,Patna Pirates,3081,Vijay ,4,9,8%,66.70%,11.10%,22.20%
PKL-06,Patna Pirates,3081,Vijay ,5,31,28%,45.20%,22.60%,32.30%
