Season,Team Name,Player Name,Position,Total Played,Total Starts
PKL_S6,Bengal Warriors,Amaresh Mondal,Left Cover,2,0
PKL_S6,Bengal Warriors,Ashish Chhokar,Raider,1,0
PKL_S6,Bengaluru Bulls,Rohit Kumar,Raider,24,24
PKL_S6,Bengaluru Bulls,Pawan Sehrawat,Raider,24,24
PKL_S6,Bengaluru Bulls,Mahender Singh,Left Cover,24,23
PKL_S6,Bengaluru Bulls,Ashish Kumar,Right Cover,24,22
PKL_S6,Bengaluru Bulls,Kashiling Adake,Raider,20,19
PKL_S6,Bengaluru Bulls,Raju Lal Choudhary,Right Corner,16,15
PKL_S6,Bengaluru Bulls,Amit Sheoran,Defender,15,13
PKL_S6,Bengaluru Bulls,Sandeep,Defender,10,10
PKL_S6,Bengaluru Bulls,Sumit Singh,Raider,8,3
PKL_S6,Bengaluru Bulls,Harish Naik,Raider,7,2
PKL_S6,Bengaluru Bulls,Ajay,Defender,7,3
PKL_S6,Bengaluru Bulls,Jasmer Singh Gulia,All Rounder,6,6
PKL_S6,Bengaluru Bulls,Ankit,Defender,6,2
PKL_S6,Bengaluru Bulls,Mahesh Maruti Magdum,All Rounder,4,0
PKL_S6,Bengaluru Bulls,Anand V,Raider,3,1
PKL_S6,Bengaluru Bulls,Nithesh B R,Right Corner,2,0
PKL_S6,Bengaluru Bulls,Jawahar Vivek,Left Corner,2,1
PKL_S6,Bengaluru Bulls,Gyung Tae Kim,All Rounder,1,0
PKL_S6,Bengaluru Bulls,Wei Hung Lin,All Rounder,0,0
PKL_S6,Bengaluru Bulls,Anil,Raider,0,0
PKL_S6,Dabang Delhi,Chandran Ranjit,Raider,24,23
PKL_S6,Dabang Delhi,Joginder Narwal,Left Corner,23,22
PKL_S6,Dabang Delhi,Vishal Mane,Right Cover,22,22
PKL_S6,Dabang Delhi,Ravinder Pahal,Right Corner,22,22
PKL_S6,Dabang Delhi,Naveen Kumar,Raider,22,22
PKL_S6,Dabang Delhi,Meraj Sheykh,All Rounder,19,18
PKL_S6,Dabang Delhi,Rajesh Narwal,All Rounder,16,15
PKL_S6,Dabang Delhi,Pawan Kumar,Raider,13,2
PKL_S6,Dabang Delhi,Satpal,Defender,12,1
PKL_S6,Dabang Delhi,Viraj Vishnu Landge,Left Cover,7,5
PKL_S6,Dabang Delhi,Yogesh Hooda,Raider,6,4
PKL_S6,Dabang Delhi,Vishal,All Rounder,6,5
PKL_S6,Dabang Delhi,Shabeer Bappu,Raider,6,2
PKL_S6,Dabang Delhi,Anil Kumar,Left Corner,5,2
PKL_S6,Dabang Delhi,Tushar Bhoir,Right Cover,2,2
PKL_S6,Dabang Delhi,Tapas Pal,All Rounder,2,1
PKL_S6,Dabang Delhi,Sumit Kumar,Raider,1,0
PKL_S6,Dabang Delhi,Aman Kadian,Raider,1,0
PKL_S6,Dabang Delhi,Khomsan Thongkham,Raider,0,0
PKL_S6,Dabang Delhi,Kamal Kishor,Raider,0,0
PKL_S6,Gujarat Fortunegiants,Sunil Kumar,Right Cover,25,25
PKL_S6,Gujarat Fortunegiants,Parvesh Bhainswal,Left Cover,25,25
PKL_S6,Gujarat Fortunegiants,Sachin,Raider,23,23
PKL_S6,Gujarat Fortunegiants,Ruturaj Shivaji Koravi,Right Corner,23,23
PKL_S6,Gujarat Fortunegiants,Sachin V.,Left Corner,22,22
PKL_S6,Gujarat Fortunegiants,K. Prapanjan,Raider,22,17
PKL_S6,Gujarat Fortunegiants,Rohit Gulia,All Rounder,19,9
PKL_S6,Gujarat Fortunegiants,Mahendra Rajput,Raider,13,6
PKL_S6,Gujarat Fortunegiants,Hadi Oshtorak,All Rounder,13,5
PKL_S6,Gujarat Fortunegiants,Ajay Kumar,Raider,13,6
