Player_Name,Tournament,Team,Price,Status
nitesh-kumar-1000228?,Pro Kabaddi Season 9,UP Yoddhas,66.80 L,RETAINED
nitesh-kumar-1000228?,Pro Kabaddi Season 8,UP Yoddha,37.50 L,RETAINED
nitesh-kumar-1000228?,Pro Kabaddi Season 7,UP Yoddha,37.50 L,RETAINED
nitesh-kumar-1000228?,Pro Kabaddi Season 6,UP Yoddha,6.60 L,RETAINED
arjun-deshwal-1000378?,Pro Kabaddi Season 9,Jaipur Pink Panthers,105.60 L,RETAINED
arjun-deshwal-1000378?,Pro Kabaddi Season 8,Jaipur Pink Panthers,96.00 L,SOLD
arjun-deshwal-1000378?,Pro Kabaddi Season 7,U Mumba,19.46 L,RETAINED
arjun-deshwal-1000378?,Pro Kabaddi Season 6,U Mumba,8.00 L,SOLD
nitin-tomar-1000229?,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
nitin-tomar-1000229?,Pro Kabaddi Season 8,Puneri Paltan,61.00 L,FBM
nitin-tomar-1000229?,Pro Kabaddi Season 7,Puneri Paltan,120.00 L,FBM
nitin-tomar-1000229?,Pro Kabaddi Season 6,Puneri Paltan,115.00 L,SOLD
nitin-tomar-1000229?,Pro Kabaddi Season 5,UP Yoddha,93.00 L,SOLD
rohit-kumar-1000014?,Pro Kabaddi Season 8,Telugu Titans,36.00 L,SOLD
rohit-kumar-1000014?,Pro Kabaddi Season 7,Bengaluru Bulls,98.00 L,RETAINED
rohit-kumar-1000014?,Pro Kabaddi Season 6,Bengaluru Bulls,89.10 L,RETAINED
rohit-kumar-1000014?,Pro Kabaddi Season 5,Bengaluru Bulls,81.00 L,SOLD
ravinder-pahal-1000012?,Pro Kabaddi Season 9,Telugu Titans,23.00 L,SOLD
ravinder-pahal-1000012?,Pro Kabaddi Season 8,Gujarat Giants,74.00 L,SOLD
ravinder-pahal-1000012?,Pro Kabaddi Season 7,Dabang Delhi KC,61.00 L,FBM
ravinder-pahal-1000012?,Pro Kabaddi Season 6,Dabang Delhi KC,20.00 L,SOLD
ravinder-pahal-1000012?,Pro Kabaddi Season 5,Bengaluru Bulls,50.00 L,SOLD
ravinder-pahal-1000012?,Pro Kabaddi Season 4,Puneri Paltan,17.00 L,SOLD
