team,season,Raider Name,Total Raids,Successful Raids,Unnamed: 3
Tamil Thailaivas,PKL-S7,Yashwant Bishnoi,9,2,22%
Tamil Thailaivas,PKL-S7,Himanshu,7,2,29%
Tamil Thailaivas,PKL-S7,Hemant Chauhan,6,1,17%
Tamil Thailaivas,PKL-S7,Mohit Chhillar,2,0,0%
Tamil Thailaivas,PKL-S7,Sagar,1,0,0%
Tamil Thailaivas,PKL-S7,Milad Sheibak,1,0,0%
Puneri Paltan,PKL-S7,Manjeet,270,108,40%
Puneri Paltan,PKL-S7,Pankaj Mohite,207,88,43%
Puneri Paltan,PKL-S7,Nitin Tomar,142,60,42%
Puneri Paltan,PKL-S7,Amit Kumar,103,24,23%
Puneri Paltan,PKL-S7,Pawan Kumar,59,19,32%
Puneri Paltan,PKL-S7,Sushant Sail,50,15,30%
Puneri Paltan,PKL-S7,Darshan Kadian,32,5,16%
Puneri Paltan,PKL-S7,Surjeet Singh,18,1,6%
Puneri Paltan,PKL-S7,Emad Sedaghatnia,17,8,47%
Puneri Paltan,PKL-S7,Shubham Shinde,8,1,13%
Puneri Paltan,PKL-S7,R. Sriram,6,0,0%
Puneri Paltan,PKL-S7,Hadi Tajik,6,1,17%
Puneri Paltan,PKL-S7,Sandeep,1,0,0%
Puneri Paltan,PKL-S7,Sagar Krishna,1,0,0%
Puneri Paltan,PKL-S7,Jadhav Balasaheb Shahaji,1,0,0%
Puneri Paltan,PKL-S7,Girish Maruti Ernak,1,0,0%
Jaipur Pink Panthers,PKL-S7,Deepak Hooda,304,115,38%
Jaipur Pink Panthers,PKL-S7,Deepak Narwal,182,62,34%
Jaipur Pink Panthers,PKL-S7,Nilesh Salunke,154,52,34%
Jaipur Pink Panthers,PKL-S7,Nitin Rawal,98,23,23%
Jaipur Pink Panthers,PKL-S7,Ajinkya Ashok Pawar,68,17,25%
Jaipur Pink Panthers,PKL-S7,Sushil Gulia,47,12,26%
Jaipur Pink Panthers,PKL-S7,Sachin Narwal,36,8,22%
Jaipur Pink Panthers,PKL-S7,Guman Singh,10,3,30%
Jaipur Pink Panthers,PKL-S7,Lokesh Kaushik,8,3,38%
Jaipur Pink Panthers,PKL-S7,Amit Hooda,6,0,0%
Jaipur Pink Panthers,PKL-S7,Sandeep Dhull,3,0,0%
Jaipur Pink Panthers,PKL-S7,Sunil Siddhgavali,2,0,0%
Jaipur Pink Panthers,PKL-S7,Vishal,1,0,0%
Jaipur Pink Panthers,PKL-S7,Milinda Chathuranga,1,0,0%
Bengal Warriors,PKL-S7,Maninder Singh,318,172,54%
Bengal Warriors,PKL-S7,Mohammad Esmaeil Nabi..,232,80,34%
Bengal Warriors,PKL-S7,K. Prapanjan,205,77,38%
Bengal Warriors,PKL-S7,Sukesh Hegde,142,44,31%
Bengal Warriors,PKL-S7,Rakesh Narwal,27,13,48%
Bengal Warriors,PKL-S7,Sourabh Tanaji Patil,26,15,58%
Bengal Warriors,PKL-S7,Ravindra Ramesh Kumaw..,17,6,35%
Bengal Warriors,PKL-S7,Mohammad Taghi Paein ..,11,4,36%
Bengal Warriors,PKL-S7,Baldev Singh,7,1,14%
Bengal Warriors,PKL-S7,Avinash A. R.,4,2,50%
Bengal Warriors,PKL-S7,Rinku Narwal,3,0,0%
Bengal Warriors,PKL-S7,Sunil Manik Dubile,2,0,0%
Patna Pirates,PKL-S7,Pardeep Narwal,453,243,54%
Patna Pirates,PKL-S7,Jang Kun Lee,138,49,36%
Patna Pirates,PKL-S7,Mohammad Esmaeil Mag..,129,31,24%
Patna Pirates,PKL-S7,Monu,66,9,14%
Patna Pirates,PKL-S7,Vikas Jaglan,58,7,12%
Patna Pirates,PKL-S7,Hadi Oshtorak,42,5,12%
Patna Pirates,PKL-S7,Ashish,16,3,19%
Patna Pirates,PKL-S7,Purna Singh,15,4,27%
Patna Pirates,PKL-S7,Amit Kumar,8,3,38%
Patna Pirates,PKL-S7,Neeraj Kumar,4,0,0%
Patna Pirates,PKL-S7,Naveen,3,0,0%
Patna Pirates,PKL-S7,Jawahar Dagar,1,0,0%
Gujarat Fortunegiants,PKL-S7,Rohit Gulia,315,109,35%
Gujarat Fortunegiants,PKL-S7,Sachin,207,69,33%
Gujarat Fortunegiants,PKL-S7,More G B,161,49,30%
Gujarat Fortunegiants,PKL-S7,Sonu Jaglan,137,56,41%
Gujarat Fortunegiants,PKL-S7,Vinod Kumar,25,6,24%
Gujarat Fortunegiants,PKL-S7,Sunil Kumar,13,1,8%
Gujarat Fortunegiants,PKL-S7,Lalit Chaudhary,13,3,23%
Gujarat Fortunegiants,PKL-S7,Harmanjit Singh,13,6,46%
Gujarat Fortunegiants,PKL-S7,Abolfazl Maghsodloumah..,10,3,30%
Gujarat Fortunegiants,PKL-S7,Gurvinder Singh,7,3,43%
Gujarat Fortunegiants,PKL-S7,Ruturaj Shivaji Koravi,3,0,0%
Gujarat Fortunegiants,PKL-S7,Pankaj,2,0,0%
Telugu Titans,PKL-S7,Siddharth Sirish Desai,331,180,54%
Telugu Titans,PKL-S7,Rakesh Gowda,114,41,36%
Telugu Titans,PKL-S7,Suraj Desai,103,36,35%
Telugu Titans,PKL-S7,Farhad Milaghardan,102,38,37%
Telugu Titans,PKL-S7,Rajnish,98,35,36%
Telugu Titans,PKL-S7,Amit Kumar,47,2,4%
Telugu Titans,PKL-S7,Armaan,32,7,22%
Telugu Titans,PKL-S7,Ankit Beniwal,26,10,38%
Telugu Titans,PKL-S7,Vishal Bhardwaj,16,0,0%
Telugu Titans,PKL-S7,Palle Mallikarjun,15,5,33%
Telugu Titans,PKL-S7,Krushna Madane,12,0,0%
Telugu Titans,PKL-S7,Kamal Singh,8,0,0%
Telugu Titans,PKL-S7,Abozar Mighani,6,0,0%
Telugu Titans,PKL-S7,C. Arun,4,1,25%
Telugu Titans,PKL-S7,Mula Siva Ganesh Reddy,2,0,0%
Bengaluru Bulls,PKL-S7,Pawan Sehrawat,461,267,58%
Bengaluru Bulls,PKL-S7,Rohit Kumar,248,75,30%
Bengaluru Bulls,PKL-S7,Sumit Singh,142,46,32%
Bengaluru Bulls,PKL-S7,Banty,70,17,24%
Bengaluru Bulls,PKL-S7,Mohit Sehrawat,46,4,9%
Bengaluru Bulls,PKL-S7,Ankit,14,1,7%
Bengaluru Bulls,PKL-S7,Ashish Kumar,12,0,0%
Bengaluru Bulls,PKL-S7,Mahender Singh,9,0,0%
Bengaluru Bulls,PKL-S7,Vijay Kumar,4,0,0%
Bengaluru Bulls,PKL-S7,Ajay,4,1,25%
Bengaluru Bulls,PKL-S7,Saurabh Nandal,1,1,100%
Bengaluru Bulls,PKL-S7,Amit Sheoran,1,0,0%
UP Yoddha,PKL-S7,Shrikant Jadhav,294,113,38%
UP Yoddha,PKL-S7,Rishank Devadiga,194,65,34%
UP Yoddha,PKL-S7,Surender Gill,189,58,31%
UP Yoddha,PKL-S7,Monu Goyat,151,58,38%
UP Yoddha,PKL-S7,Surender Singh,37,12,32%
UP Yoddha,PKL-S7,Mohsen Maghsoudlou,33,5,15%
UP Yoddha,PKL-S7,Azad Singh,26,5,19%
UP Yoddha,PKL-S7,Sachin Kumar,19,3,16%
UP Yoddha,PKL-S7,Amit,14,1,7%
UP Yoddha,PKL-S7,Ankush,13,6,46%
UP Yoddha,PKL-S7,Sumit,8,2,25%
UP Yoddha,PKL-S7,Nitesh Kumar,2,0,0%
UP Yoddha,PKL-S7,Ashu Singh,1,0,0%
