Team Line Up,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Sumit Kumar,Raider,Abc1,,,,,1,,
,Pratik Patil,Right Corner,Abc1,,,,,0,,
,Mohit Bhaiswal,Right Cover,Abc1,,,,,1,,
Gujarat,Rohit Gulia,All Rounder,Abc,,,,22,,,20.0
Fortunegiants,Parvesh Bhainswal,Left Cover,Abc,,,,22,,,22.0
,More G B,Raider,Abc,,,19.0,,,15.0,
,Sunil Kumar,Right Cover,Abc,,,18.0,,,18.0,
,Sonu Jaglan,Raider,Abc,,,17.0,,,9.0,
,Ruturaj Shivaji Koravi,Right Corner,Abc,,,17.0,,,10.0,
,Sachin,Raider,Abc,,,16.0,,,16.0,
,Sumit Malik,Left Corner,Abc,,,15.0,,,13.0,
,Ankit,Right Corner,Abc,,,12.0,,,11.0,
,Pankaj,All Rounder,Abc,,,11.0,,,9.0,
,Vinod Kumar,Raider,Abc,,,10.0,,3,,
,Amit,Right Cover,Abc,,7,,,4,,
,Lalit chaudhary,Raider,Abc,,6,,,1,,
,Abolfazl Maghsodlou,Raider,Abc,,6,,,1,,
,Harmanjit Singh,Raider,Abc,4,,,,2,,
,Gurvinder Singh,Raider,Abc 2,,,,,0,,
,Mohammad Shazid Hossain,All Rounder,Abc0,,,,,0,,
Haryana Steelers,Vinay,Raider,Abc,,,,23,,,22.0
,Vikas Kale,Right Cover,Abc,,,,21,,,21.0
,Sunil,Right Corner,Abc,,,,21,,,21.0
,Ravi Kumar,Right Cover,Abc,,,,21,,19.0,
,Vikash Khandola,Raider,Abc,,,,20,,,20.0
,Dharmaraj Cheralathan,Defender,Abc,,,19.0,,,19.0,
,Prashanth Kumar Rai,Raider,Abc,,,16.0,,,16.0,
,Naveen,Raider,Abc,,,16.0,,8,,
,Kuldeep Singh,All Rounder,Abc,,,12.0,,6,,
,Chand Singh,Left Corner,Abc,,,12.0,,0,,
,Parveen Satpal,Left Cover,Abc,,8,,,6,,
,Selvamani K,Raider,Abc,,7,,,3,,
,Vikram Kandola,Left Cover,,,,,,,,
Team Line Up,,,,,,,,,,
Team Name,Player Name,Position,,,Total Played,,,Total Starts,,
,Selvamani K,Raider,,,,,,,,
Haryana Steelers,Vikram Kandola,Left Cover,Abc,3,,,,0,,
,Phonchoo Tin,All Rounder,Abc,3,,,,0,,
,Arun Kumar HN,Raider,Abc,3,,,,0,,
,Vikas Chhillar,Raider,Abc 2,,,,,0,,
,Subhash Narwal,Left Cover,Abc0,,,,,0,,
Jaipur Pink,Sandeep Dhull,Left Corner,Abc,,,,22,,,22.0
Panthers,Deepak Hooda,All Rounder,Abc,,,,20,,,20.0
,Deepak Narwal,Raider,Abc,,,19.0,,,15.0,
,Nilesh Salunke,Raider,Abc,,,18.0,,,13.0,
,Pavan T. R.,Right Cover,Abc,,,17.0,,,10.0,
,Vishal,All Rounder,Abc,,,16.0,,,16.0,
,Nitin Rawal,Left Cover,Abc,,,16.0,,,14.0,
,Amit Hooda,Right Corner,Abc,,,16.0,,,16.0,
,Sunil Siddhgavali,Raider,Abc,,,14.0,,,12.0,
,Ajinkya Ashok Pawar,Raider,Abc,,,14.0,,3,,
,Sachin Narwal,All Rounder,Abc,,,13.0,,1,,
,Santhapanaselvam,All Rounder,Abc,,,9.0,,6,,
,Sushil Gulia,Raider,Abc,,6,,,2,,
,Guman Singh,Raider,Abc,3,,,,1,,
,Elavarasan A,Left Cover,Abc,3,,,,3,,
,Lokesh Kaushik,Raider,Abc 2,,,,,0,,
,Milinda Chathuranga,Raider,Abc1,,,,,0,,
,Karamvir,Left Corner,Abc1,,,,,0,,
,Dong Gyu Kim,All Rounder,Abc0,,,,,0,,
Patna Pirates,Vikas Jaglan,Raider,Abc,,,,22,,,22.0
,Pardeep Narwal,Raider,Abc,,,,22,,,22.0
,Neeraj Kumar,Right Cover,Abc,,,,22,,,22.0
,Jaideep,Left Corner,Abc,,,,22,,,20.0
,Hadi Oshtorak,All Rounder,Abc,,,,22,,,22.0
,Monu Sandhu,Raider,Abc,,,,21,,12.0,
,Mohammad Esmaeil Maghsoud,Raider,Abc,,,,20,,17.0,
,Jang Kun Lee,Raider,Abc,,,16.0,,,15.0,
,Purna Singh,Raider,Abc,,8,,,0,,
,Jawahar Dagar,Raider,Abc,,7,,,2,,
,Ashish,Raider,Abc,,7,,,0,,
,Ravinder,All Rounder,Abc,,5,,,0,,
,Amit Kumar,All Rounder,Abc,3,,,,0,,
,Naveen,Raider,Abc1,,,,,0,,
,Mahendra Choudhary,Right Corner,Abc0,,,,,0,,
Puneri Paltan,Manjeet,Raider,Abc,,,,22,,,22.0
,Surjeet Singh,Right Cover,Abc,,,,21,,,21.0
,Amit Kumar,All Rounder,Abc,,,,21,,12.0,
,Jadhav Balasaheb Shahaji,Right Cover,Abc,,,19.0,,,10.0,
,Girish Maruti Ernak,Left Corner,,,,,,,,
Team Line Up,,,,,,,,,,
Team Name,Player Name,Position,,Total Played,,,,Total Starts,,
,Jadhav Balasaheb Shahaji,Right Cover,,,,,,,,
Puneri Paltan,Girish Maruti Ernak,Left Corner,Abc,,,17.0,,,15.0,
,Pankaj Mohite,Raider,Abc,,,16.0,,8,,
,Nitin Tomar,Raider,Abc,,,15.0,,,14.0,
,Sagar Krishna,All Rounder,Abc,,,14.0,,,11.0,
,Shubham Shinde,Right Corner,Abc,,,13.0,,,10.0,
,Sushant Sail,Raider,Abc,,,11.0,,6,,
,Hadi Tajik,Right Corner,Abc,,,11.0,,8,,
,Darshan Kadian,Raider,Abc,,8,,,1,,
,Pawan Kumar,Raider,Abc,6,,,,5,,
,Sanket Sawant,Left Cover,Abc,5,,,,5,,
,Emad Sedaghatnia,Raider,Abc,3,,,,1,,
,Deepak Yadav,Right Cover,Abc,3,,,,3,,
,Sandeep,All Rounder,Abc1,,,,,1,,
,R. Sriram,Raider,Abc1,,,,,1,,
Tamil Thalaivas,Rahul Chaudhari,Raider,Abc,,,,22,,,22.0
,Ran Singh,All Rounder,Abc,,,,21,,,21.0
,V. Ajith Kumar,Raider,Abc,,,19.0,,,13.0,
,Mohit Chhillar,Right Corner,Abc,,,18.0,,,17.0,
,Manjeet Chhillar,All Rounder,Abc,,,15.0,,,15.0,
,Shabeer Bappu,Raider,Abc,,,14.0,,,11.0,
,Ajeet,Right Cover,Abc,,,14.0,,,14.0,
,Vineet Kumar,Raider,Abc,,,13.0,,5,,
,Sagar,Right Corner,Abc,,,13.0,,6,,
,Ajay Thakur,Raider,Abc,,,13.0,,,13.0,
,Ponparthiban Subramanian,Right Cover,Abc,,9,,,5,,
,M. Abishek,Right Cover,Abc,,9,,,7,,
,Victor Obiero,All Rounder,Abc,5,,,,0,,
,Himanshu,Right Corner,Abc,5,,,,1,,
,Anand,Raider,Abc,5,,,,1,,
,Hemant Chauhan,All Rounder,Abc,4,,,,3,,
,Yashwant Bishnoi,Raider,Abc,3,,,,0,,
,Milad Sheibak,Defender,Abc1,,,,,0,,
Telugu Titans,Siddharth Sirish Desai,Raider,Abc,,,,22,,,22.0
,Farhad Milaghardan,Right Cover,Abc,,,,22,,,20.0
,C. Arun,Left Cover,Abc,,,,22,,,20.0
,Vishal Bhardwaj,All Rounder,Abc,,,19.0,,,19.0,
,Abozar Mighani,Right Corner,Abc,,,18.0,,,18.0,
,Rakesh Gowda,Raider,Abc,,,13.0,,,9.0,
,Suraj Desai,Raider,Abc,,,12.0,,,10.0,
,Krushna Madane,Defender,Abc,,,12.0,,5,,
,Rajneesh,Raider,Abc,,,11.0,,6,,
,Amit Kumar,Raider,Abc,,9,,,8,,
,Ankit Beniwal,Raider,Abc,,8,,,1,,
,Armaan,All Rounder,,,,,,,,
Team Line Up,,,,,,,,,,
Team Name,Player Name,Position,,Total Played,,,Total Starts,,,
,Ankit Beniwal,Raider,,,,,,,,
Telugu Titans,Armaan,All Rounder,Abc,6,,,3,,,
,Aakash Dattu Arsul,Right Cover,Abc,6,,,5,,,
,Palle Mallikarjun,Raider,Abc,5,,,1,,,
,Akash Choudhary,Right Corner,Abc,5,,,4,,,
,Kamal Singh,Raider,Abc,3,,,1,,,
,Mula Siva Ganesh Reddy,Raider,Abc 2,,,,0,,,
,Manish,Left Cover,Abc 2,,,,2,,,
U Mumba,Surinder Singh,Right Cover,Abc,,,24.0,,,24.0,
,Sandeep Narwal,All Rounder,Abc,,,24.0,,,24.0,
,Fazel Atrachali,Left Corner,Abc,,,24.0,,,24.0,
,Abhishek Singh,Raider,Abc,,,21.0,,,20.0,
,Harendra Kumar,Left Cover,Abc,,,20.0,,15,,
,Arjun Deshwal,Raider,Abc,,19,,,17,,
,Rohit Baliyan,Raider,Abc,,18,,,15,,
,Athul M S,All Rounder,Abc,,18,,,13,,
,Young Chang Ko,Left Cover,Abc,,14,,8,,,
,Harsh Vardhan,Right Corner,Abc,8,,,0,,,
,Dong Geon Lee,Raider,Abc,6,,,4,,,
,Rajaguru Subramanian,Right Cover,Abc,5,,,0,,,
,Ajinkya Rohidas Kapre,All Rounder,Abc,5,,,1,,,
,Mohit Balyan,All Rounder,Abc 2,,,,0,,,
,Vinoth Kumar,Raider,Abc1,,,,1,,,
,Navneet,Raider,Abc1,,,,1,,,
,Anil,Left cover,Abc1,,,,1,,,
,Gaurav Kumar,Raider,Abc0,,,,0,,,
UP Yoddha,Nitesh Kumar,Right Corner,Abc,,,23.0,,,23.0,
,Ashu Singh,Right Cover,Abc,,,23.0,,,20.0,
,Amit,Left Cover,Abc,,,23.0,,,23.0,
,Sumit,Left Corner,Abc,,,22.0,,,21.0,
,Shrikant Jadhav,Raider,Abc,,,22.0,,,22.0,
,Surender Gill,Raider,Abc,,18,,,14,,
,Rishank Devadiga,Raider,Abc,,18,,,15,,
,Sachin Kumar,Left Corner,Abc,,15,,2,,,
,Monu Goyat,Raider,Abc,,14,,,13,,
,Mohsen Maghsoudlou,Raider,Abc,,13,,2,,,
,Surender Singh,Raider,Abc,7,,,2,,,
,Gurdeep,All Rounder,Abc,5,,,1,,,
,Ankush,Raider,Abc,5,,,0,,,
,Narender Hooda,All Rounder,Abc,4,,,2,,,
,Azad singh,Raider,Abc,4,,,1,,,
,Aashish Nagar,Right Corner,Abc1,,,,0,,,
,Gulveer Singh,Raider,Abc0,,,,0,,,
,Arkam Shaikh,All Rounder,Abc0,,,,0,,,
