Team Line Up,,,,
Team Name,Player Name,Position,Total Played,Total Starts
,Ajay Ghanghas,All Rounder,1,0
,Vikas Jaglan,Raider,0,0
,Rajesh Gurjar,Null,0,0
,Hamid Nader,,0,0
Jaipur Pink,Arjun Deshwal,Raider,22,22
Panthers,Vishal Lather,All Rounder,21,21
,Sandeep Dhull,Left Corner,19,19
,Shaul Kumar,Null,18,16
,Deepak Hooda,All Rounder,17,16
,Deepak Rajendar Singh,,14,11
,Nitin Rawal,Left Cover,13,10
,Naveen,Raider,11,7
,Amit Kharb,Right Cover,11,10
,Pavan TR,Right Cover,9,1
,Sachin Narwal,All Rounder,7,5
,Brijendra Singh Chaudhary,All Rounder,7,4
,Amit Nagar,Raider,7,5
,Dharmaraj Cheralathan,Defender,5,3
,Amit Hooda,Right Corner,2,2
,Amirhossein Maleki,Raider,2,0
,Amin Nosrati,,2,1
,Sushil Gulia,Raider,1,0
,Elavarasan A,Left Cover,1,1
,Ashok,Raider,1,0
Patna Pirates,Shadloui Chianeh,,24,24
,Sachin Tanwar,Raider,23,23
,Prashanth Kumar Rai,Raider,23,23
,Neeraj Kumar,Right Cover,23,23
,C Sajin,Null,23,23
,Sunil,Right Corner,22,22
,Shubham Shinde,Right Corner,19,2
,Guman Singh,Raider,19,11
,Monu Sandhu,Raider,15,1
,Monu Goyat,Raider,14,12
,Sourav Gulia,Defender,3,1
,Selvamani K,Raider,3,0
,Sandeep,Defender,2,0
Patna Pirates,Rohit,,1,0
,Mohit,Raider,1,1
,Manuj,Null,1,0
,Manish Angrej,,1,0
,Daniel Omondi Odhiambo,All Rounder,1,1
,Balaji D,Null,1,1
Puneri Paltan,Sanket Sawant,Left Cover,23,23
,Asalam Inamdar,,23,22
,Abinesh Nadarajan,Right cover,22,22
,Mohit Goyat,Raider,21,18
,Vishal Bhardwaj,All Rounder,20,19
,Sombir,Right Corner,19,17
,Nitin Tomar,Raider,18,17
,Karamvir,Left Corner,11,4
,Baldev Singh,Right Corner,8,6
,Rahul Chaudhari,Raider,7,4
,Pankaj Mohite,Raider,7,6
,Jadhav Shahaji,Right Cover,7,1
,Shubham Shelke,,6,0
,Vishwas S,Null,4,1
,Akash Shinde,,3,0
,Victor Obiero,All Rounder,1,0
,Pawan Kumar,Raider,1,1
,Hadi Tajik,Right Corner,1,0
Tamil Thalaivas,,Null,4,3
,Sahil,,,
,,,18,17
,Sagar,Right Corner,22,22
,Bhavani Rajput,Raider,21,13
,Surjeet Singh,Right Cover,20,20
,Mohit,,20,19
,Manjeet,Raider,20,20
,Ajinkya Pawar,Raider,18,7
,Athul MS,All Rounder,13,5
,Sagar Krishna,All Rounder,10,6
,Himanshu,Right Corner,10,6
,M. Abishek,Right Cover,7,5
,K Prapanjan,Raider,7,6
,Himanshu Singh,,6,2
,Santhapanaselvam,All Rounder,4,0
,Aashish,,3,3
,Sandaruwan Asiri,Raider,2,0
,Anwar Saheed Baba,All Rounder,1,0
Telugu Titans,Surinder Singh,Right Cover,21,21
Telugu Titans,Ankit Beniwal,Raider,21,19
,Adarsh T,Left Corner,21,13
,Akash Choudhary,Right Corner,17,14
,Sandeep Kandola,Left Cover,16,16
,Prince D,Defender,14,9
,C. Arun,Left Cover,14,12
,Rakesh Gowda,Raider,13,6
,Rajnish,Raider,13,13
,Galla Raju,Null,13,4
,Ruturaj Koravi,Right Corner,10,8
,Rohit Kumar,Raider,8,8
,Muhammed Shihas S,,8,5
,Siddharth Desai,Raider,3,3
,Hyunsu Park,Raider,3,0
,Manish,Left Cover,2,2
,Palla Ramakrishna,Null,1,1
,Amit Chauhan,Raider,1,0
,Aakash Dattu Arsul,Right Cover,1,0
,Tetsuro Abe,Defender,0,0
U Mumba,Rinku Hc,Defender,22,21
,Fazel Atrachali,Left Corner,22,22
,Abhishek Singh,Raider,22,22
,Harendra Kumar,Left Cover,21,21
,V. Ajith Kumar,Raider,20,20
,Rahul Rana,,18,11
,Shivam,,15,6
,Ajinkya Kapre,All Rounder,13,6
,Mohsen Maghsoudlou,Raider,11,9
,Ashish Kumar,Right Cover,9,9
,Sunil Siddhgavali,Raider,4,3
,Prince,,3,1
,Prathap S,Null,3,1
