Team Line Up,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Puneri Paltan,Rajesh Mondal,Raider,Abc,,,24.0,,,21,,
,Deepak Hooda,All Rounder,Abc,,,24.0,,,24,,
,Ravi Kumar,Right Cover,Abc,,,23.0,,18,,,
,Sandeep Narwal,All Rounder,Abc,,,21.0,,,21,,
,Girish Maruti Ernak,Left Corner,Abc,,,21.0,,,20,,
,Monu Sandhu,Raider,Abc,,19,,,12,,,
,Dharmaraj Cheralathan,Defender,Abc,,18,,,14,,,
,Ziaur Rahman,Left Cover,Abc,,16,,,16,,,
,Rinku Narwal,Left Corner,Abc,,13,,5,,,,
,Suresh Kumar,Raider,Abc,,11,,1,,,,
,Rohit Kumar Choudary,Raider,Abc,,11,,5,,,,
,Akshay Jadhav,Raider,Abc,,10,,5,,,,
,More G B,Raider,Abc,6,,,5,,,,
,Umesh Mhatre,Raider,Abc,5,,,0,,,,
,Vikash Khatri,Raider,Abc1,,,,1,,,,
,Ajay Ghanghas,All Rounder,Abc1,,,,0,,,,
,Takamitsu Kono,All Rounder,Abc0,,,,0,,,,
Tamil Thalaivas,K. Prapanjan,Raider,Abc,,,22.0,,,22,,
,Amit Hooda,Right Corner,Abc,,,22.0,,,22,,
,Ajay Thakur,Raider,Abc,,,22.0,,,22,,
,Darshan J.,Right Cover,Abc,,,20.0,,17,,,
,C. Arun,Left Cover,Abc,,,20.0,,,20,,
,Vineet Kumar,Raider,Abc,,18,,,16,,,
,Dong Geon Lee,Raider,Abc,,17,,2,,,,
,D. Pradap,All Rounder,Abc,,16,,8,,,,
,Vijin Thangadurai,Right Cover,Abc,,12,,8,,,,
,,Left Corner,Abc,5,,,5,,,,
,Anil Kumar,,,,,,,,,,
,,Left Cover,Abc,5,,,1,,,,
,M. Thivakaran,Raider,Abc,,9,,2,,,,
,Vijay Kumar,Left Corner,Abc,8,,,0,,,,
,Sanket Chavan,Defender,Abc,7,,,6,,,,
,Bhavani Rajput,Raider,Abc,4,,,1,,,,
,Muruthu M,Right Cover,Abc,3,,,2,,,,
,T. Prabhakaran,Right Cover,Abc 2,,,,0,,,,
,Sujit Maharana,All Rounder,Abc 2,,,,0,,,,
,Rajesh Manokaran,Left Cover,Abc 2,,,,0,,,,
,Chan Sik Park,All Rounder,Abc1,,,,0,,,,
,Mugilan,Right Corner,Abc0,,,,0,,,,
Telugu Titans,Vishal Bhardwaj,All Rounder,Abc,,,22.0,,,22,,
,Rahul Chaudhari,Raider,Abc,,,22.0,,,22,,
,Rohit Rana,Left Cover,,,,,,,,,
Team Line Up,,,,,,,,,,,
Team Name,Player Name,Position,,Total Played,,,,Total Starts,,,
,Rahul Chaudhari,Raider,,,,,,,,,
Telugu Titans,Rohit Rana,Left Cover,Abc,,,,21,,19,,
,Nilesh Salunke,Raider,Abc,,,,21,,,20.0,
,Farhad Milaghardan,Right Cover,Abc,,,18.0,,,17,,
,Sombir,Right Corner,Abc,,,17.0,,,16,,
,Mohsen Maghsoudlou,Raider,Abc,,,16.0,,,11,,
,Vikas,Raider,Abc,,,14.0,,,9,,
,Rakesh Kumar,Allrounder,Abc,,,10.0,,,10,,
,Rakshith,Raider,Abc,6,,,,0,,,
,Elangeshwaran R,All Rounder,Abc,5,,,,2,,,
,Vinoth Kumar,Raider,Abc,4,,,,2,,,
,Vinod Kumar,Left Cover,Abc,4,,,,4,,,
,Vikrant,Raider,Abc,3,,,,0,,,
,Munish,Raider,Abc,3,,,,0,,,
,Ankit Malik,Raider,Abc1,,,,,0,,,
,Amit Singh Chhillar,Left Corner,Abc1,,,,,0,,,
,Pandranki Prasad,Raider,Abc0,,,,,0,,,
U Mumba,Surinder Singh,Right Cover,Abc,,,,22,,19,,
,Anup Kumar,Raider,Abc,,,,21,,,21.0,
,Kuldeep Singh,Defender,Abc,,,,20,,,20.0,
,Kashiling Adake,Raider,Abc,,,,20,,19,,
,Shrikant Jadhav,Raider,Abc,,,19.0,,,14,,
,Hadi Oshtorak,All Rounder,Abc,,,16.0,,,15,,
,Darshan Kadian,Raider,Abc,,,16.0,,,9,,
,Shabeer Bappu,Raider,Abc,,,12.0,,,10,,
,Nitin Madane,Raider,Abc,,,12.0,,2,,,
,N. Renjith,Left Corner,Abc,,,11.0,,6,,,
,Joginder Narwal,Left Corner,Abc,,8,,,7,,,
,D. Suresh Kumar,Defender,Abc,5,,,,4,,,
,Mohan Raman G,Raider,Abc,4,,,,0,,,
,Deepak Yadav,Right Cover,Abc,4,,,,3,,,
,Dong Ju Hong,All Rounder,Abc,3,,,,2,,,
,Shiv Om,All Rounder,Abc 2,,,,,2,,,
,E Subash,All Rounder,Abc 2,,,,,1,,,
,Yong Joo Ok,All Rounder,Abc1,,,,,0,,,
UP Yoddha,Jeeva Kumar,Defender,Abc,,,,22,,,22.0,
,Rishank Devadiga,Raider,Abc,,,,21,,,21.0,
,Mahesh Goud,Raider,Abc,,,,21,8,,,
,Nitin Tomar,Raider,Abc,,,,20,,,20.0,
,Nitesh Kumar,Right Corner,Abc,,,19.0,,,18,,
,Surender Singh,Raider,Abc,,,18.0,,,12,,
,Sagar Krishna,All Rounder,Abc,,,17.0,,,16,,
,Rajesh Narwal,All Rounder,Abc,,,16.0,,,16,,
,Pankaj,All Rounder,Abc,,,12.0,,,10,,
,Santhosh B.S,Left Corner,,,,,,,,,
Team Line Up,,,,,,,,,,,
Team Name,Player Name,Position,,,Total Played,,,,Total Starts,,
,Pankaj,All Rounder,,,,,,,,,
UP Yoddha,Santhosh B.S,Left Corner,Abc,,,9.0,,2,,,
,Hadi Tajik,Right Corner,Abc,,,9.0,,,5,,
,Rohit Kumar,Right Cover,Abc,,7,,,,6,,
,Gurvinder Singh,Left Cover,Abc,5,,,,3,,,
,Gulveer Singh,Raider,Abc,4,,,,1,,,
,Sunil,All Rounder,Abc 2,,,,,0,,,
,Sulieman Kabir,Raider,Abc 2,,,,,0,,,
,Sanoj Kumar,Left Cover,Abc 2,,,,,1,,,
,Ajvender Singh,Raider,Abc 2,,,,,0,,,
