season,team_id,team_name,matches_played,team-average-raid-points_rank,team-avg-points-scored_rank,team-all-outs-conceded_rank,team-successful-tackle-percent_rank,team-super-raid_rank,team-raid_rank,team-successful-raid-percent_rank,team-dod-raid-points_rank,team-super-tackles_rank,team-raid-points_rank,team-successful-raids_rank,team-total-points-conceded_rank,team-tackle-points_rank,team-total-points_rank,team-successful-tackles-per-match_rank,team-all-outs-inflicted_rank,team-average-tackle-points_rank,team-successful-tackles_rank,team-average-raid-points_value,team-avg-points-scored_value,team-all-outs-conceded_value,team-successful-tackle-percent_value,team-super-raid_value,team-raid_value,team-successful-raid-percent_value,team-dod-raid-points_value,team-super-tackles_value,Total touch points,Total bonus points,team-raid-points_value,team-successful-raids_value,team-total-points-conceded_value,team-tackle-points_value,team-total-points_value,team-successful-tackles-per-match_value,team-all-outs-inflicted_value,team-average-tackle-points_value,team-successful-tackles_value,team-average-raid-points_per-match,team-avg-points-scored_per-match,team-all-outs-conceded_per-match,team-successful-tackle-percent_per-match,team-super-raid_per-match,team-raid_per-match,team-successful-raid-percent_per-match,team-dod-raid-points_per-match,team-super-tackles_per-match,team-total-touch-points-ext_per-match,team-total-bonus--points-ext_per-match,team-raid-points_per-match,team-successful-raids_per-match,team-total-points-conceded_per-match,team-tackle-points_per-match,team-total-points_per-match,team-successful-tackles-per-match_per-match,team-all-outs-inflicted_per-match,team-average-tackle-points_per-match,team-successful-tackles_per-match
7,3,Jaipur Pink Panthers,22,10,10,10,,5,,,1,1,10,12,11,3,10,,10,3,7,17.5,31.82,25,,11,,,80,31,278,107,385,295,713,240,700,,20,10.91,209,0.795,1.446,1.136,0,0.5,0,0,3.636,1.409,12.636,4.864,17.5,13.409,32.409,10.909,31.818,0,0.909,0.496,9.5
7,4,Bengal Warriors,24,3,2,12,,1,,,8,11,3,2,6,6,2,,1,10,3,21.38,36.17,23,,15,,,62,12,416,97,513,414,790,229,868,,41,9.54,217,0.891,1.507,0.958,0,0.625,0,0,2.583,0.5,17.333,4.042,21.375,17.25,32.917,9.542,36.167,0,1.708,0.398,9.042
7,5,U Mumba,24,8,9,7,,7,,,3,8,6,7,10,4,5,,5,8,4,18.25,32.71,27,,9,,,79,17,336,102,438,350,732,233,785,,33,9.71,216,0.76,1.363,1.125,0,0.375,0,0,3.292,0.708,14,4.25,18.25,14.583,30.5,9.708,32.708,0,1.375,0.405,9
7,6,Patna Pirates,22,5,4,8,,3,,,4,2,5,6,9,7,6,,3,4,11,20.32,35.18,26,,14,,,78,29,359,88,447,354,745,225,774,,34,10.23,196,0.924,1.599,1.182,0,0.636,0,0,3.545,1.318,16.318,4,20.318,16.091,33.864,10.227,35.182,0,1.545,0.465,8.909
7,7,Puneri Paltan,22,7,6,1,,9,,,6,3,8,8,3,1,8,,9,1,2,18.59,33.82,37,,8,,,64,29,307,102,409,329,816,264,744,,22,12,235,0.845,1.537,1.682,0,0.364,0,0,2.909,1.318,13.955,4.636,18.591,14.955,37.091,12,33.818,0,1,0.545,10.682
7,8,Telugu Titans,22,6,8,2,,6,,,12,5,7,5,5,10,9,,11,6,10,19.82,32.95,33,,11,,,49,24,307,129,436,355,792,224,725,,18,10.18,200,0.901,1.498,1.5,0,0.5,0,0,2.227,1.091,13.955,5.864,19.818,16.136,36,10.182,32.955,0,0.818,0.463,9.091
7,28,Haryana Steelers,23,4,5,6,,2,,,5,9,4,4,4,8,4,,4,7,6,21.3,35.17,28,,15,,,76,15,384,106,490,377,802,225,809,,33,9.78,210,0.926,1.529,1.217,0,0.652,0,0,3.304,0.652,16.696,4.609,21.304,16.391,34.87,9.783,35.174,0,1.435,0.425,9.13
7,29,Tamil Thalaivas,22,11,12,4,,12,,,10,10,11,10,8,12,12,,12,12,12,17.18,29.18,31,,4,,,58,15,291,87,378,308,761,192,642,,15,8.73,177,0.781,1.326,1.409,0,0.182,0,0,2.636,0.682,13.227,3.955,17.182,14,34.591,8.727,29.182,0,0.682,0.397,8.045
7,30,U.P. Yoddha,23,9,7,5,,11,,,2,6,9,9,7,2,7,,6,2,1,17.74,33.48,29,,6,,,80,19,312,96,408,328,764,260,770,,32,11.3,241,0.771,1.456,1.261,0,0.261,0,0,3.478,0.826,13.565,4.174,17.739,14.261,33.217,11.304,33.478,0,1.391,0.491,10.478
7,31,Gujarat Giants,22,12,11,11,,10,,,7,7,12,11,12,9,11,,8,5,9,16.91,31.18,25,,7,,,63,19,300,72,372,305,668,224,686,,25,10.18,205,0.769,1.417,1.136,0,0.318,0,0,2.864,0.864,13.636,3.273,16.909,13.864,30.364,10.182,31.182,0,1.136,0.463,9.318
