,player_id,player_name,total_points_match_played,total_points_value,total_points_team_id,total_points_team,team_name,total_points_rank,total_points_position_id,total_points_position_name,team_full_name,total_points_points_per_match,successful_raids_match_played,successful_raids_value,successful_raids_team_id,successful_raids_team,successful_raids_rank,successful_raids_position_id,successful_raids_position_name,successful_raids_points_per_match,raid_points_match_played,raid_points_value,raid_points_team_id,raid_points_team,raid_points_rank,raid_points_position_id,raid_points_position_name,raid_points_points_per_match,successful_tackles_match_played,successful_tackles_value,successful_tackles_team_id,successful_tackles_team,successful_tackles_rank,successful_tackles_position_id,successful_tackles_position_name,successful_tackles_points_per_match,tackle_points_match_played,tackle_points_value,tackle_points_team_id,tackle_points_team,tackle_points_rank,tackle_points_position_id,tackle_points_position_name,tackle_points_points_per_match,avg_tackle_points_match_played,avg_tackle_points_value,avg_tackle_points_team_id,avg_tackle_points_team,avg_tackle_points_rank,avg_tackle_points_position_id,avg_tackle_points_position_name,avg_tackle_points_points_per_match,dod_raid_points_match_played,dod_raid_points_value,dod_raid_points_team_id,dod_raid_points_team,dod_raid_points_rank,dod_raid_points_position_id,dod_raid_points_position_name,dod_raid_points_points_per_match,super_raids_match_played,super_raids_value,super_raids_team_id,super_raids_team,super_raids_rank,super_raids_position_id,super_raids_position_name,super_raids_points_per_match,super_tackles_match_played,super_tackles_value,super_tackles_team_id,super_tackles_team,super_tackles_rank,super_tackles_position_id,super_tackles_position_name,super_tackles_points_per_match,super_10s_match_played,super_10s_value,super_10s_team_id,super_10s_team,super_10s_rank,super_10s_position_id,super_10s_position_name,super_10s_points_per_match,super_5s_match_played,super_5s_value,super_5s_team_id,super_5s_team,super_5s_rank,super_5s_position_id,super_5s_position_name,super_5s_points_per_match
102,3239,Ashu Singh,23,49,30,,U.P.,54,0,Defender - Right Cover,U.P. Yoddhas,2.130434782608696,,,,,,,,,,,,,,,,,23.0,43.0,30.0,,16.0,0.0,Defender - Right Cover,1.8695652173913044,23.0,49.0,30.0,,16.0,0.0,Defender - Right Cover,2.130434782608696,23.0,2.13,30.0,,29.0,0.0,Defender - Right Cover,0.0926086956521739,,,,,,,,,,,,,,,,,23.0,6.0,30.0,,7.0,0.0,Defender - Right Cover,0.2608695652173913,,,,,,,,,23.0,2.0,30.0,,18.0,0.0,Defender - Right Cover,0.0869565217391304
103,3240,Sumit,21,56,30,,U.P.,46,0,Defender - Left Corner,U.P. Yoddhas,2.6666666666666665,21.0,1.0,30.0,,108.0,0.0,Defender - Left Corner,0.0476190476190476,21.0,2.0,30.0,,102.0,0.0,Defender - Left Corner,0.0952380952380952,21.0,49.0,30.0,,13.0,0.0,Defender - Left Corner,2.3333333333333335,21.0,54.0,30.0,,12.0,0.0,Defender - Left Corner,2.5714285714285716,21.0,2.57,30.0,,15.0,0.0,Defender - Left Corner,0.1223809523809523,,,,,,,,,,,,,,,,,21.0,5.0,30.0,,9.0,0.0,Defender - Left Corner,0.238095238095238,,,,,,,,,21.0,3.0,30.0,,13.0,0.0,Defender - Left Corner,0.1428571428571428
104,3241,Surender Gill,14,145,30,,U.P.,13,8,Raider,U.P. Yoddhas,10.357142857142858,14.0,106.0,30.0,,15.0,8.0,Raider,7.571428571428571,14.0,140.0,30.0,,13.0,8.0,Raider,10.0,14.0,4.0,30.0,,106.0,8.0,Raider,0.2857142857142857,14.0,5.0,30.0,,102.0,8.0,Raider,0.3571428571428571,14.0,0.36,30.0,,125.0,8.0,Raider,0.0257142857142857,14.0,19.0,30.0,,15.0,8.0,Raider,1.3571428571428572,14.0,6.0,30.0,,7.0,8.0,Raider,0.4285714285714285,14.0,1.0,30.0,,78.0,8.0,Raider,0.0714285714285714,14.0,8.0,30.0,,9.0,8.0,Raider,0.5714285714285714,,,,,,,,
105,3343,Sajin C,13,10,6,,PAT,134,0,All-Rounder,Patna Pirates,0.7692307692307693,,,,,,,,,,,,,,,,,13.0,9.0,6.0,,74.0,0.0,All-Rounder,0.6923076923076923,13.0,10.0,6.0,,74.0,0.0,All-Rounder,0.7692307692307693,13.0,0.77,6.0,,91.0,0.0,All-Rounder,0.0592307692307692,,,,,,,,,,,,,,,,,13.0,1.0,6.0,,79.0,0.0,All-Rounder,0.0769230769230769,,,,,,,,,,,,,,,,
106,3472,Rathan K,4,5,30,,U.P.,168,8,Raider,U.P. Yoddhas,1.25,4.0,2.0,30.0,,89.0,8.0,Raider,0.5,4.0,5.0,30.0,,85.0,8.0,Raider,1.25,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,30.0,,51.0,8.0,Raider,0.75,4.0,1.0,30.0,,48.0,8.0,Raider,0.25,,,,,,,,,,,,,,,,,,,,,,,,
107,3574,Ankush,24,89,3,,JAI,27,0,Defender - Left Corner,Jaipur Pink Panthers,3.7083333333333335,,,,,,,,,,,,,,,,,24.0,84.0,3.0,,1.0,0.0,Defender - Left Corner,3.5,24.0,89.0,3.0,,1.0,0.0,Defender - Left Corner,3.7083333333333335,24.0,3.71,3.0,,5.0,0.0,Defender - Left Corner,0.1545833333333333,,,,,,,,,,,,,,,,,24.0,5.0,3.0,,10.0,0.0,Defender - Left Corner,0.2083333333333333,,,,,,,,,24.0,9.0,3.0,,1.0,0.0,Defender - Left Corner,0.375
108,3593,Sourav Gulia,16,35,31,,GUJ,78,9,Defender,Gujarat Giants,2.1875,,,,,,,,,,,,,,,,,16.0,35.0,31.0,,27.0,9.0,Defender,2.1875,16.0,35.0,31.0,,31.0,9.0,Defender,2.1875,16.0,2.19,31.0,,27.0,9.0,Defender,0.136875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,3.0,31.0,,9.0,9.0,Defender,0.1875
109,3964,Rinku,19,59,5,,MUM,39,0,Defender - Right Corner,U Mumba,3.1052631578947367,,,,,,,,,,,,,,,,,19.0,52.0,5.0,,10.0,0.0,Defender - Right Corner,2.736842105263158,19.0,59.0,5.0,,6.0,0.0,Defender - Right Corner,3.1052631578947367,19.0,3.11,5.0,,7.0,0.0,Defender - Right Corner,0.1636842105263158,,,,,,,,,,,,,,,,,19.0,7.0,5.0,,5.0,0.0,Defender - Right Corner,0.3684210526315789,,,,,,,,,19.0,3.0,5.0,,10.0,0.0,Defender - Right Corner,0.1578947368421052
110,3965,Manjeet,20,69,2,,DEL,34,8,Raider,Dabang Delhi K.C.,3.45,20.0,41.0,2.0,,33.0,8.0,Raider,2.05,20.0,62.0,2.0,,31.0,8.0,Raider,3.1,20.0,6.0,2.0,,85.0,8.0,Raider,0.3,20.0,7.0,2.0,,89.0,8.0,Raider,0.35,20.0,0.35,2.0,,126.0,8.0,Raider,0.0174999999999999,20.0,14.0,2.0,,26.0,8.0,Raider,0.7,20.0,3.0,2.0,,22.0,8.0,Raider,0.15,20.0,1.0,2.0,,73.0,8.0,Raider,0.05,20.0,1.0,2.0,,35.0,8.0,Raider,0.05,,,,,,,,
111,3966,Rakesh,17,133,31,,GUJ,21,8,Raider,Gujarat Giants,7.823529411764706,17.0,103.0,31.0,,18.0,8.0,Raider,6.0588235294117645,17.0,131.0,31.0,,19.0,8.0,Raider,7.705882352941177,17.0,2.0,31.0,,132.0,8.0,Raider,0.1176470588235294,17.0,2.0,31.0,,147.0,8.0,Raider,0.1176470588235294,17.0,0.12,31.0,,167.0,8.0,Raider,0.0070588235294117,17.0,26.0,31.0,,8.0,8.0,Raider,1.5294117647058822,17.0,3.0,31.0,,23.0,8.0,Raider,0.1764705882352941,,,,,,,,,17.0,7.0,31.0,,10.0,8.0,Raider,0.4117647058823529,,,,,,,,
