player-super-raids_player_name,player-raid-points_player_name,player-successful-raids_player_name,player-total-points_player_name,player-super-tackles_player_name,player-dod-raid-points_player_name,super-10s_player_name,high-5s_player_name,player-tackle-points_player_name,player-successful-tackles_player_name,player-avg-tackle-points_player_name,player-super-raids_match_played,player-raid-points_match_played,player-successful-raids_match_played,player-total-points_match_played,player-super-tackles_match_played,player-dod-raid-points_match_played,super-10s_match_played,high-5s_match_played,player-tackle-points_match_played,player-successful-tackles_match_played,player-avg-tackle-points_match_played,player-super-raids_position_name,player-raid-points_position_name,player-successful-raids_position_name,player-total-points_position_name,player-super-tackles_position_name,player-dod-raid-points_position_name,super-10s_position_name,high-5s_position_name,player-tackle-points_position_name,player-successful-tackles_position_name,player-avg-tackle-points_position_name,player-super-raids_team,player-raid-points_team,player-successful-raids_team,player-total-points_team,player-super-tackles_team,player-dod-raid-points_team,super-10s_team,high-5s_team,player-tackle-points_team,player-successful-tackles_team,player-avg-tackle-points_team,player-super-raids_team_name,player-raid-points_team_name,player-successful-raids_team_name,player-total-points_team_name,player-super-tackles_team_name,player-dod-raid-points_team_name,super-10s_team_name,high-5s_team_name,player-tackle-points_team_name,player-successful-tackles_team_name,player-avg-tackle-points_team_name,player-super-raids_team_full_name,player-raid-points_team_full_name,player-successful-raids_team_full_name,player-total-points_team_full_name,player-super-tackles_team_full_name,player-dod-raid-points_team_full_name,super-10s_team_full_name,high-5s_team_full_name,player-tackle-points_team_full_name,player-successful-tackles_team_full_name,player-avg-tackle-points_team_full_name,player-super-raids_rank,player-raid-points_rank,player-successful-raids_rank,player-total-points_rank,player-super-tackles_rank,player-dod-raid-points_rank,super-10s_rank,high-5s_rank,player-tackle-points_rank,player-successful-tackles_rank,player-avg-tackle-points_rank,player-super-raids_value,player-raid-points_value,player-successful-raids_value,player-total-points_value,player-super-tackles_value,player-dod-raid-points_value,super-10s_value,high-5s_value,player-tackle-points_value,player-successful-tackles_value,player-avg-tackle-points_value,player-super-raids_points_per_match,player-raid-points_points_per_match,player-successful-raids_points_per_match,player-total-points_points_per_match,player-super-tackles_points_per_match,player-dod-raid-points_points_per_match,super-10s_points_per_match,high-5s_points_per_match,player-tackle-points_points_per_match,player-successful-tackles_points_per_match,player-avg-tackle-points_points_per_match,player-super-raids_team_id,player-raid-points_team_id,player-successful-raids_team_id,player-total-points_team_id,player-super-tackles_team_id,player-dod-raid-points_team_id,super-10s_team_id,high-5s_team_id,player-tackle-points_team_id,player-successful-tackles_team_id,player-avg-tackle-points_team_id,player-super-raids_position_id,player-raid-points_position_id,player-successful-raids_position_id,player-total-points_position_id,player-super-tackles_position_id,player-dod-raid-points_position_id,super-10s_position_id,high-5s_position_id,player-tackle-points_position_id,player-successful-tackles_position_id,player-avg-tackle-points_position_id
Kashiling Adake,Kashiling Adake,Kashiling Adake,Kashiling Adake,Kashiling Adake,Kashiling Adake,Kashiling Adake,,Kashiling Adake,Kashiling Adake,Kashiling Adake,13.0,13.0,13.0,13,13.0,13.0,13.0,,13.0,13.0,13.0,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,,,,,,,,,,,,DEL,DEL,DEL,DEL,DEL,DEL,DEL,,DEL,DEL,DEL,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,6.0,6.0,7.0,5,15.0,15.0,8.0,,35.0,37.0,43.0,3.0,78.0,58.0,89,3.0,16.0,2.0,,11.0,8.0,0.85,0.2307692307692307,6.0,4.461538461538462,6.846153846153846,0.2307692307692307,1.2307692307692308,0.1538461538461538,,0.8461538461538461,0.6153846153846154,0.0653846153846153,2.0,2.0,2.0,2,2.0,2.0,2.0,,2.0,2.0,2.0,8.0,8.0,8.0,8,8.0,8.0,8.0,,8.0,8.0,8.0
,Mahesh Goud,Mahesh Goud,Mahesh Goud,,Mahesh Goud,,,,,,,7.0,7.0,7,,7.0,,,,,,,Raider,Raider,Raider,,Raider,,,,,,,,,,,,,,,,,,PAT,PAT,PAT,,PAT,,,,,,,Patna Pirates,Patna Pirates,Patna Pirates,,Patna Pirates,,,,,,,51.0,51.0,82,,51.0,,,,,,,5.0,4.0,5,,1.0,,,,,,,0.7142857142857143,0.5714285714285714,0.7142857142857143,,0.1428571428571428,,,,,,,6.0,6.0,6,,6.0,,,,,,,8.0,8.0,8,,8.0,,,,,
Mahipal Narwal,Mahipal Narwal,Mahipal Narwal,Mahipal Narwal,Mahipal Narwal,Mahipal Narwal,,,Mahipal Narwal,Mahipal Narwal,Mahipal Narwal,14.0,14.0,14.0,14,14.0,14.0,,,14.0,14.0,14.0,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,JAI,JAI,JAI,JAI,JAI,JAI,,,JAI,JAI,JAI,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,20.0,34.0,38.0,47,17.0,34.0,,,39.0,38.0,46.0,1.0,13.0,8.0,22,2.0,4.0,,,9.0,7.0,0.64,0.0714285714285714,0.9285714285714286,0.5714285714285714,1.5714285714285714,0.1428571428571428,0.2857142857142857,,,0.6428571428571429,0.5,0.0457142857142857,3.0,3.0,3.0,3,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0,0.0,0.0,,,0.0,0.0,0.0
Manjeet Chhillar,Manjeet Chhillar,Manjeet Chhillar,Manjeet Chhillar,Manjeet Chhillar,Manjeet Chhillar,,Manjeet Chhillar,Manjeet Chhillar,Manjeet Chhillar,Manjeet Chhillar,12.0,12.0,12.0,12,12.0,12.0,,12.0,12.0,12.0,12.0,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,PUN,PUN,PUN,PUN,PUN,PUN,,PUN,PUN,PUN,PUN,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,21.0,26.0,24.0,12,38.0,44.0,,1.0,4.0,4.0,1.0,1.0,24.0,20.0,68,1.0,2.0,,5.0,44.0,43.0,3.67,0.0833333333333333,2.0,1.6666666666666667,5.666666666666667,0.0833333333333333,0.1666666666666666,,0.4166666666666667,3.6666666666666665,3.5833333333333335,0.3058333333333333,7.0,7.0,7.0,7,7.0,7.0,,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0
,,,Manoj Kumar,,,,,Manoj Kumar,Manoj Kumar,Manoj Kumar,,,,8,,,,,8.0,8.0,8.0,,,,Defender,,,,,Defender,Defender,Defender,,,,,,,,,,,,,,,BLR,,,,,BLR,BLR,BLR,,,,Bengaluru Bulls,,,,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,,,83,,,,,49.0,49.0,52.0,,,,4,,,,,4.0,4.0,0.5,,,,0.5,,,,,0.5,0.5,0.0625,,,,1,,,,,1.0,1.0,1.0,,,,9,,,,,9.0,9.0,9.0
,Mohit Chhillar,Mohit Chhillar,Mohit Chhillar,Mohit Chhillar,,,Mohit Chhillar,Mohit Chhillar,Mohit Chhillar,Mohit Chhillar,,14.0,14.0,14,14.0,,,14.0,14.0,14.0,14.0,,Defender,Defender,Defender,Defender,,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,BLR,BLR,BLR,BLR,,,BLR,BLR,BLR,BLR,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,58.0,60.0,23,16.0,,,2.0,3.0,3.0,2.0,,3.0,1.0,50,3.0,,,4.0,47.0,44.0,3.36,,0.2142857142857142,0.0714285714285714,3.5714285714285716,0.2142857142857142,,,0.2857142857142857,3.357142857142857,3.142857142857143,0.24,,1.0,1.0,1,1.0,,,1.0,1.0,1.0,1.0,,9.0,9.0,9,9.0,,,9.0,9.0,9.0,9.0
,Nilesh Shinde,Nilesh Shinde,Nilesh Shinde,,,,,Nilesh Shinde,Nilesh Shinde,Nilesh Shinde,,12.0,12.0,12,,,,,12.0,12.0,12.0,,Defender,Defender,Defender,,,,,Defender,Defender,Defender,,,,,,,,,,,,,KOL,KOL,KOL,,,,,KOL,KOL,KOL,,Bengal Warriors,Bengal Warriors,Bengal Warriors,,,,,Bengal Warriors,Bengal Warriors,Bengal Warriors,,59.0,61.0,41,,,,,18.0,17.0,16.0,,2.0,1.0,28,,,,,26.0,26.0,2.17,,0.1666666666666666,0.0833333333333333,2.3333333333333335,,,,,2.1666666666666665,2.1666666666666665,0.1808333333333333,,4.0,4.0,4,,,,,4.0,4.0,4.0,,9.0,9.0,9,,,,,9.0,9.0,9.0
Nitin Madane,Nitin Madane,Nitin Madane,Nitin Madane,Nitin Madane,Nitin Madane,Nitin Madane,,Nitin Madane,Nitin Madane,Nitin Madane,13.0,13.0,13.0,13,13.0,13.0,13.0,,13.0,13.0,13.0,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,,,,,,,,,,,,KOL,KOL,KOL,KOL,KOL,KOL,KOL,,KOL,KOL,KOL,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,22.0,17.0,15.0,20,39.0,9.0,9.0,,58.0,65.0,70.0,1.0,51.0,43.0,53,1.0,21.0,1.0,,2.0,1.0,0.15,0.0769230769230769,3.923076923076923,3.3076923076923075,4.076923076923077,0.0769230769230769,1.6153846153846154,0.0769230769230769,,0.1538461538461538,0.0769230769230769,0.0115384615384615,4.0,4.0,4.0,4,4.0,4.0,4.0,,4.0,4.0,4.0,8.0,8.0,8.0,8,8.0,8.0,8.0,,8.0,8.0,8.0
Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,,Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,16.0,16.0,16.0,16,16.0,16.0,16.0,,16.0,16.0,16.0,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,,,,,,,,,,,,HYD,HYD,HYD,HYD,HYD,HYD,HYD,,HYD,HYD,HYD,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,Telugu Titans,Telugu Titans,Telugu Titans,1.0,1.0,1.0,1,40.0,1.0,1.0,,48.0,52.0,66.0,6.0,146.0,110.0,150,1.0,38.0,7.0,,4.0,3.0,0.25,0.375,9.125,6.875,9.375,0.0625,2.375,0.4375,,0.25,0.1875,0.015625,8.0,8.0,8.0,8,8.0,8.0,8.0,,8.0,8.0,8.0,8.0,8.0,8.0,8,8.0,8.0,8.0,,8.0,8.0,8.0
Rajesh Mondal,Rajesh Mondal,Rajesh Mondal,Rajesh Mondal,,Rajesh Mondal,,,Rajesh Mondal,Rajesh Mondal,Rajesh Mondal,15.0,15.0,15.0,15,,15.0,,,15.0,15.0,15.0,Raider,Raider,Raider,Raider,,Raider,,,Raider,Raider,Raider,,,,,,,,,,,,PAT,PAT,PAT,PAT,,PAT,,,PAT,PAT,PAT,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,Patna Pirates,,,Patna Pirates,Patna Pirates,Patna Pirates,28.0,16.0,12.0,19,,4.0,,,57.0,64.0,74.0,1.0,57.0,47.0,59,,33.0,,,2.0,2.0,0.13,0.0666666666666666,3.8,3.1333333333333333,3.933333333333333,,2.2,,,0.1333333333333333,0.1333333333333333,0.0086666666666666,6.0,6.0,6.0,6,,6.0,,,6.0,6.0,6.0,8.0,8.0,8.0,8,,8.0,,,8.0,8.0,8.0
Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,,Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,16.0,16.0,16.0,16,16.0,16.0,16.0,,16.0,16.0,16.0,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,JAI,JAI,JAI,JAI,JAI,JAI,JAI,,JAI,JAI,JAI,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,7.0,9.0,9.0,7,41.0,16.0,11.0,,25.0,25.0,35.0,3.0,66.0,52.0,85,1.0,14.0,1.0,,19.0,18.0,1.19,0.1875,4.125,3.25,5.3125,0.0625,0.875,0.0625,,1.1875,1.125,0.074375,3.0,3.0,3.0,3,3.0,3.0,3.0,,3.0,3.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0
Rakesh Kumar,Rakesh Kumar,Rakesh Kumar,Rakesh Kumar,Rakesh Kumar,Rakesh Kumar,Rakesh Kumar,,Rakesh Kumar,Rakesh Kumar,Rakesh Kumar,14.0,14.0,14.0,14,14.0,14.0,14.0,,14.0,14.0,14.0,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,MUM,MUM,MUM,MUM,MUM,MUM,MUM,,MUM,MUM,MUM,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,,U Mumba,U Mumba,U Mumba,26.0,19.0,18.0,10,14.0,50.0,12.0,,19.0,19.0,20.0,1.0,44.0,40.0,70,3.0,1.0,1.0,,26.0,23.0,1.86,0.0714285714285714,3.142857142857143,2.857142857142857,5.0,0.2142857142857142,0.0714285714285714,0.0714285714285714,,1.8571428571428572,1.6428571428571428,0.1328571428571428,5.0,5.0,5.0,5,5.0,5.0,5.0,,5.0,5.0,5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0
Ravi Dalal,Ravi Dalal,Ravi Dalal,Ravi Dalal,,Ravi Dalal,,,,,,6.0,6.0,6.0,6,,6.0,,,,,,Raider,Raider,Raider,Raider,,Raider,,,,,,,,,,,,,,,,,KOL,KOL,KOL,KOL,,KOL,,,,,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,Bengal Warriors,,,,,,27.0,35.0,39.0,64,,25.0,,,,,,1.0,13.0,8.0,13,,7.0,,,,,,0.1666666666666666,2.1666666666666665,1.3333333333333333,2.1666666666666665,,1.1666666666666667,,,,,,4.0,4.0,4.0,4,,4.0,,,,,,8.0,8.0,8.0,8,,8.0,,,,,
Rishank Devadiga,Rishank Devadiga,Rishank Devadiga,Rishank Devadiga,,Rishank Devadiga,Rishank Devadiga,,,,,14.0,14.0,14.0,14,,14.0,14.0,,,,,Raider,Raider,Raider,Raider,,Raider,Raider,,,,,,,,,,,,,,,,MUM,MUM,MUM,MUM,,MUM,MUM,,,,,U Mumba,U Mumba,U Mumba,U Mumba,,U Mumba,U Mumba,,,,,8.0,8.0,8.0,11,,10.0,3.0,,,,,2.0,70.0,57.0,70,,19.0,2.0,,,,,0.1428571428571428,5.0,4.071428571428571,5.0,,1.3571428571428572,0.1428571428571428,,,,,5.0,5.0,5.0,5,,5.0,5.0,,,,,8.0,8.0,8.0,8,,8.0,8.0,,,,
,,,Rohit Rana,,,,,Rohit Rana,Rohit Rana,Rohit Rana,,,,5,,,,,5.0,5.0,5.0,,,,Defender,,,,,Defender,Defender,Defender,,,,,,,,,,,,,,,JAI,,,,,JAI,JAI,JAI,,,,Jaipur Pink Panthers,,,,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,,,86,,,,,55.0,50.0,47.0,,,,3,,,,,3.0,3.0,0.6,,,,0.6,,,,,0.6,0.6,0.12,,,,3,,,,,3.0,3.0,3.0,,,,9,,,,,9.0,9.0,9.0
