player_name,player_id,match_played,value,team_id,team,team_name,rank,position_id,position_name,team_full_name,points_per_match
Kuldeep Singh,732,22,49,28,,HAR,58,0,All Rounder,Haryana Steelers,2.227272727272727
Farhad Milaghardan,482,22,47,8,,HYD,59,9,Defender,Telugu Titans,2.1363636363636362
Ruturaj Koravi,2023,23,47,31,,GUJ,60,9,Defender,Gujarat Giants,2.0434782608695654
Mahesh Goud,66,10,46,4,,KOL,61,8,Raider,Bengal Warriors,4.6
Jasvir Singh,52,16,46,29,,CHE,62,9,Defender,Tamil Thalaivas,2.875
Ashish Kumar,202,24,45,1,,BLR,63,0,All Rounder,Bengaluru Bulls,1.875
Pawan Kumar,156,13,45,2,,DEL,64,8,Raider,Dabang Delhi K.C.,3.4615384615384617
Narender ,778,25,42,30,,U.P.,65,0,,U.P. Yoddha,1.68
Ravindra Kumavat,3094,12,42,4,,KOL,66,8,raider,Bengal Warriors,3.5
Sunil ,3106,22,41,28,,HAR,67,0,Defender - Right Corner,Haryana Steelers,1.8636363636363635
Akshay Jadhav,365,18,41,7,,PUN,68,8,Raider,Puneri Paltan,2.2777777777777777
Selvamani K ,264,14,41,3,,JAI,69,8,raider,Jaipur Pink Panthers,2.9285714285714284
Ravi Kumar,240,22,40,7,,PUN,70,9,Defender,Puneri Paltan,1.8181818181818181
Jeeva Kumar,54,19,40,30,,U.P.,71,9,Defender,U.P. Yoddha,2.1052631578947367
Dharmaraj Cheralathan,42,22,40,5,,MUM,72,9,Defender,U Mumba,1.8181818181818181
Vikas kale,179,22,39,6,,PAT,73,9,Defender,Patna Pirates,1.7727272727272727
Vishal Mane,123,22,38,2,,DEL,74,9,Defender,Dabang Delhi K.C.,1.7272727272727273
Rohit Rana,96,19,38,5,,MUM,75,0,All Rounder,U Mumba,2
Sunil Siddhgavali,613,16,38,3,,JAI,76,9,defender,Jaipur Pink Panthers,2.375
Amit Sheoran,3115,15,38,1,,BLR,77,9,Defender,Bengaluru Bulls,2.533333333333333
Vikash Jaglan,121,14,37,6,,PAT,78,0,All Rounder,Patna Pirates,2.642857142857143
Deepak Dahiya,174,11,34,7,,PUN,79,9,Defender,Puneri Paltan,3.090909090909091
Ajay Kumar,389,13,33,31,,GUJ,80,8,Raider,Gujarat Giants,2.5384615384615383
Amit Kumar,3133,17,33,3,,JAI,81,0,,Jaipur Pink Panthers,1.9411764705882353
Nitin Rawal,3065,9,31,3,,JAI,82,0,All Rounder,Jaipur Pink Panthers,3.4444444444444446
Dong Geon Lee,522,11,31,31,,GUJ,83,8,Raider,Gujarat Giants,2.8181818181818183
