Team Line Up,,,,
Team Name,Player Name,Position,Total Played,Total Starts
Haryana Steelers,Shrikant Tewthia,All Rounder,3,2
Haryana Steelers,Rajesh Narwal,All Rounder,3,0
Haryana Steelers,Ajay Ghanghas,All Rounder,1,0
Haryana Steelers,Vikas Jaglan,Raider,0,0
Haryana Steelers,Rajesh Gurjar,Null,0,0
Haryana Steelers,Hamid Nader,,0,0
Jaipur Pink Panthers,Arjun Deshwal,Raider,22,22
Jaipur Pink Panthers,Vishal Lather,All Rounder,21,21
Jaipur Pink Panthers,Sandeep Dhull,Left Corner,19,19
Jaipur Pink Panthers,Shaul Kumar,Null,18,16
Jaipur Pink Panthers,Deepak Hooda,All Rounder,17,16
Jaipur Pink Panthers,Deepak Rajendar Singh,,14,11
Jaipur Pink Panthers,Nitin Rawal,Left Cover,13,10
Jaipur Pink Panthers,Naveen,Raider,11,7
Jaipur Pink Panthers,Amit Kharb,Right Cover,11,10
Jaipur Pink Panthers,Pavan TR,Right Cover,9,1
Jaipur Pink Panthers,Sachin Narwal,All Rounder,7,5
Jaipur Pink Panthers,Brijendra Singh Chaudhary,All Rounder,7,4
Jaipur Pink Panthers,Amit Nagar,Raider,7,5
Jaipur Pink Panthers,Dharmaraj Cheralathan,Defender,5,3
Jaipur Pink Panthers,Amit Hooda,Right Corner,2,2
Jaipur Pink Panthers,Amirhossein Maleki,Raider,2,0
Jaipur Pink Panthers,Amin Nosrati,,2,1
Jaipur Pink Panthers,Sushil Gulia,Raider,1,0
Jaipur Pink Panthers,Elavarasan A,Left Cover,1,1
Jaipur Pink Panthers,Ashok,Raider,1,0
Patna Pirates,Shadloui Chianeh,,24,24
Patna Pirates,Sachin Tanwar,Raider,23,23
Patna Pirates,Prashanth Kumar Rai,Raider,23,23
Patna Pirates,Neeraj Kumar,Right Cover,23,23
Patna Pirates,C Sajin,Null,23,23
Patna Pirates,Sunil,Right Corner,22,22
Patna Pirates,Shubham Shinde,Right Corner,19,2
Patna Pirates,Guman Singh,Raider,19,11
Patna Pirates,Monu Sandhu,Raider,15,1
Patna Pirates,Monu Goyat,Raider,14,12
Patna Pirates,Sourav Gulia,Defender,3,1
Patna Pirates,Selvamani K,Raider,3,0
Patna Pirates,Sandeep,Defender,2,0
Patna Pirates,Rohit,,1,0
Patna Pirates,Mohit,Raider,1,1
Patna Pirates,Manuj,Null,1,0
Patna Pirates,Manish Angrej,,1,0
Patna Pirates,Daniel Omondi Odhiambo,All Rounder,1,1
Patna Pirates,Balaji D,Null,1,1
Puneri Paltan,Sanket Sawant,Left Cover,23,23
Puneri Paltan,Asalam Inamdar,,23,22
Puneri Paltan,Abinesh Nadarajan,Right cover,22,22
Puneri Paltan,Mohit Goyat,Raider,21,18
Puneri Paltan,Vishal Bhardwaj,All Rounder,20,19
Puneri Paltan,Sombir,Right Corner,19,17
Puneri Paltan,Nitin Tomar,Raider,18,17
Puneri Paltan,Karamvir,Left Corner,11,4
Puneri Paltan,Baldev Singh,Right Corner,8,6
Puneri Paltan,Rahul Chaudhari,Raider,7,4
Puneri Paltan,Pankaj Mohite,Raider,7,6
Puneri Paltan,Jadhav Shahaji,Right Cover,7,1
Puneri Paltan,Shubham Shelke,,6,0
Puneri Paltan,Vishwas S,Null,4,1
Puneri Paltan,Akash Shinde,,3,0
Puneri Paltan,Victor Obiero,All Rounder,1,0
Puneri Paltan,Pawan Kumar,Raider,1,1
Puneri Paltan,Hadi Tajik,Right Corner,1,0
Tamil Thalaivas,Sahil,Null,4,3
Tamil Thalaivas,Sahil,Null,18,17
Tamil Thalaivas,Sagar,Right Corner,22,22
Tamil Thalaivas,Bhavani Rajput,Raider,21,13
Tamil Thalaivas,Surjeet Singh,Right Cover,20,20
Tamil Thalaivas,Mohit,,20,19
Tamil Thalaivas,Manjeet,Raider,20,20
Tamil Thalaivas,Ajinkya Pawar,Raider,18,7
Tamil Thalaivas,Athul MS,All Rounder,13,5
Tamil Thalaivas,Sagar Krishna,All Rounder,10,6
Tamil Thalaivas,Himanshu,Right Corner,10,6
Tamil Thalaivas,M. Abishek,Right Cover,7,5
Tamil Thalaivas,K Prapanjan,Raider,7,6
Tamil Thalaivas,Himanshu Singh,,6,2
Tamil Thalaivas,Santhapanaselvam,All Rounder,4,0
Tamil Thalaivas,Aashish,,3,3
Tamil Thalaivas,Sandaruwan Asiri,Raider,2,0
Tamil Thalaivas,Anwar Saheed Baba,All Rounder,1,0
Telugu Titans,Surinder Singh,Right Cover,21,21
Telugu Titans,Ankit Beniwal,Raider,21,19
Telugu Titans,Adarsh T,Left Corner,21,13
Telugu Titans,Akash Choudhary,Right Corner,17,14
Telugu Titans,Sandeep Kandola,Left Cover,16,16
Telugu Titans,Prince D,Defender,14,9
Telugu Titans,C. Arun,Left Cover,14,12
Telugu Titans,Rakesh Gowda,Raider,13,6
Telugu Titans,Rajnish,Raider,13,13
Telugu Titans,Galla Raju,Null,13,4
Telugu Titans,Ruturaj Koravi,Right Corner,10,8
Telugu Titans,Rohit Kumar,Raider,8,8
Telugu Titans,Muhammed Shihas S,,8,5
Telugu Titans,Siddharth Desai,Raider,3,3
Telugu Titans,Hyunsu Park,Raider,3,0
Telugu Titans,Manish,Left Cover,2,2
Telugu Titans,Palla Ramakrishna,Null,1,1
Telugu Titans,Amit Chauhan,Raider,1,0
Telugu Titans,Aakash Dattu Arsul,Right Cover,1,0
Telugu Titans,Tetsuro Abe,Defender,0,0
U Mumba,Rinku Hc,Defender,22,21
U Mumba,Fazel Atrachali,Left Corner,22,22
U Mumba,Abhishek Singh,Raider,22,22
U Mumba,Harendra Kumar,Left Cover,21,21
U Mumba,V. Ajith Kumar,Raider,20,20
U Mumba,Rahul Rana,,18,11
U Mumba,Shivam,,15,6
U Mumba,Ajinkya Kapre,All Rounder,13,6
U Mumba,Mohsen Maghsoudlou,Raider,11,9
U Mumba,Ashish Kumar,Right Cover,9,9
U Mumba,Sunil Siddhgavali,Raider,4,3
U Mumba,Prince,,3,1
U Mumba,Prathap S,Null,3,1
U Mumba,Pankaj,All Rounder,3,0
U Mumba,Kamlesh,,2,0
U Mumba,Jashandeep Singh,Null,2,1
U Mumba,Baljinder Darshan Singh,,2,0
U Mumba,Ajeet,Right Cover,2,1
U Mumba,Navneet,Raider,0,0
UP Yoddha,Sumit,Left Corner,24,24
UP Yoddha,Pardeep Narwal,Raider,24,23
UP Yoddha,Nitesh Kumar,Right Corner,24,24
UP Yoddha,Surender Gill,Raider,23,23
UP Yoddha,Shrikant Jadhav,Raider,23,16
UP Yoddha,Ashu Singh,Right Cover,23,23
UP Yoddha,Shubham Kumar,Left cover,21,21
UP Yoddha,Gurdeep,All Rounder,19,7
UP Yoddha,Mohammad Taghi,Raider,7,1
UP Yoddha,Sahil,Raider,6,0
UP Yoddha,Gaurav Kumar,Left corner,6,0
UP Yoddha,Rohit Tomar,Raider,5,2
UP Yoddha,Ankit,Null,4,2
UP Yoddha,Ankush,Raider,3,1
UP Yoddha,Nitin Panwar,All Rounder,1,0
UP Yoddha,Aman Hooda,Raider,1,1
UP Yoddha,Aashish Nagar,Right Corner,1,0
UP Yoddha,James Kamweti,Raider,0,0
