"Unique_ID","team_id","team","season","player-id","Raider Name","Total Raids","Successful Raids","Raider Success Rate","","",""
"team_id_2|5|Suresu Kumar","2","Dabang Delhi","5","#N/A","Suresu Kumar","12","2","17%","","",""
"team_id_2|5|Vishal","2","Dabang Delhi","5","#N/A","Vishal","7","1","14%","","",""
"team_id_2|5|Satpal","2","Dabang Delhi","5","#N/A","Satpal","7","0","0%","","",""
"team_id_2|5|Rupesh Tomar","2","Dabang Delhi","5","#N/A","Rupesh Tomar","7","0","0%","","",""
"team_id_2|5|Vipin Malik","2","Dabang Delhi","5","#N/A","Vipin Malik","3","0","0%","","",""
"team_id_2|5|Sunil","2","Dabang Delhi","5","#N/A","Sunil","2","0","0%","","",""
"team_id_2|5|Yatharth","2","Dabang Delhi","5","#N/A","Yatharth","1","0","0%","","",""
"team_id_28|5|Wazir Singh","28","Haryana Steeler","5","#N/A","Wazir Singh","271","90","33%","","",""
"team_id_28|5|Deepak Kumar Dahiya","28","Haryana Steeler","5","#N/A","Deepak Kumar Dahiya","196","62","32%","","",""
"team_id_28|5|Prashanth Kumar Rai","28","Haryana Steeler","5","#N/A","Prashanth Kumar Rai","149","63","42%","","",""
"team_id_28|5|Surjeet Singh","28","Haryana Steeler","5","#N/A","Surjeet Singh","146","47","32%","","",""
"team_id_28|5|Vikash Khandola","28","Haryana Steeler","5","#N/A","Vikash Khandola","136","45","33%","","",""
"team_id_28|5|Ashish Chhokar","28","Haryana Steeler","5","#N/A","Ashish Chhokar","32","6","19%","","",""
"team_id_28|5|Mayur Shivtarkar","28","Haryana Steeler","5","#N/A","Mayur Shivtarkar","25","6","24%","","",""
"team_id_28|5|Surender Nada","28","Haryana Steeler","5","#N/A","Surender Nada","22","2","9%","","",""
"team_id_28|5|Deepak Kumar","28","Haryana Steeler","5","#N/A","Deepak Kumar","17","3","18%","","",""
"team_id_28|5|Parmod Narwal","28","Haryana Steeler","5","#N/A","Parmod Narwal","12","0","0%","","",""
"team_id_28|5|Mohit Chhillar","28","Haryana Steeler","5","#N/A","Mohit Chhillar","9","1","11%","","",""
"team_id_28|5|David Mosambayi","28","Haryana Steeler","5","#N/A","David Mosambayi","6","2","33%","","",""
"team_id_28|5|Rakesh Singh Kumar","28","Haryana Steeler","5","#N/A","Rakesh Singh Kumar","3","0","0%","","",""
"team_id_28|5|Vikas","28","Haryana Steeler","5","#N/A","Vikas","2","0","0%","","",""
"team_id_28|5|Khomsan Thongkham","28","Haryana Steeler","5","#N/A","Khomsan Thongkham","2","0","0%","","",""
"team_id_28|5|Neeraj Kumar","28","Haryana Steeler","5","#N/A","Neeraj Kumar","1","0","0%","","",""
"team_id_28|5|Kuldeep Singh","28","Haryana Steeler","5","#N/A","Kuldeep Singh","1","0","0%","","",""
"team_id_8|5|Rahul Chaudhari","8","Telugu Titans","5","#N/A","Rahul Chaudhari","412","163","40%","","",""
"team_id_8|5|Nilesh Salunke","8","Telugu Titans","5","#N/A","Nilesh Salunke","247","80","32%","","",""
"team_id_8|5|Vikas","8","Telugu Titans","5","#N/A","Vikas","86","26","30%","","",""
"team_id_8|5|Mohsen Maghsoudlou","8","Telugu Titans","5","#N/A","Mohsen Maghsoudlou","83","27","33%","","",""
"team_id_8|5|Rakesh Kumar","8","Telugu Titans","5","#N/A","Rakesh Kumar","43","7","16%","","",""
"team_id_8|5|Vinoth Kumar","8","Telugu Titans","5","#N/A","Vinoth Kumar","23","5","22%","","",""
"team_id_8|5|Elangeshwaran R","8","Telugu Titans","5","#N/A","Elangeshwaran R","23","7","30%","","",""
"team_id_8|5|Rakshith","8","Telugu Titans","5","#N/A","Rakshith","22","11","50%","","",""
"team_id_8|5|Farhad Milaghardan","8","Telugu Titans","5","#N/A","Farhad Milaghardan","18","5","28%","","",""
"team_id_8|5|Vishal Bhardwaj","8","Telugu Titans","5","#N/A","Vishal Bhardwaj","5","0","0%","","",""
"team_id_8|5|Vikrant","8","Telugu Titans","5","#N/A","Vikrant","5","1","20%","","",""
"team_id_8|5|Munish","8","Telugu Titans","5","#N/A","Munish","4","0","0%","","",""
"team_id_3|5|Pawan Kumar","3","Jaipur Pink Panthers","5","#N/A","Pawan Kumar","284","97","34%","","",""
"team_id_3|5|Jasvir Singh","3","Jaipur Pink Panthers","5","#N/A","Jasvir Singh","210","56","27%","","",""
"team_id_3|5|Tushar Patil","3","Jaipur Pink Panthers","5","#N/A","Tushar Patil","156","54","35%","","",""
"team_id_3|5|Nitin Rawal","3","Jaipur Pink Panthers","5","#N/A","Nitin Rawal","148","49","33%","","",""
"team_id_3|5|Ajit Singh","3","Jaipur Pink Panthers","5","#N/A","Ajit Singh","57","17","30%","","",""
"team_id_3|5|Sidharth","3","Jaipur Pink Panthers","5","#N/A","Sidharth","32","3","9%","","",""
"team_id_3|5|Manjeet Chhillar","3","Jaipur Pink Panthers","5","#N/A","Manjeet Chhillar","29","4","14%","","",""
"team_id_3|5|Rahul Choudhary","3","Jaipur Pink Panthers","5","#N/A","Rahul Choudhary","17","5","29%","","",""
"team_id_3|5|Selvamani K","3","Jaipur Pink Panthers","5","#N/A","Selvamani K","14","3","21%","","",""
"team_id_3|5|Kamal Kishor","3","Jaipur Pink Panthers","5","#N/A","Kamal Kishor","9","0","0%","","",""
"team_id_3|5|Sunil Siddhgavali","3","Jaipur Pink Panthers","5","#N/A","Sunil Siddhgavali","2","0","0%","","",""
"team_id_3|5|Navneet Gautam","3","Jaipur Pink Panthers","5","#N/A","Navneet Gautam","2","0","0%","","",""
"team_id_3|5|Abhishek N","3","Jaipur Pink Panthers","5","#N/A","Abhishek N","2","0","0%","","",""
"team_id_31|5|Sachin","31","Gujarat Fortunegiants","5","#N/A","Sachin","295","134","45%","","",""
"team_id_31|5|Sukesh Hegde","31","Gujarat Fortunegiants","5","#N/A","Sukesh Hegde","235","59","25%","","",""
"team_id_31|5|Rohit Gulia","31","Gujarat Fortunegiants","5","#N/A","Rohit Gulia","160","33","21%","","",""
"team_id_31|5|Chandran Ranjit","31","Gujarat Fortunegiants","5","#N/A","Chandran Ranjit","122","44","36%","","",""
"team_id_31|5|Mahendra Rajput","31","Gujarat Fortunegiants","5","#N/A","Mahendra Rajput","109","44","40%","","",""
"team_id_31|5|Rakesh Narwal","31","Gujarat Fortunegiants","5","#N/A","Rakesh Narwal","56","15","27%","","",""
"team_id_31|5|Sunil Kumar","31","Gujarat Fortunegiants","5","#N/A","Sunil Kumar","31","1","3%","","",""
"team_id_31|5|Pawan Sehrawat","31","Gujarat Fortunegiants","5","#N/A","Pawan Sehrawat","24","5","21%","","",""
"team_id_31|5|Fazel Atrachali","31","Gujarat Fortunegiants","5","#N/A","Fazel Atrachali","11","0","0%","","",""
"team_id_31|5|Abozar Mighani","31","Gujarat Fortunegiants","5","#N/A","Abozar Mighani","6","0","0%","","",""
"team_id_31|5|Amit Rathi","31","Gujarat Fortunegiants","5","#N/A","Amit Rathi","3","0","0%","","",""
"team_id_31|5|Manoj Kumar","31","Gujarat Fortunegiants","5","#N/A","Manoj Kumar","2","0","0%","","",""
"team_id_31|5|Mahipal Narwal","31","Gujarat Fortunegiants","5","#N/A","Mahipal Narwal","1","0","0%","","",""
"team_id_30|5|Nitin Tomar","30","UP Yoddha","5","#N/A","Nitin Tomar","327","137","42%","","",""
"team_id_30|5|Rishank Devadiga","30","UP Yoddha","5","#N/A","Rishank Devadiga","305","128","42%","","",""
"team_id_30|5|Surender Singh","30","UP Yoddha","5","#N/A","Surender Singh","131","47","36%","","",""
"team_id_30|5|Mahesh Goud","30","UP Yoddha","5","#N/A","Mahesh Goud","90","31","34%","","",""
"team_id_30|5|Rajesh Narwal","30","UP Yoddha","5","#N/A","Rajesh Narwal","80","7","9%","","",""
"team_id_30|5|Santhosh B.S","30","UP Yoddha","5","#N/A","Santhosh B.S","18","1","6%","","",""
"team_id_30|5|Hadi Tajik","30","UP Yoddha","5","#N/A","Hadi Tajik","12","2","17%","","",""
"team_id_30|5|Sagar Krishna","30","UP Yoddha","5","#N/A","Sagar Krishna","10","1","10%","","",""
"team_id_30|5|Gulveer Singh","30","UP Yoddha","5","#N/A","Gulveer Singh","8","1","13%","","",""
"team_id_30|5|Pankaj","30","UP Yoddha","5","#N/A","Pankaj","6","0","0%","","",""
"team_id_30|5|Sunil","30","UP Yoddha","5","#N/A","Sunil","3","0","0%","","",""
"team_id_30|5|Sulieman Kabir","30","UP Yoddha","5","#N/A","Sulieman Kabir","3","0","0%","","",""
"team_id_30|5|Sanoj Kumar","30","UP Yoddha","5","#N/A","Sanoj Kumar","2","2","100%","","",""
"team_id_30|5|Rohit Kumar","30","UP Yoddha","5","#N/A","Rohit Kumar","2","1","50%","","",""
"team_id_30|5|Nitesh Kumar","30","UP Yoddha","5","#N/A","Nitesh Kumar","2","0","0%","","",""
"team_id_30|5|Jeeva Kumar","30","UP Yoddha","5","#N/A","Jeeva Kumar","2","0","0%","","",""
"team_id_30|5|Ajvender Singh","30","UP Yoddha","5","#N/A","Ajvender Singh","1","0","0%","","",""
"team_id_1|5|Rohit Kumar","1","Bengaluru Bulls","5","#N/A","Rohit Kumar","418","196","47%","","",""
"team_id_1|5|Ajay Kumar","1","Bengaluru Bulls","5","#N/A","Ajay Kumar","257","72","28%","","",""
"team_id_1|5|Ashish Kumar","1","Bengaluru Bulls","5","#N/A","Ashish Kumar","70","18","26%","","",""
"team_id_1|5|Sunil Jaipal","1","Bengaluru Bulls","5","#N/A","Sunil Jaipal","54","13","24%","","",""
"team_id_1|5|Harish Naik","1","Bengaluru Bulls","5","#N/A","Harish Naik","53","21","40%","","",""
"team_id_1|5|Gurvinder Singh","1","Bengaluru Bulls","5","#N/A","Gurvinder Singh","37","10","27%","","",""
"team_id_1|5|Preetam Chhillar","1","Bengaluru Bulls","5","#N/A","Preetam Chhillar","29","1","3%","","",""
"team_id_1|5|Sachin Kumar","1","Bengaluru Bulls","5","#N/A","Sachin Kumar","7","0","0%","","",""
"team_id_1|5|Ravinder Pahal","1","Bengaluru Bulls","5","#N/A","Ravinder Pahal","6","1","17%","","",""
"team_id_1|5|Sumit Singh","1","Bengaluru Bulls","5","#N/A","Sumit Singh","5","0","0%","","",""
"team_id_1|5|Rohit","1","Bengaluru Bulls","5","#N/A","Rohit","5","3","60%","","",""
"team_id_1|5|Mahender Singh","1","Bengaluru Bulls","5","#N/A","Mahender Singh","2","1","50%","","",""
"team_id_4|5|Maninder Singh","4","Bengal Warriors","5","#N/A","Maninder Singh","367","160","44%","","",""
"team_id_4|5|Jang Kun Lee","4","Bengal Warriors","5","#N/A","Jang Kun Lee","212","82","39%","","",""
"team_id_4|5|Deepak Narwal","4","Bengal Warriors","5","#N/A","Deepak Narwal","187","73","39%","","",""
"team_id_4|5|Vinod Kumar","4","Bengal Warriors","5","#N/A","Vinod Kumar","123","28","23%","","",""
"team_id_4|5|Bhupender Singh","4","Bengal Warriors","5","#N/A","Bhupender Singh","83","16","19%","","",""
"team_id_4|5|Surjeet Singh","4","Bengal Warriors","5","#N/A","Surjeet Singh","52","3","6%","","",""
"team_id_4|5|Ran Singh","4","Bengal Warriors","5","#N/A","Ran Singh","27","10","37%","","",""
"team_id_4|5|Virender","4","Bengal Warriors","5","#N/A","Virender","11","3","27%","","",""
"team_id_4|5|Ravindra Ramesh Kumaw..","4","Bengal Warriors","5","#N/A","Ravindra Ramesh Kumaw..","7","2","29%","","",""
"team_id_4|5|Shrikant Tewthia","4","Bengal Warriors","5","#N/A","Shrikant Tewthia","5","2","40%","","",""
"team_id_4|5|Kuldeep","4","Bengal Warriors","5","#N/A","Kuldeep","3","0","0%","","",""
"team_id_4|5|Rahul Kumar","4","Bengal Warriors","5","#N/A","Rahul Kumar","1","0","0%","","",""
"team_id_4|5|Anil Kumar","4","Bengal Warriors","5","#N/A","Anil Kumar","1","0","0%","","",""
"team_id_6|5|Pardeep Narwal","6","Patna Pirates","5","#N/A","Pardeep Narwal","586","278","47%","","",""
"team_id_6|5|Monu Goyat","6","Patna Pirates","5","#N/A","Monu Goyat","365","160","44%","","",""
"team_id_6|5|Vijay","6","Patna Pirates","5","#N/A","Vijay","83","18","22%","","",""
"team_id_6|5|Vinod Kumar","6","Patna Pirates","5","#N/A","Vinod Kumar","75","20","27%","","",""
"team_id_6|5|Vikas Jaglan","6","Patna Pirates","5","#N/A","Vikas Jaglan","25","8","32%","","",""
"team_id_6|5|Jawahar Dagar","6","Patna Pirates","5","#N/A","Jawahar Dagar","23","3","13%","","",""
"team_id_6|5|Vishnu Uthaman","6","Patna Pirates","5","#N/A","Vishnu Uthaman","7","0","0%","","",""
"team_id_6|5|Jaideep","6","Patna Pirates","5","#N/A","Jaideep","5","0","0%","","",""
"team_id_6|5|Manish","6","Patna Pirates","5","#N/A","Manish","2","0","0%","","",""
"team_id_6|5|Vishal Mane","6","Patna Pirates","5","#N/A","Vishal Mane","1","0","0%","","",""
"team_id_6|5|Satish","6","Patna Pirates","5","#N/A","Satish","1","0","0%","","",""
"team_id_5|5|Anup Kumar","5","U Mumba","5","#N/A","Anup Kumar","281","85","30%","","",""
"team_id_5|5|Kashiling Adake","5","U Mumba","5","#N/A","Kashiling Adake","223","84","38%","","",""
"team_id_5|5|Shrikant Jadhav","5","U Mumba","5","#N/A","Shrikant Jadhav","170","72","42%","","",""
"team_id_5|5|Shabeer Bappu","5","U Mumba","5","#N/A","Shabeer Bappu","108","32","30%","","",""
"team_id_5|5|Darshan Kadian","5","U Mumba","5","#N/A","Darshan Kadian","72","25","35%","","",""
"team_id_5|5|Nitin Madane","5","U Mumba","5","#N/A","Nitin Madane","51","12","24%","","",""
"team_id_5|5|Kuldeep Singh","5","U Mumba","5","#N/A","Kuldeep Singh","41","7","17%","","",""
"team_id_5|5|Mohan Raman G","5","U Mumba","5","#N/A","Mohan Raman G","9","4","44%","","",""
"team_id_5|5|Surinder Singh","5","U Mumba","5","#N/A","Surinder Singh","3","0","0%","","",""
"team_id_5|5|Yong Joo Ok","5","U Mumba","5","#N/A","Yong Joo Ok","2","1","50%","","",""
"team_id_5|5|Deepak Yadav","5","U Mumba","5","#N/A","Deepak Yadav","2","0","0%","","",""
"team_id_5|5|Dong Ju Hong","5","U Mumba","5","#N/A","Dong Ju Hong","1","0","0%","","",""
"team_id_6|6|Pardeep Narwal","6","Patna Pirates","6","#N/A","Pardeep Narwal","391","192","49%","","",""
"team_id_6|6|Manjeet","6","Patna Pirates","6","#N/A","Manjeet","189","78","41%","","",""
"team_id_6|6|Deepak Narwal","6","Patna Pirates","6","#N/A","Deepak Narwal","140","58","41%","","",""
"team_id_6|6|Vijay","6","Patna Pirates","6","#N/A","Vijay","111","50","45%","","",""
"team_id_6|6|Vikas Jaglan","6","Patna Pirates","6","#N/A","Vikas Jaglan","42","13","31%","","",""
"team_id_6|6|Tushar Patil","6","Patna Pirates","6","#N/A","Tushar Patil","38","13","34%","","",""
"team_id_6|6|Jaideep","6","Patna Pirates","6","#N/A","Jaideep","8","0","0%","","",""
"team_id_6|6|Jawahar Dagar","6","Patna Pirates","6","#N/A","Jawahar Dagar","5","1","20%","","",""
"team_id_6|6|Vikas Kale","6","Patna Pirates","6","#N/A","Vikas Kale","4","0","0%","","",""
"team_id_6|6|Vijay Kumar","6","Patna Pirates","6","#N/A","Vijay Kumar","2","1","50%","","",""
"team_id_6|6|Tae Deok Eom","6","Patna Pirates","6","#N/A","Tae Deok Eom","2","0","0%","","",""
"team_id_6|6|Surender Singh","6","Patna Pirates","6","#N/A","Surender Singh","1","0","0%","","",""
"team_id_6|6|Kuldeep Singh","6","Patna Pirates","6","#N/A","Kuldeep Singh","1","0","0%","","",""
"team_id_1|6|Pawan Sehrawat","1","Bengaluru Bulls","6","#N/A","Pawan Sehrawat","375","214","57%","","",""
"team_id_1|6|Rohit Kumar","1","Bengaluru Bulls","6","#N/A","Rohit Kumar","341","134","39%","","",""
"team_id_1|6|Kashiling Adake","1","Bengaluru Bulls","6","#N/A","Kashiling Adake","164","51","31%","","",""
"team_id_1|6|Harish Naik","1","Bengaluru Bulls","6","#N/A","Harish Naik","29","14","48%","","",""
"team_id_1|6|Sumit Singh","1","Bengaluru Bulls","6","#N/A","Sumit Singh","27","7","26%","","",""
"team_id_1|6|Ashish Kumar","1","Bengaluru Bulls","6","#N/A","Ashish Kumar","27","3","11%","","",""
"team_id_1|6|Anand V","1","Bengaluru Bulls","6","#N/A","Anand V","15","3","20%","","",""
"team_id_1|6|Mahesh Maruti Magdum","1","Bengaluru Bulls","6","#N/A","Mahesh Maruti Magdum","12","5","42%","","",""
"team_id_1|6|Mahender Singh","1","Bengaluru Bulls","6","#N/A","Mahender Singh","10","0","0%","","",""
"team_id_1|6|Sandeep","1","Bengaluru Bulls","6","#N/A","Sandeep","2","0","0%","","",""
"team_id_1|6|Ankit","1","Bengaluru Bulls","6","#N/A","Ankit","2","0","0%","","",""
"team_id_1|6|Gyung Tae Kim","1","Bengaluru Bulls","6","#N/A","Gyung Tae Kim","1","0","0%","","",""
"team_id_4|6|Maninder Singh","4","Bengal Warriors","6","#N/A","Maninder Singh","377","163","43%","","",""
"team_id_4|6|Jang Kun Lee","4","Bengal Warriors","6","#N/A","Jang Kun Lee","171","63","37%","","",""
"team_id_4|6|Mahesh Goud","4","Bengal Warriors","6","#N/A","Mahesh Goud","92","27","29%","","",""
"team_id_4|6|Ravindra Ramesh Kumaw..","4","Bengal Warriors","6","#N/A","Ravindra Ramesh Kumaw..","91","30","33%","","",""
"team_id_4|6|Ran Singh","4","Bengal Warriors","6","#N/A","Ran Singh","72","23","32%","","",""
"team_id_4|6|Surjeet Singh","4","Bengal Warriors","6","#N/A","Surjeet Singh","54","2","4%","","",""
"team_id_4|6|Amit Nagar","4","Bengal Warriors","6","#N/A","Amit Nagar","36","15","42%","","",""
"team_id_4|6|Bhupender Singh","4","Bengal Warriors","6","#N/A","Bhupender Singh","20","6","30%","","",""
"team_id_4|6|Rakesh Narwal","4","Bengal Warriors","6","#N/A","Rakesh Narwal","16","5","31%","","",""
"team_id_4|6|Mithin Kumar","4","Bengal Warriors","6","#N/A","Mithin Kumar","10","2","20%","","",""
"team_id_4|6|Shrikant Tewthia","4","Bengal Warriors","6","#N/A","Shrikant Tewthia","9","2","22%","","",""
"team_id_4|6|Amit Kumar","4","Bengal Warriors","6","#N/A","Amit Kumar","7","1","14%","","",""
"team_id_4|6|Amaresh Mondal","4","Bengal Warriors","6","#N/A","Amaresh Mondal","3","0","0%","","",""
"team_id_4|6|Vijin Thangadurai","4","Bengal Warriors","6","#N/A","Vijin Thangadurai","2","0","0%","","",""
"team_id_4|6|Baldev Singh","4","Bengal Warriors","6","#N/A","Baldev Singh","1","0","0%","","",""
"team_id_4|6|Ashish Chhokar","4","Bengal Warriors","6","#N/A","Ashish Chhokar","1","0","0%","","",""
"team_id_4|6|Adarsh T","4","Bengal Warriors","6","#N/A","Adarsh T","1","1","100%","","",""
"team_id_30|6|Shrikant Jadhav","30","UP Yoddha","6","#N/A","Shrikant Jadhav","332","112","34%","","",""
"team_id_30|6|Rishank Devadiga","30","UP Yoddha","6","#N/A","Rishank Devadiga","262","84","32%","","",""
"team_id_30|6|Prashanth Kumar Rai","30","UP Yoddha","6","#N/A","Prashanth Kumar Rai","262","115","44%","","",""
"team_id_30|6|Sachin Kumar","30","UP Yoddha","6","#N/A","Sachin Kumar","89","21","24%","","",""
"team_id_30|6|Azad Singh","30","UP Yoddha","6","#N/A","Azad Singh","48","14","29%","","",""
"team_id_30|6|Rohit Kumar Choudary","30","UP Yoddha","6","#N/A","Rohit Kumar Choudary","22","2","9%","","",""
"team_id_30|6|Bhanu Tomar","30","UP Yoddha","6","#N/A","Bhanu Tomar","22","6","27%","","",""
"team_id_30|6|Vishav Chaudhary","30","UP Yoddha","6","#N/A","Vishav Chaudhary","11","1","9%","","",""
"team_id_30|6|Sagar Krishna","30","UP Yoddha","6","#N/A","Sagar Krishna","9","0","0%","","",""
"team_id_30|6|Nitesh Kumar","30","UP Yoddha","6","#N/A","Nitesh Kumar","6","0","0%","","",""
"team_id_30|6|Md Masud Karim","30","UP Yoddha","6","#N/A","Md Masud Karim","3","2","67%","","",""
"team_id_30|6|MD.Masud Karim","30","UP Yoddha","6","#N/A","MD.Masud Karim","1","0","0%","","",""
"team_id_30|6|Jeeva Kumar","30","UP Yoddha","6","#N/A","Jeeva Kumar","1","0","0%","","",""
"team_id_31|6|Sachin","31","Gujarat Fortunegiants","6","#N/A","Sachin","366","166","45%","","",""
"team_id_31|6|K. Prapanjan","31","Gujarat Fortunegiants","6","#N/A","K. Prapanjan","255","97","38%","","",""
"team_id_31|6|Rohit Gulia","31","Gujarat Fortunegiants","6","#N/A","Rohit Gulia","152","50","33%","","",""
"team_id_31|6|Ajay Kumar","31","Gujarat Fortunegiants","6","#N/A","Ajay Kumar","88","26","30%","","",""
"team_id_31|6|Mahendra Rajput","31","Gujarat Fortunegiants","6","#N/A","Mahendra Rajput","66","19","29%","","",""
"team_id_31|6|Dong Geon Lee","31","Gujarat Fortunegiants","6","#N/A","Dong Geon Lee","65","23","35%","","",""
"team_id_31|6|Sunil Kumar","31","Gujarat Fortunegiants","6","#N/A","Sunil Kumar","30","0","0%","","",""
"team_id_31|6|Shubham Ashok Palkar","31","Gujarat Fortunegiants","6","#N/A","Shubham Ashok Palkar","13","2","15%","","",""
"team_id_31|6|Hadi Oshtorak","31","Gujarat Fortunegiants","6","#N/A","Hadi Oshtorak","11","4","36%","","",""
"team_id_31|6|Lalit Chaudhary","31","Gujarat Fortunegiants","6","#N/A","Lalit Chaudhary","7","1","14%","","",""
"team_id_31|6|Dharmender","31","Gujarat Fortunegiants","6","#N/A","Dharmender","6","2","33%","","",""
"team_id_31|6|Sachin V.","31","Gujarat Fortunegiants","6","#N/A","Sachin V.","5","2","40%","","",""
"team_id_31|6|Anil","31","Gujarat Fortunegiants","6","#N/A","Anil","4","0","0%","","",""
"team_id_31|6|Ruturaj Shivaji Koravi","31","Gujarat Fortunegiants","6","#N/A","Ruturaj Shivaji Koravi","3","0","0%","","",""
"team_id_31|6|Parvesh Bhainswal","31","Gujarat Fortunegiants","6","#N/A","Parvesh Bhainswal","1","0","0%","","",""
"team_id_5|6|Siddharth Sirish Desai","5","U Mumba","6","#N/A","Siddharth Sirish Desai","321","174","54%","","",""
"team_id_5|6|Rohit Baliyan","5","U Mumba","6","#N/A","Rohit Baliyan","188","82","44%","","",""
"team_id_5|6|Darshan Kadian","5","U Mumba","6","#N/A","Darshan Kadian","141","40","28%","","",""
"team_id_5|6|Abhishek Singh","5","U Mumba","6","#N/A","Abhishek Singh","117","38","32%","","",""
"team_id_5|6|Abolfazl Maghsodloumah..","5","U Mumba","6","#N/A","Abolfazl Maghsodloumah..","77","19","25%","","",""
"team_id_5|6|Vinod Kumar","5","U Mumba","6","#N/A","Vinod Kumar","68","15","22%","","",""
"team_id_5|6|Dharmaraj Cheralathan","5","U Mumba","6","#N/A","Dharmaraj Cheralathan","22","0","0%","","",""
"team_id_5|6|Fazel Atrachali","5","U Mumba","6","#N/A","Fazel Atrachali","14","0","0%","","",""
"team_id_5|6|Arjun Deshwal","5","U Mumba","6","#N/A","Arjun Deshwal","11","3","27%","","",""
