season,team_name,player-id-pkdc,player-id-pkdc-sanitised,Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful
PKL-06,U Mumba,2026,2026,Siddharth Desai,1,900%,3%,,100.00%
PKL-06,U Mumba,2026,2026,Siddharth Desai,2,2000%,6.00%,10.00%,65.00%
PKL-06,U Mumba,2026,2026,Siddharth Desai,3,3100%,10.00%,22.60%,51.60%
PKL-06,U Mumba,2026,2026,Siddharth Desai,4,5300%,17.00%,39.60%,37.70%
PKL-06,U Mumba,2026,2026,Siddharth Desai,5,4900%,15.00%,42.90%,32.70%
PKL-06,U Mumba,2026,2026,Siddharth Desai,6,5900%,18.00%,13.60%,69.50%
PKL-06,U Mumba,2026,2026,Siddharth Desai,7,10000%,31.00%,16.00%,59.00%
PKL-06,U Mumba,3086,3086,Surinder Singh,7,300%,100.00%,100.00%,
PKL-06,U Mumba,764,764,Vinod Kumar,3,700%,10.00%,85.70%,
PKL-06,U Mumba,764,764,Vinod Kumar,4,800%,12.00%,75.00%,
PKL-06,U Mumba,764,764,Vinod Kumar,5,1300%,19.00%,92.30%,
PKL-06,U Mumba,764,764,Vinod Kumar,6,1200%,18.00%,66.70%,25.00%
PKL-06,U Mumba,764,764,Vinod Kumar,7,2800%,41.00%,35.70%,42.90%
PKL-06,Puneri Paltan,365,365,Akshay Jadhav,3,500%,5.00%,60.00%,
PKL-06,Puneri Paltan,365,365,Akshay Jadhav,4,1500%,14.00%,53.30%,6.70%
PKL-06,Puneri Paltan,365,365,Akshay Jadhav,5,2000%,19.00%,55.00%,10.00%
PKL-06,Puneri Paltan,365,365,Akshay Jadhav,6,2400%,22.00%,45.80%,25.00%
PKL-06,Puneri Paltan,365,365,Akshay Jadhav,7,4400%,41.00%,52.30%,38.60%
PKL-06,Puneri Paltan,3110,3110,Amit Kumar,3,200%,7.00%,100.00%,
PKL-06,Puneri Paltan,3110,3110,Amit Kumar,4,300%,10.00%,66.70%,
PKL-06,Puneri Paltan,3110,3110,Amit Kumar,5,900%,31.00%,66.70%,22.20%
PKL-06,Puneri Paltan,3110,3110,Amit Kumar,6,500%,17.00%,80.00%,20.00%
PKL-06,Puneri Paltan,3110,3110,Amit Kumar,7,1000%,34.00%,30.00%,20.00%
PKL-06,Puneri Paltan,174,174,Deepak Dahiya,1,100%,1%,,100.00%
PKL-06,Puneri Paltan,174,174,Deepak Dahiya,3,200%,2.00%,100.00%,
PKL-06,Puneri Paltan,174,174,Deepak Dahiya,4,600%,7.00%,33.30%,33.30%
PKL-06,Puneri Paltan,174,174,Deepak Dahiya,5,2000%,23.00%,75.00%,5.00%
PKL-06,Puneri Paltan,174,174,Deepak Dahiya,6,2200%,25.00%,36.40%,27.30%
PKL-06,Puneri Paltan,174,174,Deepak Dahiya,7,3700%,42.00%,27.00%,43.20%
PKL-06,Puneri Paltan,161,161,Girish Maruti Ernak,5,300%,38.00%,100.00%,
PKL-06,Puneri Paltan,161,161,Girish Maruti Ernak,6,400%,50.00%,100.00%,
PKL-06,Puneri Paltan,161,161,Girish Maruti Ernak,7,100%,13%,,
PKL-06,Puneri Paltan,3082,3082,Monu ,2,300%,2%,,100.00%
PKL-06,Puneri Paltan,3082,3082,Monu ,3,500%,4.00%,40.00%,20.00%
PKL-06,Puneri Paltan,3082,3082,Monu ,4,1100%,9.00%,54.50%,9.10%
PKL-06,Puneri Paltan,3082,3082,Monu ,5,3400%,28.00%,44.10%,20.60%
PKL-06,Puneri Paltan,3082,3082,Monu ,6,3300%,27.00%,30.30%,36.40%
PKL-06,Puneri Paltan,3082,3082,Monu ,7,3700%,30.00%,37.80%,40.50%
PKL-06,Puneri Paltan,772,772,More G B,2,600%,3.00%,33.30%,33.30%
PKL-06,Puneri Paltan,772,772,More G B,3,700%,4.00%,57.10%,14.30%
PKL-06,Puneri Paltan,772,772,More G B,4,1400%,8.00%,35.70%,14.30%
PKL-06,Puneri Paltan,772,772,More G B,5,3900%,23.00%,61.50%,20.50%
PKL-06,Puneri Paltan,772,772,More G B,6,4000%,23.00%,40.00%,35.00%
PKL-06,Puneri Paltan,772,772,More G B,7,6700%,39.00%,19.40%,49.30%
PKL-06,Puneri Paltan,320,320,Nitin Tomar,1,200%,1%,,100.00%
PKL-06,Puneri Paltan,320,320,Nitin Tomar,2,800%,4.00%,12.50%,75.00%
PKL-06,Puneri Paltan,320,320,Nitin Tomar,3,1700%,9.00%,70.60%,17.60%
PKL-06,Puneri Paltan,320,320,Nitin Tomar,4,2100%,11.00%,47.60%,23.80%
PKL-06,Puneri Paltan,320,320,Nitin Tomar,5,3000%,16.00%,66.70%,16.70%
PKL-06,Puneri Paltan,320,320,Nitin Tomar,6,4900%,26.00%,20.40%,69.40%
PKL-06,Puneri Paltan,320,320,Nitin Tomar,7,6500%,34.00%,26.20%,53.80%
PKL-06,Puneri Paltan,786,786,Parvesh ,2,100%,3%,,
PKL-06,Puneri Paltan,786,786,Parvesh ,3,200%,7%,,50.00%
PKL-06,Puneri Paltan,786,786,Parvesh ,4,200%,7.00%,50.00%,50.00%
PKL-06,Puneri Paltan,786,786,Parvesh ,5,1300%,43.00%,61.50%,7.70%
PKL-06,Puneri Paltan,786,786,Parvesh ,6,800%,27.00%,50.00%,25.00%
PKL-06,Puneri Paltan,786,786,Parvesh ,7,400%,13.00%,25.00%,
PKL-06,Puneri Paltan,85,85,Rajesh Mondal,3,500%,7.00%,40.00%,20.00%
PKL-06,Puneri Paltan,85,85,Rajesh Mondal,4,1000%,13.00%,40.00%,10.00%
PKL-06,Puneri Paltan,85,85,Rajesh Mondal,5,2200%,29.00%,59.10%,18.20%
PKL-06,Puneri Paltan,85,85,Rajesh Mondal,6,1500%,20.00%,40.00%,20.00%
PKL-06,Puneri Paltan,85,85,Rajesh Mondal,7,2300%,31.00%,65.20%,17.40%
PKL-06,Puneri Paltan,240,240,Ravi Kumar,7,100%,100.00%,100.00%,
PKL-06,Puneri Paltan,3084,3084,Rinku Narwal,4,100%,14%,,
PKL-06,Puneri Paltan,3084,3084,Rinku Narwal,5,400%,57.00%,75.00%,
PKL-06,Puneri Paltan,3084,3084,Rinku Narwal,7,200%,29.00%,50.00%,50.00%
PKL-06,Puneri Paltan,3102,3102,Sandeep ,5,200%,22%,,50.00%
PKL-06,Puneri Paltan,3102,3102,Sandeep ,7,700%,78.00%,28.60%,42.90%
PKL-06,Puneri Paltan,142,142,Sandeep Narwal,1,200%,2%,,100.00%
PKL-06,Puneri Paltan,142,142,Sandeep Narwal,2,100%,1.00%,100.00%,
PKL-06,Puneri Paltan,142,142,Sandeep Narwal,3,700%,8.00%,85.70%,
PKL-06,Puneri Paltan,142,142,Sandeep Narwal,4,900%,10.00%,66.70%,11.10%
PKL-06,Puneri Paltan,142,142,Sandeep Narwal,5,1200%,14.00%,91.70%,
PKL-06,Puneri Paltan,142,142,Sandeep Narwal,6,1700%,20.00%,88.20%,11.80%
PKL-06,Puneri Paltan,142,142,Sandeep Narwal,7,3800%,44.00%,50.00%,31.60%
PKL-06,Puneri Paltan,3103,3103,Shubham Shinde,5,400%,36.00%,75.00%,
PKL-06,Puneri Paltan,3103,3103,Shubham Shinde,6,400%,36.00%,75.00%,
PKL-06,Puneri Paltan,3103,3103,Shubham Shinde,7,300%,27.00%,100.00%,
PKL-06,Patna Pirates,211,211,Deepak Narwal,1,100%,1%,,100.00%
PKL-06,Patna Pirates,211,211,Deepak Narwal,2,100%,1%,,100.00%
PKL-06,Patna Pirates,211,211,Deepak Narwal,3,200%,1.00%,50.00%,
PKL-06,Patna Pirates,211,211,Deepak Narwal,4,1400%,10.00%,64.30%,7.10%
PKL-06,Patna Pirates,211,211,Deepak Narwal,5,1900%,14.00%,36.80%,36.80%
PKL-06,Patna Pirates,211,211,Deepak Narwal,6,3000%,21.00%,16.70%,53.30%
PKL-06,Patna Pirates,211,211,Deepak Narwal,7,7300%,52.00%,34.20%,43.80%
PKL-06,Patna Pirates,579,579,Jaideep ,3,100%,13.00%,100.00%,
PKL-06,Patna Pirates,579,579,Jaideep ,5,100%,13.00%,100.00%,
PKL-06,Patna Pirates,579,579,Jaideep ,7,600%,75.00%,83.30%,
PKL-06,Patna Pirates,390,390,Jawahar Dagar,6,100%,20.00%,100.00%,
PKL-06,Patna Pirates,390,390,Jawahar Dagar,7,400%,80.00%,25.00%,25.00%
PKL-06,Patna Pirates,252,252,Kuldeep Singh,7,100%,100.00%,100.00%,
PKL-06,Patna Pirates,763,763,Manjeet ,1,100%,1%,,100.00%
PKL-06,Patna Pirates,763,763,Manjeet ,2,200%,1.00%,50.00%,50.00%
PKL-06,Patna Pirates,763,763,Manjeet ,3,1600%,8.00%,25.00%,50.00%
PKL-06,Patna Pirates,763,763,Manjeet ,4,3500%,19.00%,42.90%,25.70%
PKL-06,Patna Pirates,763,763,Manjeet ,5,4200%,22.00%,38.10%,38.10%
PKL-06,Patna Pirates,763,763,Manjeet ,6,3600%,19.00%,25.00%,50.00%
PKL-06,Patna Pirates,763,763,Manjeet ,7,5700%,30.00%,24.60%,43.90%
PKL-06,Patna Pirates,197,197,Pardeep Narwal,1,600%,2%,,100.00%
PKL-06,Patna Pirates,197,197,Pardeep Narwal,2,3400%,9.00%,5.90%,79.40%
PKL-06,Patna Pirates,197,197,Pardeep Narwal,3,4700%,12.00%,36.20%,40.40%
PKL-06,Patna Pirates,197,197,Pardeep Narwal,4,4500%,12.00%,26.70%,51.10%
PKL-06,Patna Pirates,197,197,Pardeep Narwal,5,6000%,15.00%,48.30%,31.70%
PKL-06,Patna Pirates,197,197,Pardeep Narwal,6,6700%,17.00%,19.40%,61.20%
PKL-06,Patna Pirates,197,197,Pardeep Narwal,7,13200%,34.00%,25.00%,43.20%
PKL-06,Patna Pirates,#N/A,-1,Surender Singh,7,100%,100%,,
PKL-06,Patna Pirates,14,14,Taedeok Eom,7,200%,100.00%,50.00%,
PKL-06,Patna Pirates,242,242,Tushar Patil,3,200%,5.00%,50.00%,50.00%
PKL-06,Patna Pirates,242,242,Tushar Patil,4,300%,8.00%,33.30%,
PKL-06,Patna Pirates,242,242,Tushar Patil,5,1400%,37.00%,57.10%,14.30%
PKL-06,Patna Pirates,242,242,Tushar Patil,6,500%,13%,,80.00%
PKL-06,Patna Pirates,242,242,Tushar Patil,7,1400%,37.00%,28.60%,42.90%
PKL-06,Patna Pirates,3081,3081,Vijay ,3,300%,3.00%,100.00%,
PKL-06,Patna Pirates,3081,3081,Vijay ,4,900%,8.00%,66.70%,11.10%
PKL-06,Patna Pirates,3081,3081,Vijay ,5,3100%,28.00%,45.20%,22.60%
PKL-06,Patna Pirates,3081,3081,Vijay ,6,2000%,18.00%,30.00%,70.00%
PKL-06,Patna Pirates,3081,3081,Vijay ,7,4800%,43.00%,22.90%,58.30%
PKL-06,Patna Pirates,768,768,Vijay Kumar,6,100%,50%,,100.00%
PKL-06,Patna Pirates,768,768,Vijay Kumar,7,100%,50.00%,100.00%,
PKL-06,Patna Pirates,121,121,Vikash Jaglan,3,200%,5%,,
PKL-06,Patna Pirates,121,121,Vikash Jaglan,4,400%,10.00%,50.00%,25.00%
PKL-06,Patna Pirates,121,121,Vikash Jaglan,5,700%,17.00%,100.00%,
PKL-06,Patna Pirates,121,121,Vikash Jaglan,6,1000%,24.00%,30.00%,60.00%
PKL-06,Patna Pirates,121,121,Vikash Jaglan,7,1900%,45.00%,42.10%,31.60%
PKL-06,Patna Pirates,179,179,Vikas Kale,6,100%,25.00%,100.00%,
PKL-06,Patna Pirates,179,179,Vikas Kale,7,300%,75.00%,100.00%,
PKL-06,Telugu Titans,489,489,Abozar Mighani,3,900%,35.00%,100.00%,
PKL-06,Telugu Titans,489,489,Abozar Mighani,4,500%,19.00%,100.00%,
PKL-06,Telugu Titans,489,489,Abozar Mighani,5,600%,23.00%,100.00%,
PKL-06,Telugu Titans,489,489,Abozar Mighani,6,400%,15.00%,100.00%,
PKL-06,Telugu Titans,489,489,Abozar Mighani,7,200%,8.00%,100.00%,
PKL-06,Telugu Titans,311,311,Anil Kumar,5,100%,11.00%,100.00%,
PKL-06,Telugu Titans,311,311,Anil Kumar,6,500%,56.00%,100.00%,
PKL-06,Telugu Titans,311,311,Anil Kumar,7,300%,33.00%,33.30%,
PKL-06,Telugu Titans,#N/A,-1,Ankit Beniwal,6,200%,67.00%,50.00%,
PKL-06,Telugu Titans,#N/A,-1,Ankit Beniwal,7,100%,33%,,
PKL-06,Telugu Titans,2336,2336,Anuj Kumar,6,300%,60.00%,100.00%,
PKL-06,Telugu Titans,2336,2336,Anuj Kumar,7,200%,40.00%,50.00%,50.00%
PKL-06,Telugu Titans,2298,2298,Armaan ,2,100%,4%,,100.00%
PKL-06,Telugu Titans,2298,2298,Armaan ,4,100%,4.00%,100.00%,
PKL-06,Telugu Titans,2298,2298,Armaan ,5,400%,17.00%,50.00%,25.00%
PKL-06,Telugu Titans,2298,2298,Armaan ,6,600%,26%,,50.00%
PKL-06,Telugu Titans,2298,2298,Armaan ,7,1100%,48.00%,18.20%,45.50%
PKL-06,Telugu Titans,2274,2274,C Manoj Kumar ,4,200%,10%,,
PKL-06,Telugu Titans,2274,2274,C Manoj Kumar ,5,800%,38.00%,25.00%,37.50%
PKL-06,Telugu Titans,2274,2274,C Manoj Kumar ,6,500%,24.00%,20.00%,40.00%
PKL-06,Telugu Titans,2274,2274,C Manoj Kumar ,7,600%,29.00%,33.30%,33.30%
PKL-06,Telugu Titans,482,482,Farhad Milaghardan,2,200%,3%,,50.00%
PKL-06,Telugu Titans,482,482,Farhad Milaghardan,3,300%,5.00%,33.30%,33.30%
PKL-06,Telugu Titans,482,482,Farhad Milaghardan,4,500%,8.00%,40.00%,20.00%
PKL-06,Telugu Titans,482,482,Farhad Milaghardan,5,1200%,20.00%,75.00%,16.70%
PKL-06,Telugu Titans,482,482,Farhad Milaghardan,6,1000%,16.00%,50.00%,50.00%
PKL-06,Telugu Titans,482,482,Farhad Milaghardan,7,2900%,48.00%,55.20%,24.10%
PKL-06,Telugu Titans,2307,2307,Kamal Singh ,4,200%,6.00%,100.00%,
PKL-06,Telugu Titans,2307,2307,Kamal Singh ,5,1200%,34.00%,75.00%,16.70%
PKL-06,Telugu Titans,2307,2307,Kamal Singh ,6,600%,17.00%,83.30%,
PKL-06,Telugu Titans,2307,2307,Kamal Singh ,7,1500%,43.00%,26.70%,33.30%
PKL-06,Telugu Titans,274,274,Krushna Madane,5,200%,67.00%,100.00%,
PKL-06,Telugu Titans,274,274,Krushna Madane,6,100%,33%,,100.00%
PKL-06,Telugu Titans,567,567,Mohsen Maghsoudlou,2,200%,2.00%,50.00%,
PKL-06,Telugu Titans,567,567,Mohsen Maghsoudlou,3,500%,5.00%,60.00%,20.00%
