Shaktivel R,D,Defender,Rs 6 Lakhs,Bengal Warriors,Rs 12.20 Lakhs
Tejas Maruti Patil,D,All-rounder,Rs 6 Lakhs,Dabang Delhi,Rs 6 Lakhs
Arpit Saroha,D,Defender,Rs 6 Lakhs,Tamil Thalaivas,Rs 8.20 Lakhs
Harsh Mahesh Lad,D,Defender,Rs 6 Lakhs,Puneri Paltan,Rs 6 Lakhs
K Abhimanyu,D,All-rounder,Rs 6 Lakhs,Tamil Thalaivas,Rs 6 Lakhs
Sagar Kumar,D,All-rounder,Rs 6 Lakhs,Patna Pirates,Rs 6 Lakhs
Ankit,C,Defender,Rs 10 Lakhs,Tamil Thalaivas,Rs 10 Lakhs
Balasaheb Shahaji Jadhav,C,Defender,Rs 10 Lakhs,Puneri Paltan,Rs 10 Lakhs
Kapil,C,Defender,Rs 10 Lakhs,Gujarat Giants,Rs 10 Lakhs
Nehal B Sawal Desai,C,All-rounder,Rs 10 Lakhs,UP Yoddhas,Rs 10 Lakhs
Rahul Gorakh Dhanwade,C,All-rounder,Rs 10 Lakhs,Jaipur Pink Panthers,Rs 10 Lakhs
Ravinder,C,All-rounder,Rs 10 Lakhs,Telugu Titans,Rs 10 Lakhs
Satywan,C,Defender,Rs 10 Lakhs,U Mumba,Rs 10 Lakhs
Sushil Gulia,C,Raider,Rs 10 Lakhs,Patna Pirates,Rs 10 Lakhs
Vishwas S,C,Raider,Rs 10 Lakhs,Patna Pirates,Rs 10 Lakhs
Ujjval Singh,C,Defender,Rs 10 Lakhs,Gujarat Giants,Rs 10 Lakhs
Manuj,C,Defender,Rs 10 Lakhs,Gujarat Giants,Rs 10 Lakhs
Babu Murugasan,C,Defender,Rs 10 Lakhs,UP Yoddhas,Rs 10 Lakhs
Sagar Kumar,D,All-rounder,Rs 6 Lakhs,Patna Pirates,Rs 6 Lakhs
Joginder Singh Narwal,B,Defender,Rs 20 Lakhs,Haryana Steelers,Rs 20 Lakhs
Rakesh Narwal,B,Raider,Rs 20 Lakhs,Haryana Steelers,Rs 20 Lakhs
Rohit,B,All-rounder,Rs 20 Lakhs,Bengal Warriors,Rs 20 Lakhs
D Mahindraprasad,D,Defender,Rs 6 Lakhs,Puneri Paltans,Rs 6 Lakhs
