season,team_name,Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
PKL-09,Puneri Paltan,,5,63,24%,55.60%,23.80%,20.60%
PKL-09,Puneri Paltan,,6,57,21%,35.10%,54.40%,10.50%
PKL-09,Puneri Paltan,,7,81,30%,29.60%,56.80%,13.60%
PKL-09,Puneri Paltan,Badal Taqdir Singh,7,1,100%,,,100.00%
PKL-09,Puneri Paltan,D Mahindraprasad,4,1,17%,,,100.00%
PKL-09,Puneri Paltan,,5,3,50%,33.30%,33.30%,33.30%
PKL-09,Puneri Paltan,,6,2,33%,50.00%,,50.00%
PKL-09,Puneri Paltan,Fazel Atrachali,4,1,25%,100.00%,,
PKL-09,Puneri Paltan,,5,2,50%,100.00%,,
PKL-09,Puneri Paltan,,6,1,25%,,,100.00%
