super-10s_player_name,player-tackle-points_player_name,player-super-raids_player_name,player-raid-points_player_name,player-super-tackles_player_name,player-total-points_player_name,high-5s_player_name,player-successful-tackles_player_name,player-avg-tackle-points_player_name,player-successful-raids_player_name,player-dod-raid-points_player_name,super-10s_match_played,player-tackle-points_match_played,player-super-raids_match_played,player-raid-points_match_played,player-super-tackles_match_played,player-total-points_match_played,high-5s_match_played,player-successful-tackles_match_played,player-avg-tackle-points_match_played,player-successful-raids_match_played,player-dod-raid-points_match_played,super-10s_position_name,player-tackle-points_position_name,player-super-raids_position_name,player-raid-points_position_name,player-super-tackles_position_name,player-total-points_position_name,high-5s_position_name,player-successful-tackles_position_name,player-avg-tackle-points_position_name,player-successful-raids_position_name,player-dod-raid-points_position_name,super-10s_team,player-tackle-points_team,player-super-raids_team,player-raid-points_team,player-super-tackles_team,player-total-points_team,high-5s_team,player-successful-tackles_team,player-avg-tackle-points_team,player-successful-raids_team,player-dod-raid-points_team,super-10s_team_name,player-tackle-points_team_name,player-super-raids_team_name,player-raid-points_team_name,player-super-tackles_team_name,player-total-points_team_name,high-5s_team_name,player-successful-tackles_team_name,player-avg-tackle-points_team_name,player-successful-raids_team_name,player-dod-raid-points_team_name,super-10s_team_full_name,player-tackle-points_team_full_name,player-super-raids_team_full_name,player-raid-points_team_full_name,player-super-tackles_team_full_name,player-total-points_team_full_name,high-5s_team_full_name,player-successful-tackles_team_full_name,player-avg-tackle-points_team_full_name,player-successful-raids_team_full_name,player-dod-raid-points_team_full_name,super-10s_rank,player-tackle-points_rank,player-super-raids_rank,player-raid-points_rank,player-super-tackles_rank,player-total-points_rank,high-5s_rank,player-successful-tackles_rank,player-avg-tackle-points_rank,player-successful-raids_rank,player-dod-raid-points_rank,super-10s_value,player-tackle-points_value,player-super-raids_value,player-raid-points_value,player-super-tackles_value,player-total-points_value,high-5s_value,player-successful-tackles_value,player-avg-tackle-points_value,player-successful-raids_value,player-dod-raid-points_value,super-10s_points_per_match,player-tackle-points_points_per_match,player-super-raids_points_per_match,player-raid-points_points_per_match,player-super-tackles_points_per_match,player-total-points_points_per_match,high-5s_points_per_match,player-successful-tackles_points_per_match,player-avg-tackle-points_points_per_match,player-successful-raids_points_per_match,player-dod-raid-points_points_per_match,super-10s_team_id,player-tackle-points_team_id,player-super-raids_team_id,player-raid-points_team_id,player-super-tackles_team_id,player-total-points_team_id,high-5s_team_id,player-successful-tackles_team_id,player-avg-tackle-points_team_id,player-successful-raids_team_id,player-dod-raid-points_team_id,super-10s_position_id,player-tackle-points_position_id,player-super-raids_position_id,player-raid-points_position_id,player-super-tackles_position_id,player-total-points_position_id,high-5s_position_id,player-successful-tackles_position_id,player-avg-tackle-points_position_id,player-successful-raids_position_id,player-dod-raid-points_position_id
,Chandran Ranjit,,,,Chandran Ranjit,,Chandran Ranjit,Chandran Ranjit,,,,1.0,,,,1,,1.0,1.0,,,,Raider,,,,Raider,,Raider,Raider,,,,,,,,,,,,,,,HYD,,,,HYD,,HYD,HYD,,,,Telugu Titans,,,,Telugu Titans,,Telugu Titans,Telugu Titans,,,,96.0,,,,122,,95.0,51.0,,,,1.0,,,,1,,1.0,1.0,,,,1.0,,,,1.0,,1.0,1.0,,,,8.0,,,,8,,8.0,8.0,,,,8.0,,,,8,,8.0,8.0,,
,Dadaso Balaso Awad,,Dadaso Balaso Awad,Dadaso Balaso Awad,Dadaso Balaso Awad,,Dadaso Balaso Awad,Dadaso Balaso Awad,Dadaso Balaso Awad,Dadaso Balaso Awad,,7.0,,7.0,7.0,7,,7.0,7.0,7.0,7.0,,All Rounder,,All Rounder,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,DEL,,DEL,DEL,DEL,,DEL,DEL,DEL,DEL,,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,32.0,,56.0,28.0,55,,33.0,31.0,55.0,50.0,,12.0,,5.0,2.0,17,,10.0,1.71,4.0,2.0,,1.7142857142857142,,0.7142857142857143,0.2857142857142857,2.4285714285714284,,1.4285714285714286,0.2442857142857142,0.5714285714285714,0.2857142857142857,,2.0,,2.0,2.0,2,,2.0,2.0,2.0,2.0,,0.0,,0.0,0.0,0,,0.0,0.0,0.0,0.0
Deepak Niwas Hooda,Deepak Niwas Hooda,Deepak Niwas Hooda,Deepak Niwas Hooda,Deepak Niwas Hooda,Deepak Niwas Hooda,Deepak Niwas Hooda,Deepak Niwas Hooda,Deepak Niwas Hooda,Deepak Niwas Hooda,Deepak Niwas Hooda,15.0,15.0,15.0,15.0,15.0,15,15.0,15.0,15.0,15.0,15.0,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,HYD,HYD,HYD,HYD,HYD,HYD,HYD,HYD,HYD,HYD,HYD,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,13.0,10.0,20.0,11.0,6.0,4,6.0,10.0,13.0,6.0,25.0,1.0,36.0,1.0,60.0,4.0,96,3.0,32.0,2.4,54.0,6.0,0.0666666666666666,2.4,0.0666666666666666,4.0,0.2666666666666666,6.4,0.2,2.1333333333333333,0.16,3.6,0.4,8.0,8.0,8.0,8.0,8.0,8,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
,Dharmaraj Cheralathan,,Dharmaraj Cheralathan,Dharmaraj Cheralathan,Dharmaraj Cheralathan,Dharmaraj Cheralathan,Dharmaraj Cheralathan,Dharmaraj Cheralathan,Dharmaraj Cheralathan,Dharmaraj Cheralathan,,15.0,,15.0,15.0,15,15.0,15.0,15.0,15.0,15.0,,Defender,,Defender,Defender,Defender,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,,BLR,,BLR,BLR,BLR,BLR,BLR,BLR,BLR,BLR,,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,3.0,,31.0,44.0,17,10.0,3.0,8.0,31.0,64.0,,42.0,,19.0,1.0,61,2.0,41.0,2.8,15.0,1.0,,2.8,,1.2666666666666666,0.0666666666666666,4.066666666666666,0.1333333333333333,2.7333333333333334,0.1866666666666666,1.0,0.0666666666666666,,1.0,,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,,9.0,,9.0,9.0,9,9.0,9.0,9.0,9.0,9.0
,Gangadhari Mallesh,,Gangadhari Mallesh,Gangadhari Mallesh,Gangadhari Mallesh,,Gangadhari Mallesh,Gangadhari Mallesh,Gangadhari Mallesh,Gangadhari Mallesh,,10.0,,10.0,10.0,10,,10.0,10.0,10.0,10.0,,Raider,,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,,JAI,,JAI,JAI,JAI,,JAI,JAI,JAI,JAI,,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,48.0,,65.0,19.0,78,,50.0,58.0,69.0,48.0,,8.0,,3.0,2.0,11,,6.0,0.8,2.0,3.0,,0.8,,0.3,0.2,1.1,,0.6,0.08,0.2,0.3,,3.0,,3.0,3.0,3,,3.0,3.0,3.0,3.0,,8.0,,8.0,8.0,8,,8.0,8.0,8.0,8.0
,Gurpreet Singh,,,,Gurpreet Singh,,Gurpreet Singh,Gurpreet Singh,,,,2.0,,,,2,,2.0,2.0,,,,Defender,,,,Defender,,Defender,Defender,,,,,,,,,,,,,,,BLR,,,,BLR,,BLR,BLR,,,,Bengaluru Bulls,,,,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,,,,94.0,,,,120,,93.0,82.0,,,,1.0,,,,1,,1.0,0.5,,,,0.5,,,,0.5,,0.5,0.25,,,,1.0,,,,1,,1.0,1.0,,,,9.0,,,,9,,9.0,9.0,,
Gurvinder Singh,Gurvinder Singh,Gurvinder Singh,Gurvinder Singh,,Gurvinder Singh,,Gurvinder Singh,Gurvinder Singh,Gurvinder Singh,Gurvinder Singh,16.0,16.0,16.0,16.0,,16,,16.0,16.0,16.0,16.0,Raider,Raider,Raider,Raider,,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,PAT,PAT,PAT,PAT,,PAT,,PAT,PAT,PAT,PAT,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,Patna Pirates,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,14.0,58.0,21.0,21.0,,23,,55.0,87.0,21.0,7.0,1.0,5.0,1.0,44.0,,49,,5.0,0.31,34.0,19.0,0.0625,0.3125,0.0625,2.75,,3.0625,,0.3125,0.019375,2.125,1.1875,6.0,6.0,6.0,6.0,,6,,6.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,,8,,8.0,8.0,8.0,8.0
,Jasmer Singh Gulia,,,,Jasmer Singh Gulia,,Jasmer Singh Gulia,Jasmer Singh Gulia,,,,3.0,,,,3,,3.0,3.0,,,,All Rounder,,,,All Rounder,,All Rounder,All Rounder,,,,,,,,,,,,,,,DEL,,,,DEL,,DEL,DEL,,,,Dabang Delhi K.C.,,,,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,,,,83.0,,,,111,,82.0,63.0,,,,2.0,,,,2,,2.0,0.67,,,,0.6666666666666666,,,,0.6666666666666666,,0.6666666666666666,0.2233333333333333,,,,2.0,,,,2,,2.0,2.0,,,,0.0,,,,0,,0.0,0.0,,
,Jasvir Singh,,Jasvir Singh,Jasvir Singh,Jasvir Singh,,Jasvir Singh,Jasvir Singh,Jasvir Singh,Jasvir Singh,,13.0,,13.0,13.0,13,,13.0,13.0,13.0,13.0,,Raider,,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,,JAI,,JAI,JAI,JAI,,JAI,JAI,JAI,JAI,,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,40.0,,8.0,20.0,9,,45.0,59.0,8.0,24.0,,10.0,,64.0,2.0,74,,8.0,0.77,52.0,7.0,,0.7692307692307693,,4.923076923076923,0.1538461538461538,5.6923076923076925,,0.6153846153846154,0.0592307692307692,4.0,0.5384615384615384,,3.0,,3.0,3.0,3,,3.0,3.0,3.0,3.0,,8.0,,8.0,8.0,8,,8.0,8.0,8.0,8.0
,Jeeva Gopal,,,,Jeeva Gopal,,Jeeva Gopal,Jeeva Gopal,,,,2.0,,,,2,,2.0,2.0,,,,Defender,,,,Defender,,Defender,Defender,,,,,,,,,,,,,,,MUM,,,,MUM,,MUM,MUM,,,,U Mumba,,,,U Mumba,,U Mumba,U Mumba,,,,93.0,,,,117,,92.0,81.0,,,,1.0,,,,1,,1.0,0.5,,,,0.5,,,,0.5,,0.5,0.25,,,,5.0,,,,5,,5.0,5.0,,,,9.0,,,,9,,9.0,9.0,,
,Jeeva Kumar,,Jeeva Kumar,Jeeva Kumar,Jeeva Kumar,Jeeva Kumar,Jeeva Kumar,Jeeva Kumar,Jeeva Kumar,,,13.0,,13.0,13.0,13,13.0,13.0,13.0,13.0,,,Defender,,Defender,Defender,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,,,MUM,,MUM,MUM,MUM,MUM,MUM,MUM,MUM,,,U Mumba,,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,,,7.0,,83.0,1.0,31,7.0,11.0,6.0,71.0,,,38.0,,1.0,7.0,39,3.0,31.0,2.92,1.0,,,2.923076923076923,,0.0769230769230769,0.5384615384615384,3.0,0.2307692307692307,2.3846153846153846,0.2246153846153846,0.0769230769230769,,,5.0,,5.0,5.0,5,5.0,5.0,5.0,5.0,,,9.0,,9.0,9.0,9,9.0,9.0,9.0,9.0,
,Jitesh Joshi,,Jitesh Joshi,,Jitesh Joshi,,Jitesh Joshi,Jitesh Joshi,Jitesh Joshi,Jitesh Joshi,,5.0,,5.0,,5,,5.0,5.0,5.0,5.0,,All Rounder,,All Rounder,,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,PUN,,PUN,,PUN,,PUN,PUN,PUN,PUN,,Puneri Paltan,,Puneri Paltan,,Puneri Paltan,,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,69.0,,38.0,,57,,69.0,73.0,34.0,33.0,,3.0,,13.0,,16,,3.0,0.6,12.0,5.0,,0.6,,2.6,,3.2,,0.6,0.12,2.4,1.0,,7.0,,7.0,,7,,7.0,7.0,7.0,7.0,,0.0,,0.0,,0,,0.0,0.0,0.0,0.0
,Kalimuthu Balamahendran,Kalimuthu Balamahendran,Kalimuthu Balamahendran,,Kalimuthu Balamahendran,,Kalimuthu Balamahendran,Kalimuthu Balamahendran,Kalimuthu Balamahendran,Kalimuthu Balamahendran,,6.0,6.0,6.0,,6,,6.0,6.0,6.0,6.0,,Defender,Defender,Defender,,Defender,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,PUN,PUN,PUN,,PUN,,PUN,PUN,PUN,PUN,,Puneri Paltan,Puneri Paltan,Puneri Paltan,,Puneri Paltan,,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,56.0,22.0,55.0,,79,,54.0,56.0,68.0,34.0,,5.0,1.0,6.0,,11,,5.0,0.83,2.0,5.0,,0.8333333333333334,0.1666666666666666,1.0,,1.8333333333333333,,0.8333333333333334,0.1383333333333333,0.3333333333333333,0.8333333333333334,,7.0,7.0,7.0,,7,,7.0,7.0,7.0,7.0,,9.0,9.0,9.0,,9,,9.0,9.0,9.0,9.0
Kashiling Adake,Kashiling Adake,Kashiling Adake,Kashiling Adake,,Kashiling Adake,,Kashiling Adake,Kashiling Adake,Kashiling Adake,Kashiling Adake,14.0,14.0,14.0,14.0,,14,,14.0,14.0,14.0,14.0,Raider,Raider,Raider,Raider,,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,DEL,DEL,DEL,DEL,,DEL,,DEL,DEL,DEL,DEL,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,2.0,68.0,1.0,1.0,,1,,68.0,95.0,1.0,8.0,3.0,3.0,7.0,114.0,,117,,3.0,0.21,87.0,19.0,0.2142857142857142,0.2142857142857142,0.5,8.142857142857142,,8.357142857142858,,0.2142857142857142,0.015,6.214285714285714,1.3571428571428572,2.0,2.0,2.0,2.0,,2,,2.0,2.0,2.0,2.0,8.0,8.0,8.0,8.0,,8,,8.0,8.0,8.0,8.0
,,,Mahesh Goud,,Mahesh Goud,,,,Mahesh Goud,Mahesh Goud,,,,1.0,,1,,,,1.0,1.0,,,,Raider,,Raider,,,,Raider,Raider,,,,,,,,,,,,,,,KOL,,KOL,,,,KOL,KOL,,,,Bengal Warriors,,Bengal Warriors,,,,Bengal Warriors,Bengal Warriors,,,,66.0,,104,,,,58.0,51.0,,,,3.0,,3,,,,3.0,2.0,,,,3.0,,3.0,,,,3.0,2.0,,,,4.0,,4,,,,4.0,4.0,,,,8.0,,8,,,,8.0,8.0
,Mahipal Narwal,,Mahipal Narwal,,Mahipal Narwal,,Mahipal Narwal,Mahipal Narwal,Mahipal Narwal,Mahipal Narwal,,9.0,,9.0,,9,,9.0,9.0,9.0,9.0,,All Rounder,,All Rounder,,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,PUN,,PUN,,PUN,,PUN,PUN,PUN,PUN,,Puneri Paltan,,Puneri Paltan,,Puneri Paltan,,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,52.0,,33.0,,46,,51.0,65.0,33.0,35.0,,6.0,,15.0,,21,,6.0,0.67,13.0,4.0,,0.6666666666666666,,1.6666666666666667,,2.3333333333333335,,0.6666666666666666,0.0744444444444444,1.4444444444444444,0.4444444444444444,,7.0,,7.0,,7,,7.0,7.0,7.0,7.0,,0.0,,0.0,,0,,0.0,0.0,0.0,0.0
