player-super-raids_player_name,player-dod-raid-points_player_name,player-tackle-points_player_name,player-successful-raids_player_name,player-super-tackles_player_name,player-avg-tackle-points_player_name,player-total-points_player_name,super-10s_player_name,player-raid-points_player_name,player-successful-tackles_player_name,high-5s_player_name,player-super-raids_match_played,player-dod-raid-points_match_played,player-tackle-points_match_played,player-successful-raids_match_played,player-super-tackles_match_played,player-avg-tackle-points_match_played,player-total-points_match_played,super-10s_match_played,player-raid-points_match_played,player-successful-tackles_match_played,high-5s_match_played,player-super-raids_position_name,player-dod-raid-points_position_name,player-tackle-points_position_name,player-successful-raids_position_name,player-super-tackles_position_name,player-avg-tackle-points_position_name,player-total-points_position_name,super-10s_position_name,player-raid-points_position_name,player-successful-tackles_position_name,high-5s_position_name,player-super-raids_team,player-dod-raid-points_team,player-tackle-points_team,player-successful-raids_team,player-super-tackles_team,player-avg-tackle-points_team,player-total-points_team,super-10s_team,player-raid-points_team,player-successful-tackles_team,high-5s_team,player-super-raids_team_name,player-dod-raid-points_team_name,player-tackle-points_team_name,player-successful-raids_team_name,player-super-tackles_team_name,player-avg-tackle-points_team_name,player-total-points_team_name,super-10s_team_name,player-raid-points_team_name,player-successful-tackles_team_name,high-5s_team_name,player-super-raids_team_full_name,player-dod-raid-points_team_full_name,player-tackle-points_team_full_name,player-successful-raids_team_full_name,player-super-tackles_team_full_name,player-avg-tackle-points_team_full_name,player-total-points_team_full_name,super-10s_team_full_name,player-raid-points_team_full_name,player-successful-tackles_team_full_name,high-5s_team_full_name,player-super-raids_rank,player-dod-raid-points_rank,player-tackle-points_rank,player-successful-raids_rank,player-super-tackles_rank,player-avg-tackle-points_rank,player-total-points_rank,super-10s_rank,player-raid-points_rank,player-successful-tackles_rank,high-5s_rank,player-super-raids_value,player-dod-raid-points_value,player-tackle-points_value,player-successful-raids_value,player-super-tackles_value,player-avg-tackle-points_value,player-total-points_value,super-10s_value,player-raid-points_value,player-successful-tackles_value,high-5s_value,player-super-raids_points_per_match,player-dod-raid-points_points_per_match,player-tackle-points_points_per_match,player-successful-raids_points_per_match,player-super-tackles_points_per_match,player-avg-tackle-points_points_per_match,player-total-points_points_per_match,super-10s_points_per_match,player-raid-points_points_per_match,player-successful-tackles_points_per_match,high-5s_points_per_match,player-super-raids_team_id,player-dod-raid-points_team_id,player-tackle-points_team_id,player-successful-raids_team_id,player-super-tackles_team_id,player-avg-tackle-points_team_id,player-total-points_team_id,super-10s_team_id,player-raid-points_team_id,player-successful-tackles_team_id,high-5s_team_id,player-super-raids_position_id,player-dod-raid-points_position_id,player-tackle-points_position_id,player-successful-raids_position_id,player-super-tackles_position_id,player-avg-tackle-points_position_id,player-total-points_position_id,super-10s_position_id,player-raid-points_position_id,player-successful-tackles_position_id,high-5s_position_id
Rajnish,Rajnish,Rajnish,Rajnish,,Rajnish,Rajnish,,Rajnish,Rajnish,,7,7,7,7,,7,7,,7,7,,Raider,Raider,Raider,Raider,,Raider,Raider,,Raider,Raider,,,,,,,,,,,,,HYD,HYD,HYD,HYD,,HYD,HYD,,HYD,HYD,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,Telugu Titans,Telugu Titans,,Telugu Titans,Telugu Titans,,58,58,162,51,,163,101,,54,151,,1,4,1,19,,0.14,24,,23,1,,0.1428571428571428,0.5714285714285714,0.1428571428571428,2.7142857142857144,,0.02,3.4285714285714284,,3.2857142857142856,0.1428571428571428,,8,8,8,8,,8,8,,8,8,,8,8,8,8,,8,8,,8,8,
Naveen Kumar,Naveen Kumar,Naveen Kumar,Naveen Kumar,,Naveen Kumar,Naveen Kumar,Naveen Kumar,Naveen Kumar,Naveen Kumar,,6,6,6,6,,6,6,6,6,6,,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,DEL,DEL,DEL,DEL,,DEL,DEL,DEL,DEL,DEL,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,22,59,163,29,,158,35,14,30,152,,2,3,1,55,,0.17,72,5,71,1,,0.3333333333333333,0.5,0.1666666666666666,9.166666666666666,,0.028333333,12,0.8333333333333334,11.833333333333334,0.1666666666666666,,2,2,2,2,,2,2,2,2,2,,8,8,8,8,,8,8,8,8,8,
,,Arkam Shaikh,,,Arkam Shaikh,Arkam Shaikh,,,Arkam Shaikh,,,,9,,,9,9,,,9,,,,All-Rounder,,,All-Rounder,All-Rounder,,,All-Rounder,,,,,,,,,,,,,,,GUJ,,,GUJ,GUJ,,,GUJ,,,,Gujarat Giants,,,Gujarat Giants,Gujarat Giants,,,Gujarat Giants,,,,100,,,106,164,,,101,,,,6,,,0.67,6,,,6,,,,0.6666666666666666,,,0.074444444,0.6666666666666666,,,0.6666666666666666,,,,31,,,31,31,,,31,,,,0,,,0,0,,,0,
,,Sombir,,Sombir,Sombir,Sombir,,,Sombir,Sombir,,,22,,22,22,22,,,22,22,,,Defender,,Defender,Defender,Defender,,,Defender,Defender,,,,,,,,,,,,,,GUJ,,GUJ,GUJ,GUJ,,,GUJ,GUJ,,,Gujarat Giants,,Gujarat Giants,Gujarat Giants,Gujarat Giants,,,Gujarat Giants,Gujarat Giants,,,19,,3,31,57,,,23,14,,,52,,8,2.36,52,,,44,4,,,2.363636363636364,,0.3636363636363636,0.1072727272727272,2.363636363636364,,,2,0.1818181818181818,,,31,,31,31,31,,,31,31,,,9,,9,9,9,,,9,9
,,Akash Choudhary,,,Akash Choudhary,Akash Choudhary,,,Akash Choudhary,,,,2,,,2,2,,,2,,,,Defender - Right Corner,,,Defender - Right Corner,Defender - Right Corner,,,Defender - Right Corner,,,,,,,,,,,,,,,BLR,,,BLR,BLR,,,BLR,,,,Bengaluru Bulls,,,Bengaluru Bulls,Bengaluru Bulls,,,Bengaluru Bulls,,,,144,,,82,192,,,143,,,,2,,,1,2,,,2,,,,1,,,0.5,1,,,1,,,,1,,,1,1,,,1,,,,0,,,0,0,,,0,
,,Balasaheb Jadhav,,,Balasaheb Jadhav,Balasaheb Jadhav,,,Balasaheb Jadhav,,,,6,,,6,6,,,6,,,,Defender - Right Cover,,,Defender - Right Cover,Defender - Right Cover,,,Defender - Right Cover,,,,,,,,,,,,,,,DEL,,,DEL,DEL,,,DEL,,,,Dabang Delhi K.C.,,,Dabang Delhi K.C.,Dabang Delhi K.C.,,,Dabang Delhi K.C.,,,,145,,,137,193,,,144,,,,2,,,0.33,2,,,2,,,,0.3333333333333333,,,0.055,0.3333333333333333,,,0.3333333333333333,,,,2,,,2,2,,,2,,,,0,,,0,0,,,0,
,,M. Abishek,,M. Abishek,M. Abishek,M. Abishek,,,M. Abishek,M. Abishek,,,22,,22,22,22,,,22,22,,,Defender - Right Cover,,Defender - Right Cover,Defender - Right Cover,Defender - Right Cover,,,Defender - Right Cover,Defender - Right Cover,,,,,,,,,,,,,,CHE,,CHE,CHE,CHE,,,CHE,CHE,,,Tamil Thalaivas,,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,,,Tamil Thalaivas,Tamil Thalaivas,,,27,,57,47,71,,,26,29,,,39,,2,1.77,39,,,37,2,,,1.7727272727272727,,0.090909091,0.080454545,1.7727272727272727,,,1.681818181818182,0.090909091,,,29,,29,29,29,,,29,29,,,0,,0,0,0,,,0,0
Rohit Gulia,Rohit Gulia,Rohit Gulia,Rohit Gulia,,Rohit Gulia,Rohit Gulia,,Rohit Gulia,Rohit Gulia,,16,16,16,16,,16,16,,16,16,,All-Rounder,All-Rounder,All-Rounder,All-Rounder,,All-Rounder,All-Rounder,,All-Rounder,All-Rounder,,,,,,,,,,,,,GUJ,GUJ,GUJ,GUJ,,GUJ,GUJ,,GUJ,GUJ,,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,,Gujarat Giants,Gujarat Giants,,Gujarat Giants,Gujarat Giants,,56,27,161,38,,175,58,,38,149,,1,12,1,40,,0.06,51,,50,1,,0.0625,0.75,0.0625,2.5,,0.00375,3.1875,,3.125,0.0625,,31,31,31,31,,31,31,,31,31,,0,0,0,0,,0,0,,0,0,
,Ashish,Ashish,Ashish,Ashish,Ashish,Ashish,,Ashish,Ashish,,,18,18,18,18,18,18,,18,18,,,All-Rounder,All-Rounder,All-Rounder,All-Rounder,All-Rounder,All-Rounder,,All-Rounder,All-Rounder,,,,,,,,,,,,,,HAR,HAR,HAR,HAR,HAR,HAR,,HAR,HAR,,,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,,Haryana Steelers,Haryana Steelers,,,44,44,58,58,62,70,,60,45,,,7,25,14,2,1.39,44,,19,23,,,0.3888888888888889,1.3888888888888888,0.7777777777777778,0.1111111111111111,0.077222222,2.4444444444444446,,1.0555555555555556,1.2777777777777777,,,28,28,28,28,28,28,,28,28,,,0,0,0,0,0,0,,0,0,
Guman Singh,Guman Singh,Guman Singh,Guman Singh,Guman Singh,Guman Singh,Guman Singh,Guman Singh,Guman Singh,Guman Singh,,18,18,18,18,18,18,18,18,18,18,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,MUM,MUM,MUM,MUM,MUM,MUM,MUM,MUM,MUM,MUM,,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,,9,26,113,7,72,142,8,6,9,118,,4,13,5,129,1,0.28,168,9,163,4,,0.2222222222222222,0.7222222222222222,0.2777777777777778,7.166666666666667,0.055555556,0.015555556,9.333333333333334,0.5,9.055555555555555,0.2222222222222222,,5,5,5,5,5,5,5,5,5,5,,8,8,8,8,8,8,8,8,8,8,
Neeraj Narwal,Neeraj Narwal,Neeraj Narwal,Neeraj Narwal,,Neeraj Narwal,Neeraj Narwal,,Neeraj Narwal,Neeraj Narwal,,12,12,12,12,,12,12,,12,12,,Raider,Raider,Raider,Raider,,Raider,Raider,,Raider,Raider,,,,,,,,,,,,,BLR,BLR,BLR,BLR,,BLR,BLR,,BLR,BLR,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,,57,39,114,52,,127,84,,49,103,,1,8,5,19,,0.42,32,,27,5,,0.083333333,0.6666666666666666,0.4166666666666667,1.5833333333333333,,0.035,2.6666666666666665,,2.25,0.4166666666666667,,1,1,1,1,,1,1,,1,1,,8,8,8,8,,8,8,,8,8,
,,Nitin Panwar,,Nitin Panwar,Nitin Panwar,Nitin Panwar,,Nitin Panwar,Nitin Panwar,,,,10,,10,10,10,,10,10,,,,All-Rounder,,All-Rounder,All-Rounder,All-Rounder,,All-Rounder,All-Rounder,,,,,,,,,,,,,,,U.P.,,U.P.,U.P.,U.P.,,U.P.,U.P.,,,,U.P. Yoddhas,,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,,U.P. Yoddhas,U.P. Yoddhas,,,,71,,59,67,130,,119,74,,,,13,,2,1.3,15,,2,11,,,,1.3,,0.2,0.13,1.5,,0.2,1.1,,,,30,,30,30,30,,30,30,,,,0,,0,0,0,,0,0,
V Ajith Kumar,V Ajith Kumar,V Ajith Kumar,V Ajith Kumar,V Ajith Kumar,V Ajith Kumar,V Ajith Kumar,V Ajith Kumar,V Ajith Kumar,V Ajith Kumar,,19,19,19,19,19,19,19,19,19,19,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,JAI,JAI,JAI,JAI,JAI,JAI,JAI,JAI,JAI,JAI,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,17,19,142,25,71,166,28,38,28,150,,3,16,2,64,1,0.11,82,1,80,1,,0.1578947368421052,0.8421052631578947,0.1052631578947368,3.3684210526315788,0.052631579,0.005789474,4.315789473684211,0.052631579,4.2105263157894735,0.052631579,,3,3,3,3,3,3,3,3,3,3,,8,8,8,8,8,8,8,8,8,8,
Vinay,Vinay,Vinay,Vinay,,Vinay,Vinay,Vinay,Vinay,Vinay,,23,23,23,23,,23,23,23,23,23,,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,HAR,HAR,HAR,HAR,,HAR,HAR,HAR,HAR,HAR,,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,,4,2,143,8,,172,10,10,8,145,,6,40,2,127,,0.09,165,6,163,2,,0.2608695652173913,1.7391304347826086,0.086956522,5.521739130434782,,0.003913043,7.173913043478261,0.2608695652173913,7.086956521739131,0.086956522,,28,28,28,28,,28,28,28,28,28,,8,8,8,8,,8,8,8,8,8,
,,Santhapanaselvam,,Santhapanaselvam,Santhapanaselvam,Santhapanaselvam,,,Santhapanaselvam,,,,3,,3,3,3,,,3,,,,All-Rounder,,All-Rounder,All-Rounder,All-Rounder,,,All-Rounder,,,,,,,,,,,,,,,MUM,,MUM,MUM,MUM,,,MUM,,,,U Mumba,,U Mumba,U Mumba,U Mumba,,,U Mumba,,,,101,,60,39,162,,,113,,,,6,,2,2,6,,,4,,,,2,,0.6666666666666666,0.6666666666666666,2,,,1.3333333333333333,,,,5,,5,5,5,,,5,,,,0,,0,0,0,,,0,
,Vijay Malik,Vijay Malik,Vijay Malik,,Vijay Malik,Vijay Malik,Vijay Malik,Vijay Malik,Vijay Malik,,,14,14,14,,14,14,14,14,14,,,All-Rounder,All-Rounder,All-Rounder,,All-Rounder,All-Rounder,All-Rounder,All-Rounder,All-Rounder,,,,,,,,,,,,,,U.P.,U.P.,U.P.,,U.P.,U.P.,U.P.,U.P.,U.P.,,,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,,,45,120,40,,139,66,37,42,114,,,7,4,30,,0.29,47,1,43,4,,,0.5,0.2857142857142857,2.142857142857143,,0.020714286,3.357142857142857,0.071428571,3.0714285714285716,0.2857142857142857,,,30,30,30,,30,30,30,30,30,,,0,0,0,,0,0,0,0,0,
,,Monu,Monu,Monu,Monu,Monu,,Monu,Monu,Monu,,,13,13,13,13,13,,13,13,13,,,Raider,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,,,,,,,,,,,,,,BLR,BLR,BLR,BLR,BLR,,BLR,BLR,BLR,,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,,70,73,31,80,109,,82,77,56,,,13,7,3,1,20,,7,10,1,,,1,0.5384615384615384,0.2307692307692307,0.076923077,1.5384615384615383,,0.5384615384615384,0.7692307692307693,0.076923077,,,1,1,1,1,1,,1,1,1,,,8,8,8,8,8,,8,8,8
,,Vishal Bhardwaj,Vishal Bhardwaj,Vishal Bhardwaj,Vishal Bhardwaj,Vishal Bhardwaj,,Vishal Bhardwaj,Vishal Bhardwaj,Vishal Bhardwaj,,,19,19,19,19,19,,19,19,19,,,Defender,Defender,Defender,Defender,Defender,,Defender,Defender,Defender,,,,,,,,,,,,,,DEL,DEL,DEL,DEL,DEL,,DEL,DEL,DEL,,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,,30,114,13,41,74,,118,30,28,,,36,1,5,1.89,38,,2,31,2,,,1.894736842105263,0.052631579,0.2631578947368421,0.099473684,2,,0.1052631578947368,1.631578947368421,0.1052631578947368,,,2,2,2,2,2,,2,2,2,,,9,9,9,9,9,,9,9,9
,Surinder Singh,Surinder Singh,Surinder Singh,Surinder Singh,Surinder Singh,Surinder Singh,,Surinder Singh,Surinder Singh,,,18,18,18,18,18,18,,18,18,,,Defender,Defender,Defender,Defender,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,MUM,MUM,MUM,MUM,MUM,MUM,,MUM,MUM,,,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,,U Mumba,U Mumba,,,92,39,115,27,51,90,,140,39,,,1,29,1,4,1.61,30,,1,25,,,0.055555556,1.6111111111111112,0.055555556,0.2222222222222222,0.089444444,1.6666666666666667,,0.055555556,1.3888888888888888,,,5,5,5,5,5,5,,5,5,,,9,9,9,9,9,9,,9,9,
,,Nitesh Kumar,,Nitesh Kumar,Nitesh Kumar,Nitesh Kumar,,Nitesh Kumar,Nitesh Kumar,Nitesh Kumar,,,16,,16,16,16,,16,16,16,,,Defender,,Defender,Defender,Defender,,Defender,Defender,Defender,,,,,,,,,,,,,,U.P.,,U.P.,U.P.,U.P.,,U.P.,U.P.,U.P.,,,U.P. Yoddhas,,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,,,29,,28,33,75,,139,29,24,,,37,,4,2.31,38,,1,33,3,,,2.3125,,0.25,0.144375,2.375,,0.0625,2.0625,0.1875,,,30,,30,30,30,,30,30,30,,,9,,9,9,9,,9,9,9
Rakshith ,,,Rakshith ,,,Rakshith ,,Rakshith ,,,4,,,4,,,4,,4,,,Defender-Right Cover,,,Defender-Right Cover,,,Defender-Right Cover,,Defender-Right Cover,,,,,,,,,,,,,,BLR,,,BLR,,,BLR,,BLR,,,Bengaluru Bulls,,,Bengaluru Bulls,,,Bengaluru Bulls,,Bengaluru Bulls,,,47,,,78,,,152,,78,,,1,,,6,,,8,,8,,,0.25,,,1.5,,,2,,2,,,1,,,1,,,1,,1,,,0,,,0,,,0,,0,,
Ajinkya Pawar,Ajinkya Pawar,Ajinkya Pawar,Ajinkya Pawar,Ajinkya Pawar,Ajinkya Pawar,Ajinkya Pawar,Ajinkya Pawar,Ajinkya Pawar,Ajinkya Pawar,,21,21,21,21,21,21,21,21,21,21,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,,48,8,85,11,29,126,14,24,13,99,,1,28,9,110,3,0.43,133,3,124,6,,0.047619048,1.3333333333333333,0.4285714285714285,5.238095238095238,0.1428571428571428,0.02047619,6.333333333333333,0.1428571428571428,5.904761904761905,0.2857142857142857,,29,29,29,29,29,29,29,29,29,29,,8,8,8,8,8,8,8,8,8,8,
,,Ponparthiban Subramanian,,,Ponparthiban Subramanian,Ponparthiban Subramanian,,,Ponparthiban Subramanian,Ponparthiban Subramanian,,,10,,,10,10,,,10,10,,,Defender-Right Cover,,,Defender-Right Cover,Defender-Right Cover,,,Defender-Right Cover,Defender-Right Cover,,,,,,,,,,,,,,BLR,,,BLR,BLR,,,BLR,BLR,,,Bengaluru Bulls,,,Bengaluru Bulls,Bengaluru Bulls,,,Bengaluru Bulls,Bengaluru Bulls,,,95,,,105,161,,,88,58,,,7,,,0.7,7,,,7,1,,,0.7,,,0.07,0.7,,,0.7,0.1,,,1,,,1,1,,,1,1,,,0,,,0,0,,,0,0
,,Shubham Shinde,Shubham Shinde,Shubham Shinde,Shubham Shinde,Shubham Shinde,,Shubham Shinde,Shubham Shinde,Shubham Shinde,,,22,22,22,22,22,,22,22,22,,,Defender - Right Corner,Defender - Right Corner,Defender - Right Corner,Defender - Right Corner,Defender - Right Corner,,Defender - Right Corner,Defender - Right Corner,Defender - Right Corner,,,,,,,,,,,,,,KOL,KOL,KOL,KOL,KOL,,KOL,KOL,KOL,,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,,,12,80,63,19,41,,90,11,25,,,62,5,2,2.82,67,,5,60,3,,,2.8181818181818183,0.2272727272727272,0.090909091,0.1281818181818181,3.0454545454545454,,0.2272727272727272,2.727272727272727,0.1363636363636363,,,4,4,4,4,4,,4,4,4,,,0,0,0,0,0,,0,0,0
,,Sunil,,,Sunil,Sunil,,,Sunil,,,,4,,,4,4,,,4,,,,Defender - Right Corner,,,Defender - Right Corner,Defender - Right Corner,,,Defender - Right Corner,,,,,,,,,,,,,,,DEL,,,DEL,DEL,,,DEL,,,,Dabang Delhi K.C.,,,Dabang Delhi K.C.,Dabang Delhi K.C.,,,Dabang Delhi K.C.,,,,171,,,147,218,,,147,,,,1,,,0.25,1,,,1,,,,0.25,,,0.0625,0.25,,,0.25,,,,2,,,2,2,,,2,,,,0,,,0,0,,,0,
,,Neeraj Kumar,,Neeraj Kumar,Neeraj Kumar,Neeraj Kumar,,,Neeraj Kumar,Neeraj Kumar,,,14,,14,14,14,,,14,14,,,Defender - Right Cover,,Defender - Right Cover,Defender - Right Cover,Defender - Right Cover,,,Defender - Right Cover,Defender - Right Cover,,,,,,,,,,,,,,PAT,,PAT,PAT,PAT,,,PAT,PAT,,,Patna Pirates,,Patna Pirates,Patna Pirates,Patna Pirates,,,Patna Pirates,Patna Pirates,,,34,,30,35,85,,,33,26,,,31,,3,2.21,31,,,28,2,,,2.2142857142857144,,0.2142857142857142,0.1578571428571428,2.2142857142857144,,,2,0.1428571428571428,,,6,,6,6,6,,,6,6,,,0,,0,0,0,,,0,0
Sonu,Sonu,Sonu,Sonu,Sonu,Sonu,Sonu,Sonu,Sonu,Sonu,,18,18,18,18,18,18,18,18,18,18,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,GUJ,GUJ,GUJ,GUJ,GUJ,GUJ,GUJ,GUJ,GUJ,GUJ,,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,,5,25,111,26,64,141,25,16,26,115,,5,14,5,63,1,0.28,88,4,83,4,,0.2777777777777778,0.7777777777777778,0.2777777777777778,3.5,0.055555556,0.015555556,4.888888888888889,0.2222222222222222,4.611111111111111,0.2222222222222222,,31,31,31,31,31,31,31,31,31,31,,8,8,8,8,8,8,8,8,8,8,
,,Harendra Kumar,,Harendra Kumar,Harendra Kumar,Harendra Kumar,,Harendra Kumar,Harendra Kumar,Harendra Kumar,,,15,,15,15,15,,15,15,15,,,Defender - Left Cover,,Defender - Left Cover,Defender - Left Cover,Defender - Left Cover,,Defender - Left Cover,Defender - Left Cover,Defender - Left Cover,,,,,,,,,,,,,,U.P.,,U.P.,U.P.,U.P.,,U.P.,U.P.,U.P.,,,U.P. Yoddhas,,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,,,66,,65,90,131,,138,65,59,,,14,,1,0.93,15,,1,13,1,,,0.9333333333333332,,0.066666667,0.062,1,,0.066666667,0.8666666666666667,0.066666667,,,30,,30,30,30,,30,30,30,,,0,,0,0,0,,0,0,0
,,Omkar R. More,,,Omkar R. More,Omkar R. More,,,Omkar R. More,,,,11,,,11,11,,,11,,,,All-Rounder,,,All-Rounder,All-Rounder,,,All-Rounder,,,,,,,,,,,,,,,HYD,,,HYD,HYD,,,HYD,,,,Telugu Titans,,,Telugu Titans,Telugu Titans,,,Telugu Titans,,,,86,,,103,151,,,84,,,,8,,,0.73,8,,,8,,,,0.7272727272727273,,,0.066363636,0.7272727272727273,,,0.7272727272727273,,,,8,,,8,8,,,8,,,,0,,,0,0,,,0,
Sachin Narwal,Sachin Narwal,Sachin Narwal,Sachin Narwal,,Sachin Narwal,Sachin Narwal,,Sachin Narwal,Sachin Narwal,,4,4,4,4,,4,4,,4,4,,All-Rounder,All-Rounder,All-Rounder,All-Rounder,,All-Rounder,All-Rounder,,All-Rounder,All-Rounder,,,,,,,,,,,,,BLR,BLR,BLR,BLR,,BLR,BLR,,BLR,BLR,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,,45,93,172,56,,146,108,,57,146,,1,1,1,17,,0.25,21,,20,1,,0.25,0.25,0.25,4.25,,0.0625,5.25,,5,0.25,,1,1,1,1,,1,1,,1,1,,0,0,0,0,,0,0,,0,0,
,,Vishal,Vishal,Vishal,Vishal,Vishal,,Vishal,Vishal,,,,10,10,10,10,10,,10,10,,,,Defender - Left Cover,Defender - Left Cover,Defender - Left Cover,Defender - Left Cover,Defender - Left Cover,,Defender - Left Cover,Defender - Left Cover,,,,,,,,,,,,,,,BLR,BLR,BLR,BLR,BLR,,BLR,BLR,,,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,,,,77,123,66,73,138,,137,73,,,,12,1,1,1.2,13,,1,11,,,,1.2,0.1,0.1,0.12,1.3,,0.1,1.1,,,,1,1,1,1,1,,1,1,,,,0,0,0,0,0,,0,0,
Himanshu,,Himanshu,Himanshu,Himanshu,Himanshu,Himanshu,,Himanshu,Himanshu,Himanshu,16,,16,16,16,16,16,,16,16,16,Defender - Left Corner,,Defender - Left Corner,Defender - Left Corner,Defender - Left Corner,Defender - Left Corner,Defender - Left Corner,,Defender - Left Corner,Defender - Left Corner,Defender - Left Corner,,,,,,,,,,,,CHE,,CHE,CHE,CHE,CHE,CHE,,CHE,CHE,CHE,Tamil Thalaivas,,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,46,,52,66,61,66,76,,65,53,60,1,,21,11,2,1.31,37,,16,19,1,0.0625,,1.3125,0.6875,0.125,0.081875,2.3125,,1,1.1875,0.0625,29,,29,29,29,29,29,,29,29,29,0,,0,0,0,0,0,,0,0,0
,,,Daniel Odhiambo,,,Daniel Odhiambo,,Daniel Odhiambo,,,,,,2,,,2,,2,,,,,,All-Rounder,,,All-Rounder,,All-Rounder,,,,,,,,,,,,,,,,,PAT,,,PAT,,PAT,,,,,,Patna Pirates,,,Patna Pirates,,Patna Pirates,,,,,,89,,,191,,117,,,,,,2,,,2,,2,,,,,,1,,,1,,1,,,,,,6,,,6,,6,,,,,,0,,,0,,0,,
