player-total-points_player_name,super-10s_player_name,player-dod-raid-points_player_name,player-successful-raids_player_name,player-raid-points_player_name,player-super-raids_player_name,player-successful-tackles_player_name,player-tackle-points_player_name,player-avg-tackle-points_player_name,player-super-tackles_player_name,high-5s_player_name,player-total-points_match_played,super-10s_match_played,player-dod-raid-points_match_played,player-successful-raids_match_played,player-raid-points_match_played,player-super-raids_match_played,player-successful-tackles_match_played,player-tackle-points_match_played,player-avg-tackle-points_match_played,player-super-tackles_match_played,high-5s_match_played,player-total-points_position_name,super-10s_position_name,player-dod-raid-points_position_name,player-successful-raids_position_name,player-raid-points_position_name,player-super-raids_position_name,player-successful-tackles_position_name,player-tackle-points_position_name,player-avg-tackle-points_position_name,player-super-tackles_position_name,high-5s_position_name,player-total-points_team,super-10s_team,player-dod-raid-points_team,player-successful-raids_team,player-raid-points_team,player-super-raids_team,player-successful-tackles_team,player-tackle-points_team,player-avg-tackle-points_team,player-super-tackles_team,high-5s_team,player-total-points_team_name,super-10s_team_name,player-dod-raid-points_team_name,player-successful-raids_team_name,player-raid-points_team_name,player-super-raids_team_name,player-successful-tackles_team_name,player-tackle-points_team_name,player-avg-tackle-points_team_name,player-super-tackles_team_name,high-5s_team_name,player-total-points_team_full_name,super-10s_team_full_name,player-dod-raid-points_team_full_name,player-successful-raids_team_full_name,player-raid-points_team_full_name,player-super-raids_team_full_name,player-successful-tackles_team_full_name,player-tackle-points_team_full_name,player-avg-tackle-points_team_full_name,player-super-tackles_team_full_name,high-5s_team_full_name,player-total-points_rank,super-10s_rank,player-dod-raid-points_rank,player-successful-raids_rank,player-raid-points_rank,player-super-raids_rank,player-successful-tackles_rank,player-tackle-points_rank,player-avg-tackle-points_rank,player-super-tackles_rank,high-5s_rank,player-total-points_value,super-10s_value,player-dod-raid-points_value,player-successful-raids_value,player-raid-points_value,player-super-raids_value,player-successful-tackles_value,player-tackle-points_value,player-avg-tackle-points_value,player-super-tackles_value,high-5s_value,player-total-points_points_per_match,super-10s_points_per_match,player-dod-raid-points_points_per_match,player-successful-raids_points_per_match,player-raid-points_points_per_match,player-super-raids_points_per_match,player-successful-tackles_points_per_match,player-tackle-points_points_per_match,player-avg-tackle-points_points_per_match,player-super-tackles_points_per_match,high-5s_points_per_match,player-total-points_team_id,super-10s_team_id,player-dod-raid-points_team_id,player-successful-raids_team_id,player-raid-points_team_id,player-super-raids_team_id,player-successful-tackles_team_id,player-tackle-points_team_id,player-avg-tackle-points_team_id,player-super-tackles_team_id,high-5s_team_id,player-total-points_position_id,super-10s_position_id,player-dod-raid-points_position_id,player-successful-raids_position_id,player-raid-points_position_id,player-super-raids_position_id,player-successful-tackles_position_id,player-tackle-points_position_id,player-avg-tackle-points_position_id,player-super-tackles_position_id,high-5s_position_id
Rajesh Mondal,,Rajesh Mondal,Rajesh Mondal,Rajesh Mondal,Rajesh Mondal,Rajesh Mondal,Rajesh Mondal,Rajesh Mondal,Rajesh Mondal,,15,,15,15,15,15,15,15,15,15,,Raider,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,BLR,,BLR,BLR,BLR,BLR,BLR,BLR,BLR,BLR,,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,27,,10,23,24,13,53,57,69,36,,44,,10,32,39,2,4,5,0.33,1,,2.933333333333333,,0.6666666666666666,2.1333333333333333,2.6,0.1333333333333333,0.2666666666666666,0.3333333333333333,0.022,0.066666667,,1,,1,1,1,1,1,1,1,1,,8,,8,8,8,8,8,8,8,8,
Rajesh Narwal,,Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,16,,16,16,16,16,16,16,16,16,16,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,JAI,,JAI,JAI,JAI,JAI,JAI,JAI,JAI,JAI,JAI,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,14,,6,15,15,5,11,14,22,37,10,98,,14,59,72,3,25,26,1.63,1,2,6.125,,0.875,3.6875,4.5,0.1875,1.5625,1.625,0.101875,0.0625,0.125,3,,3,3,3,3,3,3,3,3,3,0,,0,0,0,0,0,0,0,0,0
Raju Lal Choudhary,,,,,,Raju Lal Choudhary,Raju Lal Choudhary,Raju Lal Choudhary,,,5,,,,,,5,5,5,,,Defender,,,,,,Defender,Defender,Defender,,,,,,,,,,,,,,JAI,,,,,,JAI,JAI,JAI,,,Jaipur Pink Panthers,,,,,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,,89,,,,,,65,67,67,,,2,,,,,,2,2,0.4,,,0.4,,,,,,0.4,0.4,0.08,,,3,,,,,,3,3,3,,,9,,,,,,9,9,9,,
Rakesh Kumar,Rakesh Kumar,Rakesh Kumar,Rakesh Kumar,Rakesh Kumar,,Rakesh Kumar,Rakesh Kumar,Rakesh Kumar,,,12,12,12,12,12,,12,12,12,,,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,,PAT,PAT,PAT,PAT,PAT,,PAT,PAT,PAT,,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,Patna Pirates,Patna Pirates,Patna Pirates,,,13,14,22,11,12,,36,36,44,,,99,2,6,76,88,,11,11,0.92,,,8.25,0.1666666666666666,0.5,6.333333333333333,7.333333333333333,,0.9166666666666666,0.9166666666666666,0.076666667,,,6,6,6,6,6,,6,6,6,,,0,0,0,0,0,,0,0,0,,
Ram Kumar Sah,,,Ram Kumar Sah,Ram Kumar Sah,,Ram Kumar Sah,Ram Kumar Sah,Ram Kumar Sah,Ram Kumar Sah,Ram Kumar Sah,9,,,9,9,,9,9,9,9,9,Defender,,,Defender,Defender,,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,PAT,,,PAT,PAT,,PAT,PAT,PAT,PAT,PAT,Patna Pirates,,,Patna Pirates,Patna Pirates,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,55,,,52,56,,30,31,20,38,11,18,,,3,3,,14,15,1.67,1,2,2,,,0.3333333333333333,0.3333333333333333,,1.5555555555555556,1.6666666666666667,0.1855555555555555,0.1111111111111111,0.2222222222222222,6,,,6,6,,6,6,6,6,6,9,,,9,9,,9,9,9,9,9
Ravi Dalal,Ravi Dalal,Ravi Dalal,Ravi Dalal,Ravi Dalal,Ravi Dalal,,,,,,16,16,16,16,16,16,,,,,,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,,,,,PAT,PAT,PAT,PAT,PAT,PAT,,,,,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,,,,,11,9,2,7,7,4,,,,,,111,3,20,87,111,4,,,,,,6.9375,0.1875,1.25,5.4375,6.9375,0.25,,,,,,6,6,6,6,6,6,,,,,,8,8,8,8,8,8,,,,,
Rishank Devadiga,,Rishank Devadiga,Rishank Devadiga,Rishank Devadiga,Rishank Devadiga,Rishank Devadiga,Rishank Devadiga,Rishank Devadiga,,,16,,16,16,16,16,16,16,16,,,Raider,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,,MUM,,MUM,MUM,MUM,MUM,MUM,MUM,MUM,,,U Mumba,,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,,,17,,13,18,18,22,31,34,47,,,77,,10,45,64,2,13,13,0.81,,,4.8125,,0.625,2.8125,4,0.125,0.8125,0.8125,0.050625,,,5,,5,5,5,5,5,5,5,,,8,,8,8,8,8,8,8,8,,
Rohit Rana,,,,,,Rohit Rana,Rohit Rana,Rohit Rana,Rohit Rana,Rohit Rana,15,,,,,,15,15,15,15,15,Defender,,,,,,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,JAI,,,,,,JAI,JAI,JAI,JAI,JAI,Jaipur Pink Panthers,,,,,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,30,,,,,,3,5,5,39,4,38,,,,,,37,38,2.53,1,3,2.533333333333333,,,,,,2.466666666666667,2.533333333333333,0.1686666666666666,0.066666667,0.2,3,,,,,,3,3,3,3,3,9,,,,,,9,9,9,9,9
Rupesh Tomar,,,Rupesh Tomar,Rupesh Tomar,,Rupesh Tomar,Rupesh Tomar,Rupesh Tomar,Rupesh Tomar,,5,,,5,5,,5,5,5,5,,All Rounder,,,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,HYD,,,HYD,HYD,,HYD,HYD,HYD,HYD,,Telugu Titans,,,Telugu Titans,Telugu Titans,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,79,,,68,67,,64,58,48,40,,5,,,1,1,,3,4,0.8,1,,1,,,0.2,0.2,,0.6,0.8,0.16,0.2,,8,,,8,8,,8,8,8,8,,0,,,0,0,,0,0,0,0,
Sachin Khambe,,Sachin Khambe,Sachin Khambe,Sachin Khambe,,Sachin Khambe,Sachin Khambe,Sachin Khambe,Sachin Khambe,,14,,14,14,14,,14,14,14,14,,Defender,,Defender,Defender,Defender,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,KOL,,KOL,KOL,KOL,,KOL,KOL,KOL,KOL,,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,43,,46,47,50,,20,20,23,20,,27,,1,5,5,,20,22,1.57,2,,1.9285714285714288,,0.071428571,0.3571428571428571,0.3571428571428571,,1.4285714285714286,1.5714285714285714,0.1121428571428571,0.1428571428571428,,4,,4,4,4,,4,4,4,4,,9,,9,9,9,,9,9,9,9,
Shabeer Bappu,Shabeer Bappu,Shabeer Bappu,Shabeer Bappu,Shabeer Bappu,Shabeer Bappu,Shabeer Bappu,Shabeer Bappu,Shabeer Bappu,,,10,10,10,10,10,10,10,10,10,,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,,MUM,MUM,MUM,MUM,MUM,MUM,MUM,MUM,MUM,,,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,,,18,10,7,17,17,23,85,85,85,,,67,3,11,51,66,2,1,1,0.1,,,6.7,0.3,1.1,5.1,6.6,0.2,0.1,0.1,0.01,,,5,5,5,5,5,5,5,5,5,,,8,8,8,8,8,8,8,8,8,,
Shrikant Tewthia,Shrikant Tewthia,Shrikant Tewthia,Shrikant Tewthia,Shrikant Tewthia,,Shrikant Tewthia,Shrikant Tewthia,Shrikant Tewthia,Shrikant Tewthia,,14,14,14,14,14,,14,14,14,14,,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,DEL,DEL,DEL,DEL,DEL,,DEL,DEL,DEL,DEL,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,25,16,29,21,22,,41,41,53,30,,50,1,3,37,41,,8,9,0.64,1,,3.5714285714285716,0.071428571,0.2142857142857142,2.642857142857143,2.9285714285714284,,0.5714285714285714,0.6428571428571429,0.045714286,0.071428571,,2,2,2,2,2,,2,2,2,2,,0,0,0,0,0,,0,0,0,0,
Shyam Kumar Sah,,Shyam Kumar Sah,Shyam Kumar Sah,Shyam Kumar Sah,,Shyam Kumar Sah,Shyam Kumar Sah,Shyam Kumar Sah,Shyam Kumar Sah,,13,,13,13,13,,13,13,13,13,,Defender,,Defender,Defender,Defender,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,KOL,,KOL,KOL,KOL,,KOL,KOL,KOL,KOL,,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,42,,45,40,39,,25,27,30,31,,28,,1,7,10,,17,18,1.38,1,,2.1538461538461537,,0.076923077,0.5384615384615384,0.7692307692307693,,1.3076923076923077,1.3846153846153846,0.1061538461538461,0.076923077,,4,,4,4,4,,4,4,4,4,,9,,9,9,9,,9,9,9,9,
Sukesh Hegde,,Sukesh Hegde,Sukesh Hegde,Sukesh Hegde,Sukesh Hegde,Sukesh Hegde,Sukesh Hegde,Sukesh Hegde,,,14,,14,14,14,14,14,14,14,,,Raider,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,,HYD,,HYD,HYD,HYD,HYD,HYD,HYD,HYD,,,Telugu Titans,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,,16,,5,14,14,6,54,59,74,,,83,,15,60,79,3,4,4,0.29,,,5.928571428571429,,1.0714285714285714,4.285714285714286,5.642857142857143,0.2142857142857142,0.2857142857142857,0.2857142857142857,0.020714286,,,8,,8,8,8,8,8,8,8,,,8,,8,8,8,8,8,8,8,,
Sunil Hanumanthappa,,,Sunil Hanumanthappa,Sunil Hanumanthappa,,Sunil Hanumanthappa,Sunil Hanumanthappa,Sunil Hanumanthappa,,,5,,,5,5,,5,5,5,,,Raider,,,Raider,Raider,,Raider,Raider,Raider,,,,,,,,,,,,,,BLR,,,BLR,BLR,,BLR,BLR,BLR,,,Bengaluru Bulls,,,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,,84,,,67,60,,68,68,66,,,4,,,1,2,,2,2,0.4,,,0.8,,,0.2,0.4,,0.4,0.4,0.08,,,1,,,1,1,,1,1,1,,,8,,,8,8,,8,8,8,,
Surjeet Narwal,Surjeet Narwal,Surjeet Narwal,Surjeet Narwal,Surjeet Narwal,Surjeet Narwal,Surjeet Narwal,Surjeet Narwal,Surjeet Narwal,Surjeet Narwal,,14,14,14,14,14,14,14,14,14,14,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,7,3,20,4,6,18,51,48,61,21,,120,6,8,98,113,2,5,7,0.5,2,,8.571428571428571,0.4285714285714285,0.5714285714285714,7,8.071428571428571,0.1428571428571428,0.3571428571428571,0.5,0.035714286,0.1428571428571428,,2,2,2,2,2,2,2,2,2,2,,8,8,8,8,8,8,8,8,8,8,
Vishal Mane,,,,,,Vishal Mane,Vishal Mane,Vishal Mane,Vishal Mane,Vishal Mane,16,,,,,,16,16,16,16,16,Defender,,,,,,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,MUM,,,,,,MUM,MUM,MUM,MUM,MUM,U Mumba,,,,,,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,51,,,,,,21,21,35,29,18,20,,,,,,19,20,1.25,1,1,1.25,,,,,,1.1875,1.25,0.078125,0.0625,0.0625,5,,,,,,5,5,5,5,5,9,,,,,,9,9,9,9,9
Wazir Singh,Wazir Singh,Wazir Singh,Wazir Singh,Wazir Singh,Wazir Singh,Wazir Singh,Wazir Singh,Wazir Singh,Wazir Singh,,12,12,12,12,12,12,12,12,12,12,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,PUN,PUN,PUN,PUN,PUN,PUN,PUN,PUN,PUN,PUN,,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,10,8,3,8,9,19,50,49,57,19,,111,4,20,85,104,2,5,7,0.58,2,,9.25,0.3333333333333333,1.6666666666666667,7.083333333333333,8.666666666666666,0.1666666666666666,0.4166666666666667,0.5833333333333334,0.048333333,0.1666666666666666,,7,7,7,7,7,7,7,7,7,7,,8,8,8,8,8,8,8,8,8,8,
Sunil Jaipal,,Sunil Jaipal,Sunil Jaipal,Sunil Jaipal,Sunil Jaipal,Sunil Jaipal,Sunil Jaipal,Sunil Jaipal,Sunil Jaipal,Sunil Jaipal,13,,13,13,13,13,13,13,13,13,13,Raider,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,KOL,,KOL,KOL,KOL,KOL,KOL,KOL,KOL,KOL,KOL,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,24,,28,25,25,20,32,29,34,5,19,50,,3,22,33,2,13,17,1.31,4,1,3.8461538461538463,,0.2307692307692307,1.6923076923076923,2.5384615384615383,0.1538461538461538,1,1.3076923076923077,0.1007692307692307,0.3076923076923077,0.076923077,4,,4,4,4,4,4,4,4,4,4,8,,8,8,8,8,8,8,8,8,8
Sandeep Narwal,Sandeep Narwal,Sandeep Narwal,Sandeep Narwal,Sandeep Narwal,Sandeep Narwal,Sandeep Narwal,Sandeep Narwal,Sandeep Narwal,Sandeep Narwal,Sandeep Narwal,16,16,16,16,16,16,16,16,16,16,16,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,PAT,PAT,PAT,PAT,PAT,PAT,PAT,PAT,PAT,PAT,PAT,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,8,17,9,13,11,2,17,13,19,2,13,119,1,11,68,92,7,21,27,1.69,6,2,7.4375,0.0625,0.6875,4.25,5.75,0.4375,1.3125,1.6875,0.105625,0.375,0.125,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0
Maninder Singh,Maninder Singh,Maninder Singh,Maninder Singh,Maninder Singh,Maninder Singh,Maninder Singh,Maninder Singh,Maninder Singh,Maninder Singh,,16,16,16,16,16,16,16,16,16,16,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,JAI,JAI,JAI,JAI,JAI,JAI,JAI,JAI,JAI,JAI,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,3,4,1,3,3,7,49,50,65,32,,137,5,22,103,130,3,6,7,0.44,1,,8.5625,0.3125,1.375,6.4375,8.125,0.1875,0.375,0.4375,0.0275,0.0625,,3,3,3,3,3,3,3,3,3,3,,8,8,8,8,8,8,8,8,8,8,
Gokul Shitole,,,,,,Gokul Shitole,Gokul Shitole,Gokul Shitole,,,3,,,,,,3,3,3,,,Defender,,,,,,Defender,Defender,Defender,,,,,,,,,,,,,,JAI,,,,,,JAI,JAI,JAI,,,Jaipur Pink Panthers,,,,,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,,90,,,,,,69,69,51,,,2,,,,,,2,2,0.67,,,0.6666666666666666,,,,,,0.6666666666666666,0.6666666666666666,0.2233333333333333,,,3,,,,,,3,3,3,,,9,,,,,,9,9,9,,
Md. Aruduzzaman Munshi,,,Md. Aruduzzaman Munshi,Md. Aruduzzaman Munshi,,,,,,,5,,,5,5,,,,,,,Raider,,,Raider,Raider,,,,,,,,,,,,,,,,,,MUM,,,MUM,MUM,,,,,,,U Mumba,,,U Mumba,U Mumba,,,,,,,91,,,56,59,,,,,,,2,,,2,2,,,,,,,0.4,,,0.4,0.4,,,,,,,5,,,5,5,,,,,,,8,,,8,8,,,,,,
Surender Nada,,Surender Nada,Surender Nada,Surender Nada,,Surender Nada,Surender Nada,Surender Nada,Surender Nada,Surender Nada,15,,15,15,15,,15,15,15,15,15,Defender,,Defender,Defender,Defender,,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,MUM,,MUM,MUM,MUM,,MUM,MUM,MUM,MUM,MUM,U Mumba,,U Mumba,U Mumba,U Mumba,,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,19,,37,35,38,,2,2,1,6,1,61,,1,8,10,,47,51,3.4,4,5,4.066666666666666,,0.066666667,0.5333333333333333,0.6666666666666666,,3.1333333333333333,3.4,0.2266666666666666,0.2666666666666666,0.3333333333333333,5,,5,5,5,,5,5,5,5,5,9,,9,9,9,,9,9,9,9,9
Prashant Chavan,,,Prashant Chavan,Prashant Chavan,,Prashant Chavan,Prashant Chavan,Prashant Chavan,Prashant Chavan,Prashant Chavan,15,,,15,15,,15,15,15,15,15,Defender,,,Defender,Defender,,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,JAI,,,JAI,JAI,,JAI,JAI,JAI,JAI,JAI,Jaipur Pink Panthers,,,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,35,,,66,71,,8,7,11,7,12,33,,,1,1,,28,32,2.13,4,2,2.2,,,0.066666667,0.066666667,,1.8666666666666667,2.1333333333333333,0.142,0.2666666666666666,0.1333333333333333,3,,,3,3,,3,3,3,3,3,9,,,9,9,,9,9,9,9,9
Sunil Subhash Lande,,,,,,Sunil Subhash Lande,Sunil Subhash Lande,Sunil Subhash Lande,,,4,,,,,,4,4,4,,,Defender,,,,,,Defender,Defender,Defender,,,,,,,,,,,,,,PUN,,,,,,PUN,PUN,PUN,,,Puneri Paltan,,,,,,Puneri Paltan,Puneri Paltan,Puneri Paltan,,,96,,,,,,83,83,76,,,1,,,,,,1,1,0.25,,,0.25,,,,,,0.25,0.25,0.0625,,,7,,,,,,7,7,7,,,9,,,,,,9,9,9,,
Parmod Narwal,,Parmod Narwal,Parmod Narwal,Parmod Narwal,,Parmod Narwal,Parmod Narwal,Parmod Narwal,Parmod Narwal,,16,,16,16,16,,16,16,16,16,,All Rounder,,All Rounder,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,BLR,,BLR,BLR,BLR,,BLR,BLR,BLR,BLR,,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,32,,38,34,35,,18,19,26,9,,36,,1,10,13,,20,23,1.44,3,,2.25,,0.0625,0.625,0.8125,,1.25,1.4375,0.09,0.1875,,1,,1,1,1,,1,1,1,1,,0,,0,0,0,,0,0,0,0,
Vikas Tomar,,,,,,Vikas Tomar,Vikas Tomar,Vikas Tomar,Vikas Tomar,,8,,,,,,8,8,8,8,,Defender,,,,,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,PUN,,,,,,PUN,PUN,PUN,PUN,,Puneri Paltan,,,,,,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,80,,,,,,55,55,55,28,,5,,,,,,4,5,0.63,1,,0.625,,,,,,0.5,0.625,0.07875,0.125,,7,,,,,,7,7,7,7,,9,,,,,,9,9,9,9,
D. Gopu,,,D. Gopu,D. Gopu,,D. Gopu,D. Gopu,D. Gopu,D. Gopu,,15,,,15,15,,15,15,15,15,,Defender,,,Defender,Defender,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,HYD,,,HYD,HYD,,HYD,HYD,HYD,HYD,,Telugu Titans,,,Telugu Titans,Telugu Titans,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,46,,,53,57,,19,18,25,10,,26,,,3,3,,20,23,1.53,3,,1.7333333333333334,,,0.2,0.2,,1.3333333333333333,1.5333333333333334,0.102,0.2,,8,,,8,8,,8,8,8,8,,9,,,9,9,,9,9,9,9,
