player_name,player_id,match_played,value,team_id,team,team_name,rank,position_id,position_name,team_full_name
Shrikant Tewthia,107,23,40,4,,KOL,64,0,All Rounder,Bengal Warriors
Sombir,3000,17,39,8,,HYD,65,9,Defender,Telugu Titans
Vishal Mane,123,26,39,6,,PAT,66,9,Defender,Patna Pirates
Rohit Gulia,3023,19,38,31,,GUJ,67,0,All Rounder,Gujarat Giants
Shabeer Bappu,105,12,38,5,,MUM,68,8,Raider,U Mumba
C. Arun,191,20,36,29,,CHE,69,9,Defender,Tamil Thalaivas
R. Sriram,718,11,36,2,,DEL,70,8,Raider,Dabang Delhi K.C.
Vikas Kumar,762,14,35,8,,HYD,71,8,Raider,Telugu Titans
Jawahar,390,18,35,6,,PAT,72,0,All Rounder,Patna Pirates
Sagar Krishna,347,17,33,30,,U.P.,73,0,All Rounder,U.P. Yoddhas
Anand Patil,576,19,33,2,,DEL,74,8,Raider,Dabang Delhi K.C.
Kuldeep Singh,61,16,33,1,,BLR,75,9,Defender,Bengaluru Bulls
Ashish Sangwan,202,20,32,1,,BLR,76,9,Defender,Bengaluru Bulls
Sidharth ,611,21,31,3,,JAI,77,0,All Rounder,Jaipur Pink Panthers
Sunil Jaipal,141,13,31,1,,BLR,78,8,Raider,Bengaluru Bulls
Somvir Shekhar,109,22,30,3,,JAI,79,9,Defender,Jaipur Pink Panthers
Vineet Sharma,268,18,30,29,,CHE,80,8,Raider,Tamil Thalaivas
Ravi Kumar,240,23,30,7,,PUN,81,9,Defender,Puneri Paltan
D. Pradap,3085,16,29,29,,CHE,82,0,All Rounder,Tamil Thalaivas
Dong Geon Lee,522,17,29,29,,CHE,83,8,Raider,Tamil Thalaivas
Satpal,773,10,28,2,,DEL,84,9,Defender,Dabang Delhi K.C.
Farhad Milaghardan,482,18,28,8,,HYD,85,9,Defender,Telugu Titans
Bhupender Singh,34,17,28,4,,KOL,86,0,All Rounder,Bengal Warriors
Rajesh Narwal,86,16,27,30,,U.P.,87,0,All Rounder,U.P. Yoddhas
Vikas,734,19,26,28,,HAR,88,9,Defender,Haryana Steelers
Sunil,207,18,25,2,,DEL,89,9,Defender,Dabang Delhi K.C.
Dharmaraj Cheralathan,42,18,25,7,,PUN,90,9,Defender,Puneri Paltan
Nilesh Shinde,73,15,24,2,,DEL,91,9,Defender,Dabang Delhi K.C.
Rohit Rana,96,21,24,8,,HYD,92,9,Defender,Telugu Titans
GURVINDER SINGH,46,9,24,1,,BLR,93,8,Raider,Bengaluru Bulls
Rakesh Singh Kumar,158,19,24,28,,HAR,94,9,Defender,Haryana Steelers
Harish Naik,3091,14,24,1,,BLR,95,8,Raider,Bengaluru Bulls
Ajit Singh,3056,11,23,3,,JAI,96,8,Raider,Jaipur Pink Panthers
Rakesh Kumar,88,10,23,8,,HYD,97,0,All Rounder,Telugu Titans
Sachin Shingade,165,26,22,6,,PAT,98,9,Defender,Patna Pirates
Rinku Narwal,3084,13,22,7,,PUN,99,9,Defender,Puneri Paltan
Manish,728,23,22,6,,PAT,100,9,Defender,Patna Pirates
Suresh Kumar,771,11,22,7,,PUN,101,8,Raider,Puneri Paltan
Akshay Jadhav,365,10,21,7,,PUN,102,8,Raider,Puneri Paltan
Ziaur Rahman,536,16,20,7,,PUN,103,9,Defender,Puneri Paltan
Hadi Oshtorak,249,16,20,5,,MUM,104,0,All Rounder,U Mumba
Rakesh Narwal,204,6,18,31,,GUJ,105,8,Raider,Gujarat Giants
More G B,772,6,16,7,,PUN,106,8,Raider,Puneri Paltan
Sunil Siddhgavali,613,12,16,3,,JAI,107,8,Raider,Jaipur Pink Panthers
Pankaj,3089,13,16,30,,U.P.,108,9,Defender,U.P. Yoddhas
M. Thivakaran,696,9,16,29,,CHE,109,8,Raider,Tamil Thalaivas
Elangeshwaran R,667,5,16,8,,HYD,110,0,All Rounder,Telugu Titans
Vishnu Landge,784,19,16,2,,DEL,111,9,Defender,Dabang Delhi K.C.
Santhapanaselvam,3076,10,15,3,,JAI,112,9,Defender,Jaipur Pink Panthers
Rakshith,3090,6,14,8,,HYD,113,8,Raider,Telugu Titans
Swapnil Shinde,170,13,13,2,,DEL,114,9,Defender,Dabang Delhi K.C.
Neeraj Kumar,637,17,13,28,,HAR,115,9,Defender,Haryana Steelers
Nitin Madane,75,12,13,5,,MUM,116,8,Raider,U Mumba
Vikash Jaglan,121,13,13,6,,PAT,117,8,Raider,Patna Pirates
Rohit Kumar Choudary,217,11,13,7,,PUN,118,8,Raider,Puneri Paltan
Santosh B.S. ,101,9,12,30,,U.P.,119,9,Defender,U.P. Yoddhas
N. Renjith,710,11,12,5,,MUM,120,9,Defender,U Mumba
Ashish Chhokar,195,5,12,28,,HAR,121,8,Raider,Haryana Steelers
Yatharth ,736,6,11,2,,DEL,122,0,All Rounder,Dabang Delhi K.C.
Bajirao Hodage,164,12,11,2,,DEL,123,9,Defender,Dabang Delhi K.C.
Vishal,3159,5,11,2,,DEL,124,0,All Rounder,Dabang Delhi K.C.
Pawan Sehrawat,318,9,10,31,,GUJ,125,8,Raider,Gujarat Giants
Hadi Tajik,301,9,9,30,,U.P.,126,9,Defender,U.P. Yoddhas
Tapas Pal,661,5,9,2,,DEL,127,0,All Rounder,Dabang Delhi K.C.
Joginder Narwal,194,8,9,5,,MUM,128,9,Defender,U Mumba
Virender Singh,313,3,8,4,,KOL,129,8,Raider,Bengal Warriors
Ravi Dalal,92,5,8,2,,DEL,130,8,Raider,Dabang Delhi K.C.
D. SURESH KUMAR,162,5,8,5,,MUM,131,9,Defender,U Mumba
Kuldeep Singh,732,5,8,28,,HAR,132,0,All Rounder,Haryana Steelers
Mohan Raman G,689,4,8,5,,MUM,133,8,Raider,U Mumba
Deepak Yadav,694,4,8,5,,MUM,134,9,Defender,U Mumba
Deepak Kumar,275,6,7,28,,HAR,135,0,All Rounder,Haryana Steelers
Preetam Chhillar,167,16,7,1,,BLR,136,0,All Rounder,Bengaluru Bulls
Sachin Kumar,218,9,7,1,,BLR,137,9,Defender,Bengaluru Bulls
Shubham Palkar,605,8,7,2,,DEL,138,8,Raider,Dabang Delhi K.C.
Vijay Kumar,768,8,6,29,,CHE,139,9,Defender,Tamil Thalaivas
Vinoth Kumar,172,4,6,8,,HYD,140,8,Raider,Telugu Titans
Manoj Dhull,233,9,6,3,,JAI,141,9,Defender,Jaipur Pink Panthers
Rahul Kumar,288,10,6,4,,KOL,142,9,Defender,Bengal Warriors
Mayur Shivtarkar,3045,5,6,28,,HAR,143,0,All Rounder,Haryana Steelers
Rahul Choudhary ,738,5,6,3,,JAI,144,8,Raider,Jaipur Pink Panthers
Vikash ,741,4,5,4,,KOL,145,0,All Rounder,Bengal Warriors
Gurvinder Singh,751,5,5,30,,U.P.,146,9,Defender,U.P. Yoddhas
Jeeva Gopal,53,6,5,28,,HAR,147,9,Defender,Haryana Steelers
Vijin Thangadurai,185,12,4,29,,CHE,148,9,Defender,Tamil Thalaivas
Rohit,3066,2,4,1,,BLR,149,8,Raider,Bengaluru Bulls
Selvamani K,264,3,4,3,,JAI,150,8,Raider,Jaipur Pink Panthers
Sanket Chavan,360,7,4,29,,CHE,151,9,Defender,Tamil Thalaivas
Satish ,790,10,3,6,,PAT,152,9,Defender,Patna Pirates
Gulveer Singh,647,4,3,30,,U.P.,153,8,Raider,U.P. Yoddhas
Muruthu M,776,3,3,29,,CHE,154,9,Defender,Tamil Thalaivas
Tushar Bhoir,792,8,3,2,,DEL,155,9,Defender,Dabang Delhi K.C.
Rohit Kumar,712,7,3,30,,U.P.,156,9,Defender,U.P. Yoddhas
Vikrant ,746,3,3,8,,HYD,157,8,Raider,Telugu Titans
Sanoj Kumar,640,2,3,30,,U.P.,158,9,Defender,U.P. Yoddhas
Bhavani Rajput,660,4,3,29,,CHE,159,8,Raider,Tamil Thalaivas
Subash E,3087,2,3,5,,MUM,160,0,All Rounder,U Mumba
Shashank Wankhede,279,3,2,4,,KOL,161,9,Defender,Bengal Warriors
Young Chang Ko,519,14,2,4,,KOL,162,9,Defender,Bengal Warriors
Parmod Narwal,150,6,2,28,,HAR,163,0,All Rounder,Haryana Steelers
Suresu Kumar,173,3,2,2,,DEL,164,8,Raider,Dabang Delhi K.C.
Babu M,726,2,2,28,,HAR,165,9,Defender,Haryana Steelers
Vinod Kumar,215,4,2,8,,HYD,166,9,Defender,Telugu Titans
Anil Kumar,386,5,2,29,,CHE,167,9,Defender,Tamil Thalaivas
Ravindra Kumavat,3094,2,2,4,,KOL,168,0,All Rounder,Bengal Warriors
Kuldeep (392) ,392,5,2,4,,KOL,169,8,Raider,Bengal Warriors
David Mosambayi,266,2,2,28,,HAR,170,0,All Rounder,Haryana Steelers
Rupesh Tomar,97,1,1,2,,DEL,171,0,All Rounder,Dabang Delhi K.C.
Dong Ju Hong,11,3,1,5,,MUM,172,0,All Rounder,U Mumba
Umesh Mhatre,272,5,1,7,,PUN,173,8,Raider,Puneri Paltan
Ravinder Kumar,292,1,1,3,,JAI,174,9,Defender,Jaipur Pink Panthers
Yong Joo Ok,513,1,1,5,,MUM,175,0,All Rounder,U Mumba
Anil Kumar,765,2,1,4,,KOL,176,8,Raider,Bengal Warriors
Ajvender Singh,705,2,1,30,,U.P.,177,8,Raider,U.P. Yoddhas
Anil Kumar,311,5,1,29,,CHE,178,9,Defender,Tamil Thalaivas
Vishnu Uthaman,580,3,1,6,,PAT,179,8,Raider,Patna Pirates
Manoj Kumar,70,5,1,31,,GUJ,180,9,Defender,Gujarat Giants
Munish ,774,3,1,8,,HYD,181,8,Raider,Telugu Titans
