player-raid-points_player_name,player-super-tackles_player_name,player-successful-tackles_player_name,player-dod-raid-points_player_name,player-super-raids_player_name,player-tackle-points_player_name,player-successful-raids_player_name,high-5s_player_name,player-avg-tackle-points_player_name,player-total-points_player_name,super-10s_player_name,player-raid-points_match_played,player-super-tackles_match_played,player-successful-tackles_match_played,player-dod-raid-points_match_played,player-super-raids_match_played,player-tackle-points_match_played,player-successful-raids_match_played,high-5s_match_played,player-avg-tackle-points_match_played,player-total-points_match_played,super-10s_match_played,player-raid-points_position_name,player-super-tackles_position_name,player-successful-tackles_position_name,player-dod-raid-points_position_name,player-super-raids_position_name,player-tackle-points_position_name,player-successful-raids_position_name,high-5s_position_name,player-avg-tackle-points_position_name,player-total-points_position_name,super-10s_position_name,player-raid-points_team,player-super-tackles_team,player-successful-tackles_team,player-dod-raid-points_team,player-super-raids_team,player-tackle-points_team,player-successful-raids_team,high-5s_team,player-avg-tackle-points_team,player-total-points_team,super-10s_team,player-raid-points_team_name,player-super-tackles_team_name,player-successful-tackles_team_name,player-dod-raid-points_team_name,player-super-raids_team_name,player-tackle-points_team_name,player-successful-raids_team_name,high-5s_team_name,player-avg-tackle-points_team_name,player-total-points_team_name,super-10s_team_name,player-raid-points_team_full_name,player-super-tackles_team_full_name,player-successful-tackles_team_full_name,player-dod-raid-points_team_full_name,player-super-raids_team_full_name,player-tackle-points_team_full_name,player-successful-raids_team_full_name,high-5s_team_full_name,player-avg-tackle-points_team_full_name,player-total-points_team_full_name,super-10s_team_full_name,player-raid-points_rank,player-super-tackles_rank,player-successful-tackles_rank,player-dod-raid-points_rank,player-super-raids_rank,player-tackle-points_rank,player-successful-raids_rank,high-5s_rank,player-avg-tackle-points_rank,player-total-points_rank,super-10s_rank,player-raid-points_value,player-super-tackles_value,player-successful-tackles_value,player-dod-raid-points_value,player-super-raids_value,player-tackle-points_value,player-successful-raids_value,high-5s_value,player-avg-tackle-points_value,player-total-points_value,super-10s_value,player-raid-points_points_per_match,player-super-tackles_points_per_match,player-successful-tackles_points_per_match,player-dod-raid-points_points_per_match,player-super-raids_points_per_match,player-tackle-points_points_per_match,player-successful-raids_points_per_match,high-5s_points_per_match,player-avg-tackle-points_points_per_match,player-total-points_points_per_match,super-10s_points_per_match,player-raid-points_team_id,player-super-tackles_team_id,player-successful-tackles_team_id,player-dod-raid-points_team_id,player-super-raids_team_id,player-tackle-points_team_id,player-successful-raids_team_id,high-5s_team_id,player-avg-tackle-points_team_id,player-total-points_team_id,super-10s_team_id,player-raid-points_position_id,player-super-tackles_position_id,player-successful-tackles_position_id,player-dod-raid-points_position_id,player-super-raids_position_id,player-tackle-points_position_id,player-successful-raids_position_id,high-5s_position_id,player-avg-tackle-points_position_id,player-total-points_position_id,super-10s_position_id
C.Arun ,C.Arun ,C.Arun ,,,C.Arun ,C.Arun ,C.Arun ,C.Arun ,C.Arun ,,22.0,22.0,22.0,,,22.0,22.0,22.0,22.0,22,,Defender,Defender,Defender,,,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,,HYD,HYD,HYD,,,HYD,HYD,HYD,HYD,HYD,,Telugu Titans,Telugu Titans,Telugu Titans,,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,109.0,26.0,44.0,,,45.0,113.0,39.0,57.0,87,,2.0,3.0,22.0,,,25.0,1.0,1.0,1.14,27,,0.0909090909090909,0.1363636363636363,1.0,,,1.1363636363636365,0.0454545454545454,0.0454545454545454,0.0518181818181818,1.2272727272727273,,8.0,8.0,8.0,,,8.0,8.0,8.0,8.0,8,,9.0,9.0,9.0,,,9.0,9.0,9.0,9.0,9,
,Joginder Narwal,Joginder Narwal,,,Joginder Narwal,,Joginder Narwal,Joginder Narwal,Joginder Narwal,,,22.0,22.0,,,22.0,,22.0,22.0,22,,,Defender,Defender,,,Defender,,Defender,Defender,Defender,,,,,,,,,,,,,,DEL,DEL,,,DEL,,DEL,DEL,DEL,,,Dabang Delhi K.C.,Dabang Delhi K.C.,,,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,,19.0,20.0,,,20.0,,40.0,25.0,62,,,4.0,45.0,,,49.0,,1.0,2.23,49,,,0.1818181818181818,2.0454545454545454,,,2.227272727272727,,0.0454545454545454,0.1013636363636363,2.227272727272727,,,2.0,2.0,,,2.0,,2.0,2.0,2,,,9.0,9.0,,,9.0,,9.0,9.0,9,
Pardeep Narwal,Pardeep Narwal,Pardeep Narwal,Pardeep Narwal,Pardeep Narwal,Pardeep Narwal,Pardeep Narwal,,Pardeep Narwal,Pardeep Narwal,Pardeep Narwal,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,22.0,22,22.0,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,,,,,,,,,,,,PAT,PAT,PAT,PAT,PAT,PAT,PAT,,PAT,PAT,PAT,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,Patna Pirates,Patna Pirates,Patna Pirates,2.0,69.0,134.0,2.0,1.0,117.0,3.0,,149.0,2,3.0,302.0,1.0,1.0,41.0,14.0,2.0,234.0,,0.09,304,15.0,13.727272727272728,0.0454545454545454,0.0454545454545454,1.8636363636363635,0.6363636363636364,0.0909090909090909,10.636363636363637,,0.004090909090909,13.818181818181818,0.6818181818181818,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,6,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,8.0,8,8.0
Ashish Kumar,Ashish Kumar,Ashish Kumar,,,Ashish Kumar,,,Ashish Kumar,Ashish Kumar,,7.0,7.0,7.0,,,7.0,,,7.0,7,,All Rounder,All Rounder,All Rounder,,,All Rounder,,,All Rounder,All Rounder,,,,,,,,,,,,,BLR,BLR,BLR,,,BLR,,,BLR,BLR,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,,Bengaluru Bulls,,,Bengaluru Bulls,Bengaluru Bulls,,112.0,48.0,100.0,,,95.0,,,77.0,149,,1.0,2.0,3.0,,,5.0,,,0.71,6,,0.1428571428571428,0.2857142857142857,0.4285714285714285,,,0.7142857142857143,,,0.1014285714285714,0.8571428571428571,,1.0,1.0,1.0,,,1.0,,,1.0,1,,0.0,0.0,0.0,,,0.0,,,0.0,0,
Rakesh Narwal,,,Rakesh Narwal,,,Rakesh Narwal,,,Rakesh Narwal,Rakesh Narwal,4.0,,,4.0,,,4.0,,,4,4.0,Raider,,,Raider,,,Raider,,,Raider,Raider,,,,,,,,,,,,KOL,,,KOL,,,KOL,,,KOL,KOL,Bengal Warriors,,,Bengal Warriors,,,Bengal Warriors,,,Bengal Warriors,Bengal Warriors,56.0,,,66.0,,,55.0,,,99,27.0,18.0,,,2.0,,,13.0,,,18,1.0,4.5,,,0.5,,,3.25,,,4.5,0.25,4.0,,,4.0,,,4.0,,,4,4.0,8.0,,,8.0,,,8.0,,,8,8.0
Deepak Narwal,,Deepak Narwal,Deepak Narwal,Deepak Narwal,Deepak Narwal,Deepak Narwal,,Deepak Narwal,Deepak Narwal,Deepak Narwal,19.0,,19.0,19.0,19.0,19.0,19.0,,19.0,19,19.0,Raider,,Raider,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,,,,,,,,,,,,JAI,,JAI,JAI,JAI,JAI,JAI,,JAI,JAI,JAI,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,23.0,,133.0,21.0,19.0,155.0,24.0,,155.0,25,22.0,79.0,,1.0,12.0,2.0,1.0,59.0,,0.05,80,2.0,4.157894736842105,,0.0526315789473684,0.631578947368421,0.1052631578947368,0.0526315789473684,3.1052631578947367,,0.0026315789473684,4.2105263157894735,0.1052631578947368,3.0,,3.0,3.0,3.0,3.0,3.0,,3.0,3,3.0,8.0,,8.0,8.0,8.0,8.0,8.0,,8.0,8,8.0
Amit Hooda,Amit Hooda,Amit Hooda,,,Amit Hooda,,Amit Hooda,Amit Hooda,Amit Hooda,,16.0,16.0,16.0,,,16.0,,16.0,16.0,16,,Defender,Defender,Defender,,,Defender,,Defender,Defender,Defender,,,,,,,,,,,,,JAI,JAI,JAI,,,JAI,,JAI,JAI,JAI,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,110.0,24.0,21.0,,,23.0,,19.0,11.0,68,,2.0,3.0,41.0,,,44.0,,3.0,2.75,46,,0.125,0.1875,2.5625,,,2.75,,0.1875,0.171875,2.875,,3.0,3.0,3.0,,,3.0,,3.0,3.0,3,,9.0,9.0,9.0,,,9.0,,9.0,9.0,9,
Sachin Kumar,Sachin Kumar,Sachin Kumar,,,Sachin Kumar,Sachin Kumar,,Sachin Kumar,Sachin Kumar,,15.0,15.0,15.0,,,15.0,15.0,,15.0,15,,Defender,Defender,Defender,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,U.P.,U.P.,U.P.,,,U.P.,U.P.,,U.P.,U.P.,,U.P. Yoddha,U.P. Yoddha,U.P. Yoddha,,,U.P. Yoddha,U.P. Yoddha,,U.P. Yoddha,U.P. Yoddha,,111.0,58.0,86.0,,,87.0,94.0,,102.0,130,,2.0,1.0,6.0,,,7.0,2.0,,0.47,9,,0.1333333333333333,0.0666666666666666,0.4,,,0.4666666666666667,0.1333333333333333,,0.0313333333333333,0.6,,30.0,30.0,30.0,,,30.0,30.0,,30.0,30,,9.0,9.0,9.0,,,9.0,9.0,,9.0,9,
K.Prapanjan ,,K.Prapanjan ,K.Prapanjan ,K.Prapanjan ,K.Prapanjan ,K.Prapanjan ,,K.Prapanjan ,K.Prapanjan ,K.Prapanjan ,20.0,,20.0,20.0,20.0,20.0,20.0,,20.0,20,20.0,raider,,raider,raider,raider,raider,raider,,raider,raider,raider,,,,,,,,,,,,KOL,,KOL,KOL,KOL,KOL,KOL,,KOL,KOL,KOL,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,18.0,,99.0,32.0,7.0,116.0,19.0,,140.0,19,13.0,102.0,,3.0,10.0,4.0,3.0,73.0,,0.15,105,3.0,5.1,,0.15,0.5,0.2,0.15,3.65,,0.0075,5.25,0.15,4.0,,4.0,4.0,4.0,4.0,4.0,,4.0,4,4.0,8.0,,8.0,8.0,8.0,8.0,8.0,,8.0,8,8.0
Surender Singh,,Surender Singh,Surender Singh,,Surender Singh,Surender Singh,,Surender Singh,Surender Singh,,7.0,,7.0,7.0,,7.0,7.0,,7.0,7,,Defender,,Defender,Defender,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,U.P.,,U.P.,U.P.,,U.P.,U.P.,,U.P.,U.P.,,U.P. Yoddha,,U.P. Yoddha,U.P. Yoddha,,U.P. Yoddha,U.P. Yoddha,,U.P. Yoddha,U.P. Yoddha,,52.0,,135.0,44.0,,156.0,56.0,,141.0,93,,20.0,,1.0,6.0,,1.0,12.0,,0.14,21,,2.857142857142857,,0.1428571428571428,0.8571428571428571,,0.1428571428571428,1.7142857142857142,,0.02,3.0,,30.0,,30.0,30.0,,30.0,30.0,,30.0,30,,9.0,,9.0,9.0,,9.0,9.0,,9.0,9,
,Ravi Kumar,Ravi Kumar,,,Ravi Kumar,,Ravi Kumar,Ravi Kumar,Ravi Kumar,,,21.0,21.0,,,21.0,,21.0,21.0,21,,,Defender,Defender,,,Defender,,Defender,Defender,Defender,,,,,,,,,,,,,,HAR,HAR,,,HAR,,HAR,HAR,HAR,,,Haryana Steelers,Haryana Steelers,,,Haryana Steelers,,Haryana Steelers,Haryana Steelers,Haryana Steelers,,,15.0,18.0,,,18.0,,8.0,17.0,57,,,5.0,47.0,,,52.0,,4.0,2.48,52,,,0.238095238095238,2.238095238095238,,,2.4761904761904763,,0.1904761904761904,0.1180952380952381,2.4761904761904763,,,28.0,28.0,,,28.0,,28.0,28.0,28,,,9.0,9.0,,,9.0,,9.0,9.0,9,
Hadi Oshtorak,Hadi Oshtorak,Hadi Oshtorak,,,Hadi Oshtorak,Hadi Oshtorak,Hadi Oshtorak,Hadi Oshtorak,Hadi Oshtorak,,22.0,22.0,22.0,,,22.0,22.0,22.0,22.0,22,,All Rounder,All Rounder,All Rounder,,,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,PAT,PAT,PAT,,,PAT,PAT,PAT,PAT,PAT,,Patna Pirates,Patna Pirates,Patna Pirates,,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,73.0,7.0,32.0,,,26.0,76.0,44.0,35.0,63,,8.0,7.0,33.0,,,40.0,4.0,1.0,1.82,48,,0.3636363636363636,0.3181818181818182,1.5,,,1.818181818181818,0.1818181818181818,0.0454545454545454,0.0827272727272727,2.1818181818181817,,6.0,6.0,6.0,,,6.0,6.0,6.0,6.0,6,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0,
Meraj Sheykh,,Meraj Sheykh,Meraj Sheykh,Meraj Sheykh,Meraj Sheykh,Meraj Sheykh,,Meraj Sheykh,Meraj Sheykh,Meraj Sheykh,17.0,,17.0,17.0,17.0,17.0,17.0,,17.0,17,17.0,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,DEL,,DEL,DEL,DEL,DEL,DEL,,DEL,DEL,DEL,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,43.0,,132.0,48.0,37.0,154.0,43.0,,153.0,72,32.0,41.0,,1.0,5.0,1.0,1.0,31.0,,0.06,42,1.0,2.411764705882353,,0.0588235294117647,0.2941176470588235,0.0588235294117647,0.0588235294117647,1.8235294117647056,,0.0035294117647058,2.4705882352941178,0.0588235294117647,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,2,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0
Fazel Atrachali,Fazel Atrachali,Fazel Atrachali,,,Fazel Atrachali,Fazel Atrachali,Fazel Atrachali,Fazel Atrachali,Fazel Atrachali,,24.0,24.0,24.0,,,24.0,24.0,24.0,24.0,24,,defender,defender,defender,,,defender,defender,defender,defender,defender,,,,,,,,,,,,,MUM,MUM,MUM,,,MUM,MUM,MUM,MUM,MUM,,U Mumba,U Mumba,U Mumba,,,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,,108.0,12.0,1.0,,,1.0,108.0,9.0,2.0,24,,2.0,5.0,77.0,,,82.0,1.0,4.0,3.42,84,,0.0833333333333333,0.2083333333333333,3.2083333333333335,,,3.4166666666666665,0.0416666666666666,0.1666666666666666,0.1425,3.5,,5.0,5.0,5.0,,,5.0,5.0,5.0,5.0,5,,9.0,9.0,9.0,,,9.0,9.0,9.0,9.0,9,
Rohit Baliyan,Rohit Baliyan,Rohit Baliyan,Rohit Baliyan,Rohit Baliyan,Rohit Baliyan,Rohit Baliyan,,Rohit Baliyan,Rohit Baliyan,,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,18.0,18,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,Raider,,,,,,,,,,,,,MUM,MUM,MUM,MUM,MUM,MUM,MUM,,MUM,MUM,,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,,U Mumba,U Mumba,,37.0,59.0,101.0,43.0,18.0,96.0,39.0,,128.0,56,,50.0,1.0,3.0,7.0,2.0,4.0,37.0,,0.22,54,,2.7777777777777777,0.0555555555555555,0.1666666666666666,0.3888888888888889,0.1111111111111111,0.2222222222222222,2.0555555555555554,,0.0122222222222222,3.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5,,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,8.0,8,
Selvamani K ,,Selvamani K ,Selvamani K ,Selvamani K ,Selvamani K ,Selvamani K ,,Selvamani K ,Selvamani K ,,7.0,,7.0,7.0,7.0,7.0,7.0,,7.0,7,,raider,,raider,raider,raider,raider,raider,,raider,raider,,,,,,,,,,,,,HAR,,HAR,HAR,HAR,HAR,HAR,,HAR,HAR,,Haryana Steelers,,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,,Haryana Steelers,Haryana Steelers,,63.0,,126.0,82.0,36.0,118.0,65.0,,119.0,114,,11.0,,2.0,1.0,1.0,2.0,7.0,,0.29,13,,1.5714285714285714,,0.2857142857142857,0.1428571428571428,0.1428571428571428,0.2857142857142857,1.0,,0.0414285714285714,1.8571428571428572,,28.0,,28.0,28.0,28.0,28.0,28.0,,28.0,28,,8.0,,8.0,8.0,8.0,8.0,8.0,,8.0,8,
Amit Kumar,Amit Kumar,Amit Kumar,Amit Kumar,,Amit Kumar,Amit Kumar,,Amit Kumar,Amit Kumar,,9.0,9.0,9.0,9.0,,9.0,9.0,,9.0,9,,Defender,Defender,Defender,Defender,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,HYD,HYD,HYD,HYD,,HYD,HYD,,HYD,HYD,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,Telugu Titans,Telugu Titans,,Telugu Titans,Telugu Titans,,95.0,53.0,73.0,64.0,,70.0,95.0,,59.0,115,,3.0,2.0,8.0,2.0,,10.0,2.0,,1.11,13,,0.3333333333333333,0.2222222222222222,0.8888888888888888,0.2222222222222222,,1.1111111111111112,0.2222222222222222,,0.1233333333333333,1.4444444444444444,,8.0,8.0,8.0,8.0,,8.0,8.0,,8.0,8,,9.0,9.0,9.0,9.0,,9.0,9.0,,9.0,9,
Vineet Sharma,Vineet Sharma,Vineet Sharma,Vineet Sharma,,Vineet Sharma,Vineet Sharma,,Vineet Sharma,Vineet Sharma,,13.0,13.0,13.0,13.0,,13.0,13.0,,13.0,13,,Raider,Raider,Raider,Raider,,Raider,Raider,,Raider,Raider,,,,,,,,,,,,,CHE,CHE,CHE,CHE,,CHE,CHE,,CHE,CHE,,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,,Tamil Thalaivas,Tamil Thalaivas,,Tamil Thalaivas,Tamil Thalaivas,,68.0,54.0,74.0,65.0,,71.0,77.0,,78.0,98,,10.0,1.0,8.0,2.0,,9.0,4.0,,0.69,19,,0.7692307692307693,0.0769230769230769,0.6153846153846154,0.1538461538461538,,0.6923076923076923,0.3076923076923077,,0.053076923076923,1.4615384615384617,,29.0,29.0,29.0,29.0,,29.0,29.0,,29.0,29,,8.0,8.0,8.0,8.0,,8.0,8.0,,8.0,8,
,Krushna Madane,Krushna Madane,,,Krushna Madane,,Krushna Madane,Krushna Madane,Krushna Madane,,,12.0,12.0,,,12.0,,12.0,12.0,12,,,Defender,Defender,,,Defender,,Defender,Defender,Defender,,,,,,,,,,,,,,HYD,HYD,,,HYD,,HYD,HYD,HYD,,,Telugu Titans,Telugu Titans,,,Telugu Titans,,Telugu Titans,Telugu Titans,Telugu Titans,,,55.0,51.0,,,54.0,,43.0,47.0,106,,,1.0,15.0,,,16.0,,1.0,1.33,16,,,0.0833333333333333,1.25,,,1.3333333333333333,,0.0833333333333333,0.1108333333333333,1.3333333333333333,,,8.0,8.0,,,8.0,,8.0,8.0,8,,,9.0,9.0,,,9.0,,9.0,9.0,9,
Sandeep Dhull,Sandeep Dhull,Sandeep Dhull,,,Sandeep Dhull,,Sandeep Dhull,Sandeep Dhull,Sandeep Dhull,,22.0,22.0,22.0,,,22.0,,22.0,22.0,22,,Defender,Defender,Defender,,,Defender,,Defender,Defender,Defender,,,,,,,,,,,,,JAI,JAI,JAI,,,JAI,,JAI,JAI,JAI,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,113.0,8.0,4.0,,,4.0,,6.0,3.0,33,,1.0,7.0,66.0,,,73.0,,5.0,3.32,74,,0.0454545454545454,0.3181818181818182,3.0,,,3.3181818181818183,,0.2272727272727272,0.1509090909090909,3.363636363636364,,3.0,3.0,3.0,,,3.0,,3.0,3.0,3,,9.0,9.0,9.0,,,9.0,,9.0,9.0,9,
Nilesh Salunke,,Nilesh Salunke,Nilesh Salunke,Nilesh Salunke,Nilesh Salunke,Nilesh Salunke,,Nilesh Salunke,Nilesh Salunke,Nilesh Salunke,18.0,,18.0,18.0,18.0,18.0,18.0,,18.0,18,18.0,Defender,,Defender,Defender,Defender,Defender,Defender,,Defender,Defender,Defender,,,,,,,,,,,,JAI,,JAI,JAI,JAI,JAI,JAI,,JAI,JAI,JAI,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,27.0,,104.0,33.0,16.0,114.0,29.0,,139.0,36,33.0,66.0,,3.0,10.0,2.0,3.0,51.0,,0.17,69,1.0,3.6666666666666665,,0.1666666666666666,0.5555555555555556,0.1111111111111111,0.1666666666666666,2.8333333333333335,,0.0094444444444444,3.8333333333333335,0.0555555555555555,3.0,,3.0,3.0,3.0,3.0,3.0,,3.0,3,3.0,9.0,,9.0,9.0,9.0,9.0,9.0,,9.0,9,9.0
,,Sandeep ,,,Sandeep ,,,Sandeep ,Sandeep ,,,,2.0,,,2.0,,,2.0,2,,,,Defender,,,Defender,,,Defender,Defender,,,,,,,,,,,,,,,BLR,,,BLR,,,BLR,BLR,,,,Bengaluru Bulls,,,Bengaluru Bulls,,,Bengaluru Bulls,Bengaluru Bulls,,,,140.0,,,151.0,,,93.0,182,,,,1.0,,,1.0,,,0.5,1,,,,0.5,,,0.5,,,0.25,0.5,,,,1.0,,,1.0,,,1.0,1,,,,9.0,,,9.0,,,9.0,9,
Abolfazel Maghsodlo,,,Abolfazel Maghsodlo,,,Abolfazel Maghsodlo,,,Abolfazel Maghsodlo,,6.0,,,6.0,,,6.0,,,6,,Raider,,,Raider,,,Raider,,,Raider,,,,,,,,,,,,,GUJ,,,GUJ,,,GUJ,,,GUJ,,Gujarat Giants,,,Gujarat Giants,,,Gujarat Giants,,,Gujarat Giants,,82.0,,,84.0,,,86.0,,,151,,5.0,,,1.0,,,3.0,,,5,,0.8333333333333334,,,0.1666666666666666,,,0.5,,,0.8333333333333334,,31.0,,,31.0,,,31.0,,,31,,8.0,,,8.0,,,8.0,,,8,
Hadi Tajik,Hadi Tajik,Hadi Tajik,,,Hadi Tajik,Hadi Tajik,,Hadi Tajik,Hadi Tajik,,11.0,11.0,11.0,,,11.0,11.0,,11.0,11,,defender,defender,defender,,,defender,defender,,defender,defender,,,,,,,,,,,,,PUN,PUN,PUN,,,PUN,PUN,,PUN,PUN,,Puneri Paltan,Puneri Paltan,Puneri Paltan,,,Puneri Paltan,Puneri Paltan,,Puneri Paltan,Puneri Paltan,,117.0,60.0,50.0,,,53.0,109.0,,42.0,104,,1.0,1.0,15.0,,,16.0,1.0,,1.45,17,,0.0909090909090909,0.0909090909090909,1.3636363636363635,,,1.4545454545454546,0.0909090909090909,,0.1318181818181818,1.5454545454545454,,7.0,7.0,7.0,,,7.0,7.0,,7.0,7,,9.0,9.0,9.0,,,9.0,9.0,,9.0,9,
Anil Kumar,Anil Kumar,Anil Kumar,,,Anil Kumar,Anil Kumar,,Anil Kumar,Anil Kumar,,19.0,19.0,19.0,,,19.0,19.0,,19.0,19,,,,,,,,,,,,,,,,,,,,,,,,DEL,DEL,DEL,,,DEL,DEL,,DEL,DEL,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,,118.0,61.0,27.0,,,30.0,110.0,,29.0,75,,1.0,1.0,38.0,,,39.0,1.0,,2.05,40,,0.0526315789473684,0.0526315789473684,2.0,,,2.0526315789473686,0.0526315789473684,,0.1078947368421052,2.1052631578947367,,2.0,2.0,2.0,,,2.0,2.0,,2.0,2,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0,
Pawan Kumar,Pawan Kumar,Pawan Kumar,Pawan Kumar,Pawan Kumar,Pawan Kumar,Pawan Kumar,,Pawan Kumar,Pawan Kumar,Pawan Kumar,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,24.0,24,24.0,raider,raider,raider,raider,raider,raider,raider,,raider,raider,raider,,,,,,,,,,,,BLR,BLR,BLR,BLR,BLR,BLR,BLR,,BLR,BLR,BLR,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,1.0,62.0,59.0,13.0,2.0,59.0,1.0,,91.0,1,2.0,346.0,1.0,13.0,18.0,11.0,14.0,262.0,,0.58,360,18.0,14.416666666666666,0.0416666666666666,0.5416666666666666,0.75,0.4583333333333333,0.5833333333333334,10.916666666666666,,0.0241666666666666,15.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1,1.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,8.0,8,8.0
Nitin Tomar,Nitin Tomar,Nitin Tomar,Nitin Tomar,,Nitin Tomar,Nitin Tomar,,Nitin Tomar,Nitin Tomar,Nitin Tomar,15.0,15.0,15.0,15.0,,15.0,15.0,,15.0,15,15.0,raider,raider,raider,raider,,raider,raider,,raider,raider,raider,,,,,,,,,,,,PUN,PUN,PUN,PUN,,PUN,PUN,,PUN,PUN,PUN,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,Puneri Paltan,Puneri Paltan,,Puneri Paltan,Puneri Paltan,Puneri Paltan,28.0,63.0,78.0,85.0,,75.0,25.0,,92.0,34,31.0,65.0,1.0,7.0,1.0,,8.0,59.0,,0.53,73,1.0,4.333333333333333,0.0666666666666666,0.4666666666666667,0.0666666666666666,,0.5333333333333333,3.933333333333333,,0.0353333333333333,4.866666666666666,0.0666666666666666,7.0,7.0,7.0,7.0,,7.0,7.0,,7.0,7,7.0,8.0,8.0,8.0,8.0,,8.0,8.0,,8.0,8,8.0
Surjeet Singh,Surjeet Singh,Surjeet Singh,,,Surjeet Singh,Surjeet Singh,Surjeet Singh,Surjeet Singh,Surjeet Singh,,21.0,21.0,21.0,,,21.0,21.0,21.0,21.0,21,,Defender,Defender,Defender,,,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,,PUN,PUN,PUN,,,PUN,PUN,PUN,PUN,PUN,,Puneri Paltan,Puneri Paltan,Puneri Paltan,,,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,107.0,9.0,8.0,,,7.0,111.0,1.0,6.0,40,,2.0,7.0,56.0,,,63.0,1.0,7.0,3.0,65,,0.0952380952380952,0.3333333333333333,2.6666666666666665,,,3.0,0.0476190476190476,0.3333333333333333,0.1428571428571428,3.0952380952380953,,7.0,7.0,7.0,,,7.0,7.0,7.0,7.0,7,,9.0,9.0,9.0,,,9.0,9.0,9.0,9.0,9,
