Team Line Up,,,,
Team Name,Player Name,Position,Total Played,Total Starts
Puneri Paltan,Aditya Shinde,Null,6,3
Puneri Paltan,Alankar Patil,Null,3,2
Puneri Paltan,Saurabh,Null,2,1
Puneri Paltan,Govind Gurjar,Null,2,1
Puneri Paltan,Harsh Lad,Null,1,1
Puneri Paltan,D MahindraPrasad,Null,1,1
Puneri Paltan,Akash Chaudhary,Null,1,1
Tamil Thalaivas,Sahil Gulia,Null,23,23
Tamil Thalaivas,Narender,Null,23,23
Tamil Thalaivas,M. Abishek,Null,23,23
Tamil Thalaivas,Himanshu,Null,23,18
Tamil Thalaivas,Mohit,Null,22,22
Tamil Thalaivas,Ajinkya Pawar,Null,22,20
Tamil Thalaivas,Himanshu Singh,Null,18,6
Tamil Thalaivas,Sagar,Null,17,17
Tamil Thalaivas,Visvanath V,Null,11,4
Tamil Thalaivas,Sachin,Null,9,2
Tamil Thalaivas,Arpit Saroha,Null,8,6
Tamil Thalaivas,Sahil,Null,7,1
Tamil Thalaivas,K. Abhimanyu,Null,6,1
Tamil Thalaivas,Aashish,Null,6,3
Tamil Thalaivas,Himanshu Narwal,Null,3,0
Tamil Thalaivas,Md. Arif Rabbani,Null,2,1
Tamil Thalaivas,Pawan Sehrawat,Null,1,1
Tamil Thalaivas,Thanushan Laxmamohan,Null,0,0
Tamil Thalaivas,Ankit,Null,0,0
Telugu Titans,Parvesh Bhainswal,Null,,21
Telugu Titans,Vishal Bhardwaj,Null,18,19
Telugu Titans,,Null,15,17
Telugu Titans,Siddharth Desai,,,12
Telugu Titans,,Raider,1,0
Telugu Titans,Abhishek Singh,Null,16,15
Telugu Titans,Vinay,Null,15,8
Telugu Titans,Mohsen Maghsoudlou,Null,15,10
Telugu Titans,Ankit,Null,15,9
Telugu Titans,Adarsh T,Null,15,7
Telugu Titans,Surjeet Singh,Null,13,10
Telugu Titans,Vijay Kumar,Null,10,7
Telugu Titans,Monu Goyat,Null,10,9
Telugu Titans,Prince D,Null,9,6
Telugu Titans,Nitin,Null,7,6
Telugu Titans,K Hanumanthu,Null,7,4
Telugu Titans,Muhammed Shihas,Null,6,4
Telugu Titans,Ravinder Pahal,Null,4,4
Telugu Titans,Mohit,Null,4,2
Telugu Titans,Mohit Pahal,Null,3,1
Telugu Titans,Hamid Nader,Null,3,2
Telugu Titans,Rajnish,Null,2,1
Telugu Titans,Palla Ramakrishna,Null,2,1
Telugu Titans,Sumit,Null,0,0
U Mumba,Harendra Kumar,Null,21,21
U Mumba,Ashish,Null,21,16
U Mumba,Mohit,Null,20,17
U Mumba,Rinku,Null,19,19
U Mumba,Jai Bhagwan,Null,19,16
U Mumba,Guman Singh,Null,18,18
U Mumba,Kiran Magar,Null,16,7
U Mumba,Rahul Sethpal,Null,15,8
U Mumba,Surinder Singh,Null,12,12
U Mumba,Heidarali Ekrami,Null,12,7
U Mumba,Pranay Rane,Null,11,3
U Mumba,Shivansh Thakur,Null,6,5
U Mumba,Shivam,Null,5,2
U Mumba,Kamlesh,Null,4,0
U Mumba,Ankush,Null,4,1
U Mumba,Satywan,Null,2,1
U Mumba,Vishal Mane,Null,1,1
U Mumba,Viraj Landge,Null,1,0
U Mumba,Sachin,Null,1,0
U Mumba,Rupesh,Null,1,0
U Mumba,Gholamabbas Korouki,Null,0,0
UP Yoddha,Ashu Singh,Null,23,21
UP Yoddha,Pardeep Narwal,Null,22,22
UP Yoddha,Nitesh Kumar,Null,22,22
UP Yoddha,Sumit,Null,21,21
UP Yoddha,Gurdeep,Null,20,14
UP Yoddha,Rohit Tomar,Null,18,13
UP Yoddha,Surender Gill,Null,14,14
UP Yoddha,Shubham Kumar,Null,11,9
UP Yoddha,Jaideep,Null,11,2
UP Yoddha,Durgesh Kumar,Null,10,6
UP Yoddha,Sandeep Narwal,Null,7,6
UP Yoddha,Anil Kumar,Null,7,2
UP Yoddha,Nitin Tomar,Null,5,2
UP Yoddha,Mahipal,Null,5,2
UP Yoddha,James Kamweti,Null,5,1
UP Yoddha,Rathan K,Null,4,0
UP Yoddha,Nitin Panwar,Null,4,2
UP Yoddha,Abozar Mighani,Null,4,1
UP Yoddha,Aman,Null,3,0
UP Yoddha,Gulveer Singh,Null,2,0
UP Yoddha,Babu M,Null,2,1
UP Yoddha,Nehal Desai,Null,1,0
