,Player_Name,Tournament,Team,Price,Status
118,sandeep dhull,Pro Kabaddi Season 5,Bengal Warriors,47.50 L,SOLD
119,sandeep dhull,Pro Kabaddi Season 4,Jaipur Pink Panthers,30.00 L,SOLD
120,rohit gulia,Pro Kabaddi Season 7,Tamil Thalaivas,55.00 L,SOLD
121,rohit gulia,Pro Kabaddi Season 6,Bengal Warriors,43.00 L,SOLD
122,rohit gulia,Pro Kabaddi Season 5,Bengal Warriors,47.50 L,SOLD
123,rohit gulia,Pro Kabaddi Season 4,Jaipur Pink Panthers,30.00 L,SOLD
124,sunil kumar,Pro Kabaddi Season 7,Tamil Thalaivas,55.00 L,SOLD
125,sunil kumar,Pro Kabaddi Season 6,Bengal Warriors,43.00 L,SOLD
126,sunil kumar,Pro Kabaddi Season 5,Bengal Warriors,47.50 L,SOLD
127,sunil kumar,Pro Kabaddi Season 4,Jaipur Pink Panthers,30.00 L,SOLD
128,monu goyat,Pro Kabaddi Season 7,Tamil Thalaivas,55.00 L,SOLD
129,monu goyat,Pro Kabaddi Season 6,Bengal Warriors,43.00 L,SOLD
130,monu goyat,Pro Kabaddi Season 5,Bengal Warriors,47.50 L,SOLD
131,monu goyat,Pro Kabaddi Season 4,Jaipur Pink Panthers,30.00 L,SOLD
132,ashu malik,Pro Kabaddi Season 7,Tamil Thalaivas,55.00 L,SOLD
133,ashu malik,Pro Kabaddi Season 6,Bengal Warriors,43.00 L,SOLD
134,ashu malik,Pro Kabaddi Season 5,Bengal Warriors,47.50 L,SOLD
135,ashu malik,Pro Kabaddi Season 4,Jaipur Pink Panthers,30.00 L,SOLD
136,ran singh,Pro Kabaddi Season 7,Tamil Thalaivas,55.00 L,SOLD
137,ran singh,Pro Kabaddi Season 6,Bengal Warriors,43.00 L,SOLD
138,ran singh,Pro Kabaddi Season 5,Bengal Warriors,47.50 L,SOLD
139,ran singh,Pro Kabaddi Season 4,Jaipur Pink Panthers,30.00 L,SOLD
140,parvesh bhainswal,Pro Kabaddi Season 8,Jaipur Pink Panthers,20.00 L,SOLD
141,parvesh bhainswal,Pro Kabaddi Season 7,Haryana Steelers,38.50 L,SOLD
142,parvesh bhainswal,Pro Kabaddi Season 6,U Mumba,46.00 L,SOLD
143,parvesh bhainswal,Pro Kabaddi Season 5,Puneri Paltan,46.00 L,SOLD
144,parvesh bhainswal,Pro Kabaddi Season 4,Patna Pirates,29.00 L,SOLD
145,girish maruti ernak,Pro Kabaddi Season 8,Jaipur Pink Panthers,20.00 L,SOLD
146,girish maruti ernak,Pro Kabaddi Season 7,Haryana Steelers,38.50 L,SOLD
147,girish maruti ernak,Pro Kabaddi Season 6,U Mumba,46.00 L,SOLD
148,girish maruti ernak,Pro Kabaddi Season 5,Puneri Paltan,46.00 L,SOLD
149,girish maruti ernak,Pro Kabaddi Season 4,Patna Pirates,29.00 L,SOLD
150,sukesh hegde,Pro Kabaddi Season 8,Jaipur Pink Panthers,20.00 L,SOLD
151,sukesh hegde,Pro Kabaddi Season 7,Haryana Steelers,38.50 L,SOLD
152,sukesh hegde,Pro Kabaddi Season 6,U Mumba,46.00 L,SOLD
153,sukesh hegde,Pro Kabaddi Season 5,Puneri Paltan,46.00 L,SOLD
154,sukesh hegde,Pro Kabaddi Season 4,Patna Pirates,29.00 L,SOLD
155,jang kun lee,Pro Kabaddi Season 8,Jaipur Pink Panthers,20.00 L,SOLD
156,jang kun lee,Pro Kabaddi Season 7,Haryana Steelers,38.50 L,SOLD
157,jang kun lee,Pro Kabaddi Season 6,U Mumba,46.00 L,SOLD
158,jang kun lee,Pro Kabaddi Season 5,Puneri Paltan,46.00 L,SOLD
159,jang kun lee,Pro Kabaddi Season 4,Patna Pirates,29.00 L,SOLD
