Player_Name,Tournament,Team,Price,Status
Ashu Malik,Pro Kabaddi Season 6,Bengal Warriors,43.00 L,SOLD
Ashu Malik,Pro Kabaddi Season 5,Bengal Warriors,47.50 L,SOLD
Ashu Malik,Pro Kabaddi Season 4,Jaipur Pink Panthers,30.00 L,SOLD
Ran Singh,Pro Kabaddi Season 7,Tamil Thalaivas,55.00 L,SOLD
Ran Singh,Pro Kabaddi Season 6,Bengal Warriors,43.00 L,SOLD
Ran Singh,Pro Kabaddi Season 5,Bengal Warriors,47.50 L,SOLD
Ran Singh,Pro Kabaddi Season 4,Jaipur Pink Panthers,30.00 L,SOLD
Parvesh Bhainswal,Pro Kabaddi Season 8,Jaipur Pink Panthers,20.00 L,SOLD
Parvesh Bhainswal,Pro Kabaddi Season 7,Haryana Steelers,38.50 L,SOLD
Parvesh Bhainswal,Pro Kabaddi Season 6,U Mumba,46.00 L,SOLD
Parvesh Bhainswal,Pro Kabaddi Season 5,Puneri Paltan,46.00 L,SOLD
Parvesh Bhainswal,Pro Kabaddi Season 4,Patna Pirates,29.00 L,SOLD
Girish Maruti Ernak,Pro Kabaddi Season 8,Jaipur Pink Panthers,20.00 L,SOLD
Girish Maruti Ernak,Pro Kabaddi Season 7,Haryana Steelers,38.50 L,SOLD
Girish Maruti Ernak,Pro Kabaddi Season 6,U Mumba,46.00 L,SOLD
Girish Maruti Ernak,Pro Kabaddi Season 5,Puneri Paltan,46.00 L,SOLD
Girish Maruti Ernak,Pro Kabaddi Season 4,Patna Pirates,29.00 L,SOLD
Sukesh Hegde,Pro Kabaddi Season 8,Jaipur Pink Panthers,20.00 L,SOLD
Sukesh Hegde,Pro Kabaddi Season 7,Haryana Steelers,38.50 L,SOLD
Sukesh Hegde,Pro Kabaddi Season 6,U Mumba,46.00 L,SOLD
Sukesh Hegde,Pro Kabaddi Season 5,Puneri Paltan,46.00 L,SOLD
Sukesh Hegde,Pro Kabaddi Season 4,Patna Pirates,29.00 L,SOLD
Jang Kun Lee,Pro Kabaddi Season 8,Jaipur Pink Panthers,20.00 L,SOLD
Jang Kun Lee,Pro Kabaddi Season 7,Haryana Steelers,38.50 L,SOLD
Jang Kun Lee,Pro Kabaddi Season 6,U Mumba,46.00 L,SOLD
Jang Kun Lee,Pro Kabaddi Season 5,Puneri Paltan,46.00 L,SOLD
Jang Kun Lee,Pro Kabaddi Season 4,Patna Pirates,29.00 L,SOLD
Chandran Ranjit,Pro Kabaddi Season 8,Jaipur Pink Panthers,20.00 L,SOLD
Chandran Ranjit,Pro Kabaddi Season 7,Haryana Steelers,38.50 L,SOLD
Chandran Ranjit,Pro Kabaddi Season 6,U Mumba,46.00 L,SOLD
Chandran Ranjit,Pro Kabaddi Season 5,Puneri Paltan,46.00 L,SOLD
Chandran Ranjit,Pro Kabaddi Season 4,Patna Pirates,29.00 L,SOLD
Vishal Bharadwaj,Pro Kabaddi Season 8,Jaipur Pink Panthers,20.00 L,SOLD
Vishal Bharadwaj,Pro Kabaddi Season 7,Haryana Steelers,38.50 L,SOLD
Vishal Bharadwaj,Pro Kabaddi Season 6,U Mumba,46.00 L,SOLD
Vishal Bharadwaj,Pro Kabaddi Season 5,Puneri Paltan,46.00 L,SOLD
Vishal Bharadwaj,Pro Kabaddi Season 4,Patna Pirates,29.00 L,SOLD
Rajesh Narwal,Pro Kabaddi Season 8,Jaipur Pink Panthers,20.00 L,SOLD
Rajesh Narwal,Pro Kabaddi Season 7,Haryana Steelers,38.50 L,SOLD
Rajesh Narwal,Pro Kabaddi Season 6,U Mumba,46.00 L,SOLD
Rajesh Narwal,Pro Kabaddi Season 5,Puneri Paltan,46.00 L,SOLD
Rajesh Narwal,Pro Kabaddi Season 4,Patna Pirates,29.00 L,SOLD
Prashanth Kumar Rai,Pro Kabaddi Season 8,Jaipur Pink Panthers,20.00 L,SOLD
Prashanth Kumar Rai,Pro Kabaddi Season 7,Haryana Steelers,38.50 L,SOLD
Prashanth Kumar Rai,Pro Kabaddi Season 6,U Mumba,46.00 L,SOLD
Prashanth Kumar Rai,Pro Kabaddi Season 5,Puneri Paltan,46.00 L,SOLD
