season,team_id,team_name,matches_played,team-average-raid-points_rank,team-avg-points-scored_rank,team-all-outs-conceded_rank,team-successful-tackle-percent_rank,team-super-raid_rank,team-raid_rank,team-successful-raid-percent_rank,team-dod-raid-points_rank,team-super-tackles_rank,team-raid-points_rank,team-successful-raids_rank,team-total-points-conceded_rank,team-tackle-points_rank,team-total-points_rank,team-successful-tackles-per-match_rank,team-all-outs-inflicted_rank,team-average-tackle-points_rank,team-successful-tackles_rank,team-all-outs-conceded_value,team-successful-tackle-percent_value,team-super-raid_value,team-raid_value,team-successful-raid-percent_value,team-dod-raid-points_value,team-super-tackles_value,Total_touch_points_value,Total_bonus_points_value,team-raid-points_value,team-successful-raids_value,team-total-points-conceded_value,team-tackle-points_value,team-total-points_value,team-successful-tackles_value,team-successful-tackles-per-match_value,team-all-outs-inflicted_value,team-average-raid-points_value,team-avg-points-scored_value,team-average-tackle-points_value,team-all-outs-conceded_per-match,team-super-raid_per-match,team-raid_per-match,team-dod-raid-points_per-match,team-super-tackles_per-match,team-total-touch-points-ext_per-match,team-total-bonus--points-ext_per-match,team-raid-points_per-match,team-successful-raids_per-match,team-total-points-conceded_per-match,team-tackle-points_per-match,team-total-points_per-match,team-all-outs-inflicted_per-match,team-successful-tackles_per-match
8,6,Patna Pirates,24,8,2,12,1,11,2,9,2,8,5,5,11,1,2,1,1,1,1,19,46.1,9,1014,37.48,90,17,372,97,469,380,746,289,876,272,11.33,38,19.54,36.5,12.04,0.792,0.375,42.25,3.75,0.708,15.5,4.042,19.542,15.833,31.083,12.042,36.5,1.583,11.333
8,7,Puneri Paltan,23,9,4,3,5,8,5,6,1,4,7,6,5,3,4,2,4,2,3,32,38.82,10,945,39.05,102,22,330,119,449,369,792,253,814,231,10.04,33,19.52,35.39,11,1.391,0.435,41.087,4.435,0.957,14.348,5.174,19.522,16.043,34.435,11,35.391,1.435,10.043
8,8,Telugu Titans,22,7,10,2,8,3,8,11,8,7,10,12,1,9,11,9,12,9,9,35,35.51,14,907,35.94,62,17,303,127,430,326,851,207,721,190,8.64,21,19.55,32.77,9.41,1.591,0.636,41.227,2.818,0.773,13.773,5.773,19.545,14.818,38.682,9.409,32.773,0.955,8.636
8,28,Haryana Steelers,22,6,7,6,3,5,9,5,9,6,9,8,8,6,8,6,6,6,6,28,39.25,11,898,39.2,56,19,322,118,440,352,769,218,741,199,9.05,26,20,33.68,9.91,1.273,0.5,40.818,2.545,0.864,14.636,5.364,20,16,34.955,9.909,33.682,1.182,9.045
8,29,Tamil Thalaivas,22,12,9,1,4,12,7,12,4,9,12,11,6,5,10,4,8,4,5,36,38.83,8,919,35.58,83,15,287,130,417,327,776,227,734,212,9.64,25,18.95,33.36,10.32,1.636,0.364,41.773,3.773,0.682,13.045,5.909,18.955,14.864,35.273,10.318,33.364,1.136,9.636
8,30,U.P. Yoddhas,24,3,3,11,6,1,1,8,5,1,2,3,3,4,3,7,2,5,4,24,37.85,22,1015,38.62,78,27,399,116,515,392,832,242,865,215,8.96,35,21.46,36.04,10.08,1,0.917,42.292,3.25,1.125,16.625,4.833,21.458,16.333,34.667,10.083,36.042,1.458,8.958
8,31,Gujarat Giants,23,10,12,8,10,6,6,10,7,5,8,9,9,10,9,10,11,10,11,27,34.97,11,941,36.98,68,22,338,106,444,348,755,207,737,185,8.04,23,19.3,32.04,9,1.174,0.478,40.913,2.957,0.957,14.696,4.609,19.304,15.13,32.826,9,32.043,1,8.043
9,1,Bengaluru Bulls,24,3,3,3,5,2,2,3,9,7,1,1,2,3,2,4,2,5,4,36,38.88,20,1028,42.8,60,18,415,135,550,440,895,254,946,236,9.83,45,22.92,39.42,10.58,1.5,0.833,42.833,2.5,0.75,17.292,5.625,22.917,18.333,37.292,10.583,39.417,1.875,9.833
9,2,Dabang Delhi K.C.,23,2,2,2,10,5,6,2,10,5,3,2,1,6,3,6,6,4,5,41,33.84,13,974,44.56,59,22,363,179,542,434,926,245,911,223,9.7,34,23.57,39.61,10.65,1.783,0.565,42.348,2.565,0.957,15.783,7.783,23.565,18.87,40.261,10.652,39.609,1.478,9.696
9,3,Jaipur Pink Panthers,24,6,1,12,1,8,3,4,6,9,4,3,10,1,1,1,1,1,1,18,46.36,11,1018,42.44,70,16,401,118,519,432,758,290,956,274,11.42,48,21.63,39.83,12.08,0.75,0.458,42.417,2.917,0.667,16.708,4.917,21.625,18,31.583,12.083,39.833,2,11.417
