Ankle Hold,17,,,Block,27,,,Ankle Hold,27,,,Ankle Hold,29,,,Push,33,,,Thigh Hold,30,,,Dive,47,,,Thigh Hold,29,,,Ankle Hold,31,,,Dive,29,,,Block,27,,,Block,29
Body Hold,15,,,Push,17,,,Dive,18,,,Push,18,,,Dive,17,,,Push,19,,,Push,29,,,Dive,25,,,Push,28,,,Block,24,,,Push,16,,,Chain_def,16
Block,15,,,Body Hold,15,,,Body Hold,12,,,Self-out,15,,,Chain_def,12,,,Body Hold,19,,,Chain_def,25,,,Chain_def,15,,,Body Hold,25,,,Push,23,,,Chain_def,10,,,Push,14
Chain_def,8,,,Chain_def,9,,,Self-out,4,,,Chain_def,14,,,Body Hold,9,,,Chain_def,9,,,Body Hold,9,,,Body Hold,7,,,Dive,24,,,Body Hold,20,,,Body Hold,10,,,Body Hold,4
Self-out,4,,,Self-out,3,,,Chain_def,2,,,Body Hold,8,,,Self-out,3,,,Self-out,2,,,Self-out,4,,,Self-out,5,,,Chain_def,22,,,Chain_def,5,,,Self-out,2,,,,
Follow,1,,,Follow,0,,,,,,,,,,,,,,,Follow,0,,,,,,,,,,,Self-out,3,,,Self-out,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Follow,0,,,Follow,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Type,Skill Name,Bengal Warriors,Bengaluru Bulls,Dabang Delhi,Gujarat Fortunegiants,Haryana Steelers,Jaipur Pink Panthers,Patna Pirates,Puneri Paltan,Tamil Thalaivas,Telugu Titans,U Mumba,UP Yoddha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking Skill,Running Hand Touch,44,47,76,71,44,56,51,43,43,67,31,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking Skill,Hand Touch,31,33,40,41,27,36,34,29,35,35,32,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking Skill,Toe Touch,13,14,16,17,10,9,8,17,19,18,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking Skill,Side Kick,9,9,10,5,18,9,14,11,4,10,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking Skill,Defender self out (lobby s..),20,7,12,12,7,10,6,10,9,15,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking Skill,Reverse Kick,7,6,2,10,5,5,6,6,3,3,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking Skill,Running Kick,6,4,5,2,2,5,6,2,1,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking Skill,Leg Thrust,3,1,,,1,2,3,,3,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Type,Skill Name,Bengal Warriors,Bengaluru Bulls,Dabang Delhi,Gujarat Fortunegiants,Haryana Steelers,Jaipur Pink Panthers,Patna Pirates,Puneri Paltan,Tamil Thalaivas,Telugu Titans,U Mumba,UP Yoddha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counter Action Skill,Release,65,96,70,46,64,66,84,82,72,67,72,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counter Action Skill,Struggle,33,38,51,39,41,64,38,45,29,32,45,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counter Action Skill,Out Turn,16,17,22,16,24,15,16,16,32,19,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counter Action Skill,Jump,28,16,9,19,15,15,12,12,17,14,16,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counter Action Skill,Create Gap,10,5,7,6,2,11,5,13,16,5,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counter Action Skill,In Turn,3,4,6,4,4,1,2,5,3,2,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counter Action Skill,Dubki,3,2,0,4,4,2,1,2,5,10,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counter Action Skill,Chain,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Type,Skill Name,Bengal Warriors,Bengaluru Bulls,Dabang Delhi,Gujarat Fortunegiants,Haryana Steelers,Jaipur Pink Panthers,Patna Pirates,Puneri Paltan,Tamil Thalaivas,Telugu Titans,U Mumba,UP Yoddha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Skill,Thigh Hold,52,63,51,41,43,30,56,29,38,42,66,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Skill,Ankle Hold,17,57,27,29,43,36,58,75,31,45,36,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Skill,Block,15,27,50,38,42,36,48,36,43,24,27,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Skill,Dive,39,46,18,37,17,50,47,25,24,29,30,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Skill,Push,19,17,28,18,33,19,29,43,28,23,16,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Skill,Body Hold,15,15,12,8,9,19,9,7,25,20,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Skill,Chain_def,8,9,2,14,12,9,25,15,22,5,10,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Skill,Self-out,4,3,4,15,3,2,4,5,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Skill,Follow,1,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
