team,season,Raider Name,Total Raids,Successful Raids,Unnamed: 3
Puneri Paltan,PKL-S8,Pawan Kumar,12,3,25%
Puneri Paltan,PKL-S8,Akash Shinde,11,9,82%
Puneri Paltan,PKL-S8,Abinesh Nadarajan,9,2,22%
Puneri Paltan,PKL-S8,Vishal Bhardwaj,5,0,0%
Puneri Paltan,PKL-S8,Victor Obiero,1,0,0%
Puneri Paltan,PKL-S8,Sombir,1,0,0%
Puneri Paltan,PKL-S8,Sanket Sawant,1,0,0%
Puneri Paltan,PKL-S8,Karamvir,1,0,0%
Puneri Paltan,PKL-S8,Baldev Singh,1,0,0%
Gujarat Fortunegiants,PKL-S8,Rakesh Sungroya,297,118,40%
Gujarat Fortunegiants,PKL-S8,Ajay Kumar,163,61,37%
Gujarat Fortunegiants,PKL-S8,Pardeep Kumar,148,55,37%
Gujarat Fortunegiants,PKL-S8,Rakesh Narwal,147,57,39%
Gujarat Fortunegiants,PKL-S8,Mahendra Rajput,119,47,39%
Gujarat Fortunegiants,PKL-S8,Rathan K,21,3,14%
Gujarat Fortunegiants,PKL-S8,Hadi Oshtorak,16,3,19%
Gujarat Fortunegiants,PKL-S8,Sunil Kumar,15,1,7%
Gujarat Fortunegiants,PKL-S8,Bhuvneshwar Gaur,5,2,40%
Gujarat Fortunegiants,PKL-S8,Sonu Singh,4,0,0%
Gujarat Fortunegiants,PKL-S8,Maninder Singh,4,1,25%
Gujarat Fortunegiants,PKL-S8,Harmanjit Singh,1,0,0%
Gujarat Fortunegiants,PKL-S8,Girish Maruti Ernak,1,0,0%
Patna Pirates,PKL-S8,Sachin Tanwar,381,144,38%
Patna Pirates,PKL-S8,Guman Singh,200,76,38%
Patna Pirates,PKL-S8,Monu Goyat,165,62,38%
Patna Pirates,PKL-S8,Prashanth Kumar Rai,163,73,45%
Patna Pirates,PKL-S8,Monu Sandhu,31,9,29%
Patna Pirates,PKL-S8,Shadloui Chianeh,21,5,24%
Patna Pirates,PKL-S8,Mohit,14,3,21%
Patna Pirates,PKL-S8,Selvamani K,10,4,40%
Patna Pirates,PKL-S8,Neeraj Kumar,9,0,0%
Patna Pirates,PKL-S8,Daniel Omondi Odhiambo,7,2,29%
Patna Pirates,PKL-S8,Shubham Shinde,6,1,17%
Patna Pirates,PKL-S8,Rohit,5,1,20%
Patna Pirates,PKL-S8,C Sajin,1,0,0%
Patna Pirates,PKL-S8,Balaji D,1,0,0%
Bengal Warriors,PKL-S8,Maninder Singh,401,197,49%
Bengal Warriors,PKL-S8,Esmaeil Nabibakhsh,185,67,36%
Bengal Warriors,PKL-S8,Sukesh Hegde,128,43,34%
Bengal Warriors,PKL-S8,Akash Pikalmunde,39,12,31%
Bengal Warriors,PKL-S8,Manoj Gowda,37,10,27%
Bengal Warriors,PKL-S8,Rohit,36,12,33%
Bengal Warriors,PKL-S8,Ravindra Kumawat,33,7,21%
Bengal Warriors,PKL-S8,Anand V,12,2,17%
Bengal Warriors,PKL-S8,Ran Singh,9,2,22%
Bengal Warriors,PKL-S8,Rishank Devadiga,8,1,13%
Bengal Warriors,PKL-S8,Rinku Narwal,1,0,0%
Bengal Warriors,PKL-S8,Parveen Satpal,1,0,0%
Bengal Warriors,PKL-S8,Amit Nirwal,1,0,0%
Bengal Warriors,PKL-S8,Abozar Mohajermighani,1,0,0%
Tamil Thalaivas,PKL-S8,Manjeet,325,136,42%
Tamil Thalaivas,PKL-S8,Ajinkya Pawar,213,83,39%
Tamil Thalaivas,PKL-S8,Bhavani Rajput,111,33,30%
Tamil Thalaivas,PKL-S8,Himanshu,78,30,38%
Tamil Thalaivas,PKL-S8,Athul MS,73,21,29%
Tamil Thalaivas,PKL-S8,K Prapanjan,59,17,29%
Tamil Thalaivas,PKL-S8,Himanshu Singh,23,5,22%
Tamil Thalaivas,PKL-S8,Surjeet Singh,18,1,6%
Tamil Thalaivas,PKL-S8,Sandaruwan Asiri,8,1,13%
Tamil Thalaivas,PKL-S8,Mohit,7,0,0%
Tamil Thalaivas,PKL-S8,Anwar Saheed Baba,2,0,0%
Tamil Thalaivas,PKL-S8,Sagar Krishna,1,0,0%
Tamil Thalaivas,PKL-S8,Sagar,1,0,0%
Haryana Steeler,PKL-S8,Vikash Kandola,356,147,41%
Haryana Steeler,PKL-S8,Meetu,192,67,35%
Haryana Steeler,PKL-S8,Rohit Gulia,113,43,38%
Haryana Steeler,PKL-S8,Ashish,102,43,42%
Haryana Steeler,PKL-S8,Vinay,96,48,50%
Haryana Steeler,PKL-S8,Jaideep,14,0,0%
Haryana Steeler,PKL-S8,Surender Nada,12,2,17%
Haryana Steeler,PKL-S8,Mohammad Esmaeil,6,1,17%
Haryana Steeler,PKL-S8,Rajesh Narwal,4,0,0%
Haryana Steeler,PKL-S8,Vijay Kumar,1,1,100%
Haryana Steeler,PKL-S8,Ravi Kumar,1,0,0%
Haryana Steeler,PKL-S8,Ajay Ghanghas,1,0,0%
Telugu Titans,PKL-S8,Ankit Beniwal,238,87,37%
Telugu Titans,PKL-S8,Rajnish,190,86,45%
Telugu Titans,PKL-S8,Adarsh T,147,55,37%
Telugu Titans,PKL-S8,Galla Raju,92,31,34%
Telugu Titans,PKL-S8,Rakesh Gowda,83,28,34%
Telugu Titans,PKL-S8,Siddharth Desai,49,22,45%
Telugu Titans,PKL-S8,Rohit Kumar,49,12,24%
Telugu Titans,PKL-S8,Surinder Singh,15,0,0%
Telugu Titans,PKL-S8,Muhammed Shihas S,12,1,8%
Telugu Titans,PKL-S8,Prince D,10,2,20%
Telugu Titans,PKL-S8,Hyunsu Park,6,2,33%
Telugu Titans,PKL-S8,Amit Chauhan,5,0,0%
Telugu Titans,PKL-S8,Sandeep Kandola,3,0,0%
Telugu Titans,PKL-S8,Ruturaj Koravi,3,0,0%
Telugu Titans,PKL-S8,Akash Choudhary,3,0,0%
Telugu Titans,PKL-S8,C. Arun,2,0,0%
Bengaluru Bulls,PKL-S8,Pawan Sehrawat,478,250,52%
Bengaluru Bulls,PKL-S8,Bharat Naresh,196,98,50%
Bengaluru Bulls,PKL-S8,Chandran Ranjit,185,61,33%
Bengaluru Bulls,PKL-S8,Deepak Narwal,45,12,27%
Bengaluru Bulls,PKL-S8,More GB,40,3,8%
Bengaluru Bulls,PKL-S8,Dong Geon Lee,14,6,43%
Bengaluru Bulls,PKL-S8,Mahender Singh,12,0,0%
Bengaluru Bulls,PKL-S8,Mohit Sehrawat,11,0,0%
Bengaluru Bulls,PKL-S8,Abolfazl Maghsodloumah..,6,2,33%
Bengaluru Bulls,PKL-S8,Aman,3,1,33%
Bengaluru Bulls,PKL-S8,Saurabh Nandal,2,0,0%
