Player_Name,Player_Link,Tournament,Team,Price,Status
Mohammadreza Shadloui Chiyaneh,https://www.kabaddiadda.com/player/mohammadreza-shadloui-chiyaneh-5004439?tab=auction,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
Mohammadreza Shadloui Chiyaneh,https://www.kabaddiadda.com/player/mohammadreza-shadloui-chiyaneh-5004439?tab=auction,Pro Kabaddi Season 8,Bengal Warriors,30.50 L,SOLD
Mohammadreza Shadloui Chiyaneh,https://www.kabaddiadda.com/player/mohammadreza-shadloui-chiyaneh-5004439?tab=auction,Pro Kabaddi Season 7,Telugu Titans,75.00 L,FBM
Mohammadreza Shadloui Chiyaneh,https://www.kabaddiadda.com/player/mohammadreza-shadloui-chiyaneh-5004439?tab=auction,Pro Kabaddi Season 6,Telugu Titans,76.00 L,SOLD
Mohammadreza Shadloui Chiyaneh,https://www.kabaddiadda.com/player/mohammadreza-shadloui-chiyaneh-5004439?tab=auction,Pro Kabaddi Season 5,Gujarat Fortunegiants,50.00 L,SOLD
Sumit,https://www.kabaddiadda.com/player/sumit-1000870?tab=auction,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
Sumit,https://www.kabaddiadda.com/player/sumit-1000870?tab=auction,Pro Kabaddi Season 8,Bengal Warriors,30.50 L,SOLD
Sumit,https://www.kabaddiadda.com/player/sumit-1000870?tab=auction,Pro Kabaddi Season 7,Telugu Titans,75.00 L,FBM
Sumit,https://www.kabaddiadda.com/player/sumit-1000870?tab=auction,Pro Kabaddi Season 6,Telugu Titans,76.00 L,SOLD
Sumit,https://www.kabaddiadda.com/player/sumit-1000870?tab=auction,Pro Kabaddi Season 5,Gujarat Fortunegiants,50.00 L,SOLD
Monu,https://www.kabaddiadda.com/player/monu-1000146?tab=auction,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
Monu,https://www.kabaddiadda.com/player/monu-1000146?tab=auction,Pro Kabaddi Season 8,Bengal Warriors,30.50 L,SOLD
Monu,https://www.kabaddiadda.com/player/monu-1000146?tab=auction,Pro Kabaddi Season 7,Telugu Titans,75.00 L,FBM
Monu,https://www.kabaddiadda.com/player/monu-1000146?tab=auction,Pro Kabaddi Season 6,Telugu Titans,76.00 L,SOLD
Monu,https://www.kabaddiadda.com/player/monu-1000146?tab=auction,Pro Kabaddi Season 5,Gujarat Fortunegiants,50.00 L,SOLD
Sombir,https://www.kabaddiadda.com/player/sombir-1000196?tab=auction,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
Sombir,https://www.kabaddiadda.com/player/sombir-1000196?tab=auction,Pro Kabaddi Season 8,Bengal Warriors,30.50 L,SOLD
Sombir,https://www.kabaddiadda.com/player/sombir-1000196?tab=auction,Pro Kabaddi Season 7,Telugu Titans,75.00 L,FBM
Sombir,https://www.kabaddiadda.com/player/sombir-1000196?tab=auction,Pro Kabaddi Season 6,Telugu Titans,76.00 L,SOLD
Sombir,https://www.kabaddiadda.com/player/sombir-1000196?tab=auction,Pro Kabaddi Season 5,Gujarat Fortunegiants,50.00 L,SOLD
V  Ajith Kumar,https://www.kabaddiadda.com/player/v--ajith-kumar-1000535?tab=auction,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
V  Ajith Kumar,https://www.kabaddiadda.com/player/v--ajith-kumar-1000535?tab=auction,Pro Kabaddi Season 8,Bengal Warriors,30.50 L,SOLD
V  Ajith Kumar,https://www.kabaddiadda.com/player/v--ajith-kumar-1000535?tab=auction,Pro Kabaddi Season 7,Telugu Titans,75.00 L,FBM
V  Ajith Kumar,https://www.kabaddiadda.com/player/v--ajith-kumar-1000535?tab=auction,Pro Kabaddi Season 6,Telugu Titans,76.00 L,SOLD
V  Ajith Kumar,https://www.kabaddiadda.com/player/v--ajith-kumar-1000535?tab=auction,Pro Kabaddi Season 5,Gujarat Fortunegiants,50.00 L,SOLD
Abozar Mighani,https://www.kabaddiadda.com/player/abozar-mighani-1000060?tab=auction,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
Abozar Mighani,https://www.kabaddiadda.com/player/abozar-mighani-1000060?tab=auction,Pro Kabaddi Season 8,Bengal Warriors,30.50 L,SOLD
Abozar Mighani,https://www.kabaddiadda.com/player/abozar-mighani-1000060?tab=auction,Pro Kabaddi Season 7,Telugu Titans,75.00 L,FBM
Abozar Mighani,https://www.kabaddiadda.com/player/abozar-mighani-1000060?tab=auction,Pro Kabaddi Season 6,Telugu Titans,76.00 L,SOLD
Abozar Mighani,https://www.kabaddiadda.com/player/abozar-mighani-1000060?tab=auction,Pro Kabaddi Season 5,Gujarat Fortunegiants,50.00 L,SOLD
Krishan,https://www.kabaddiadda.com/player/krishan-5003587?tab=auction,Pro Kabaddi Season 8,Jaipur Pink Panthers,25.00 L,RETAINED
Krishan,https://www.kabaddiadda.com/player/krishan-5003587?tab=auction,Pro Kabaddi Season 7,Jaipur Pink Panthers,25.00 L,RETAINED
Krishan,https://www.kabaddiadda.com/player/krishan-5003587?tab=auction,Pro Kabaddi Season 6,Jaipur Pink Panthers,6.60 L,RETAINED
More G B,https://www.kabaddiadda.com/player/more-g-b-1000147?tab=auction,Pro Kabaddi Season 8,Jaipur Pink Panthers,25.00 L,RETAINED
More G B,https://www.kabaddiadda.com/player/more-g-b-1000147?tab=auction,Pro Kabaddi Season 7,Jaipur Pink Panthers,25.00 L,RETAINED
More G B,https://www.kabaddiadda.com/player/more-g-b-1000147?tab=auction,Pro Kabaddi Season 6,Jaipur Pink Panthers,6.60 L,RETAINED
Narender Hoshiyar,https://www.kabaddiadda.com/player/narender-hoshiyar-5003887?tab=auction,Pro Kabaddi Season 8,Jaipur Pink Panthers,25.00 L,RETAINED
Narender Hoshiyar,https://www.kabaddiadda.com/player/narender-hoshiyar-5003887?tab=auction,Pro Kabaddi Season 7,Jaipur Pink Panthers,25.00 L,RETAINED
Narender Hoshiyar,https://www.kabaddiadda.com/player/narender-hoshiyar-5003887?tab=auction,Pro Kabaddi Season 6,Jaipur Pink Panthers,6.60 L,RETAINED
Pankaj Mohite,https://www.kabaddiadda.com/player/pankaj-mohite-1000821?tab=auction,Pro Kabaddi Season 8,Jaipur Pink Panthers,25.00 L,RETAINED
Pankaj Mohite,https://www.kabaddiadda.com/player/pankaj-mohite-1000821?tab=auction,Pro Kabaddi Season 7,Jaipur Pink Panthers,25.00 L,RETAINED
Pankaj Mohite,https://www.kabaddiadda.com/player/pankaj-mohite-1000821?tab=auction,Pro Kabaddi Season 6,Jaipur Pink Panthers,6.60 L,RETAINED
Naveen Bazzad,https://www.kabaddiadda.com/player/naveen-bazzad-1000458?tab=auction,Pro Kabaddi Season 8,Jaipur Pink Panthers,25.00 L,RETAINED
Naveen Bazzad,https://www.kabaddiadda.com/player/naveen-bazzad-1000458?tab=auction,Pro Kabaddi Season 7,Jaipur Pink Panthers,25.00 L,RETAINED
Naveen Bazzad,https://www.kabaddiadda.com/player/naveen-bazzad-1000458?tab=auction,Pro Kabaddi Season 6,Jaipur Pink Panthers,6.60 L,RETAINED
Sagar,https://www.kabaddiadda.com/player/sagar-1000867?tab=auction,Pro Kabaddi Season 8,Jaipur Pink Panthers,25.00 L,RETAINED
Sagar,https://www.kabaddiadda.com/player/sagar-1000867?tab=auction,Pro Kabaddi Season 7,Jaipur Pink Panthers,25.00 L,RETAINED
Sagar,https://www.kabaddiadda.com/player/sagar-1000867?tab=auction,Pro Kabaddi Season 6,Jaipur Pink Panthers,6.60 L,RETAINED
Jaideep,https://www.kabaddiadda.com/player/jaideep-5002129?tab=auction,Pro Kabaddi Season 8,Jaipur Pink Panthers,25.00 L,RETAINED
Jaideep,https://www.kabaddiadda.com/player/jaideep-5002129?tab=auction,Pro Kabaddi Season 7,Jaipur Pink Panthers,25.00 L,RETAINED
Jaideep,https://www.kabaddiadda.com/player/jaideep-5002129?tab=auction,Pro Kabaddi Season 6,Jaipur Pink Panthers,6.60 L,RETAINED
Bharat Naresh,https://www.kabaddiadda.com/player/bharat-naresh-5004411?tab=auction,Pro Kabaddi Season 8,Jaipur Pink Panthers,25.00 L,RETAINED
Bharat Naresh,https://www.kabaddiadda.com/player/bharat-naresh-5004411?tab=auction,Pro Kabaddi Season 7,Jaipur Pink Panthers,25.00 L,RETAINED
Bharat Naresh,https://www.kabaddiadda.com/player/bharat-naresh-5004411?tab=auction,Pro Kabaddi Season 6,Jaipur Pink Panthers,6.60 L,RETAINED
Nilesh Salunke,https://www.kabaddiadda.com/player/nilesh-salunke-1000191?tab=auction,Pro Kabaddi Season 8,Jaipur Pink Panthers,25.00 L,RETAINED
Nilesh Salunke,https://www.kabaddiadda.com/player/nilesh-salunke-1000191?tab=auction,Pro Kabaddi Season 7,Jaipur Pink Panthers,25.00 L,RETAINED
Nilesh Salunke,https://www.kabaddiadda.com/player/nilesh-salunke-1000191?tab=auction,Pro Kabaddi Season 6,Jaipur Pink Panthers,6.60 L,RETAINED
Nitin Rawal,https://www.kabaddiadda.com/player/nitin-rawal-1000112?tab=auction,Pro Kabaddi Season 8,Jaipur Pink Panthers,25.00 L,RETAINED
Nitin Rawal,https://www.kabaddiadda.com/player/nitin-rawal-1000112?tab=auction,Pro Kabaddi Season 7,Jaipur Pink Panthers,25.00 L,RETAINED
Nitin Rawal,https://www.kabaddiadda.com/player/nitin-rawal-1000112?tab=auction,Pro Kabaddi Season 6,Jaipur Pink Panthers,6.60 L,RETAINED
Rajesh Mondal,https://www.kabaddiadda.com/player/rajesh-mondal-1000149?tab=auction,Pro Kabaddi Season 8,Gujarat Giants,15.00 L,SOLD
Rajesh Mondal,https://www.kabaddiadda.com/player/rajesh-mondal-1000149?tab=auction,Pro Kabaddi Season 6,Gujarat Fortunegiants,24.55 L,SOLD
Rajesh Mondal,https://www.kabaddiadda.com/player/rajesh-mondal-1000149?tab=auction,Pro Kabaddi Season 6,Gujarat Fortunegiants,24.60 L,RETAINED
Rajesh Mondal,https://www.kabaddiadda.com/player/rajesh-mondal-1000149?tab=auction,Pro Kabaddi Season 5,Gujarat Fortunegiants,25.00 L,SOLD
Rajesh Mondal,https://www.kabaddiadda.com/player/rajesh-mondal-1000149?tab=auction,Pro Kabaddi Season 4,Bengal Warriors,10.40 L,SOLD
Ankit Beniwal,https://www.kabaddiadda.com/player/ankit-beniwal-1000405?tab=auction,Pro Kabaddi Season 8,Gujarat Giants,15.00 L,SOLD
Ankit Beniwal,https://www.kabaddiadda.com/player/ankit-beniwal-1000405?tab=auction,Pro Kabaddi Season 6,Gujarat Fortunegiants,24.55 L,SOLD
Ankit Beniwal,https://www.kabaddiadda.com/player/ankit-beniwal-1000405?tab=auction,Pro Kabaddi Season 6,Gujarat Fortunegiants,24.60 L,RETAINED
Ankit Beniwal,https://www.kabaddiadda.com/player/ankit-beniwal-1000405?tab=auction,Pro Kabaddi Season 5,Gujarat Fortunegiants,25.00 L,SOLD
Ankit Beniwal,https://www.kabaddiadda.com/player/ankit-beniwal-1000405?tab=auction,Pro Kabaddi Season 4,Bengal Warriors,10.40 L,SOLD
Mohammad Esmaeil Nabibakhsh,https://www.kabaddiadda.com/player/mohammad-esmaeil-nabibakhsh-1000464?tab=auction,Pro Kabaddi Season 8,Gujarat Giants,15.00 L,SOLD
Mohammad Esmaeil Nabibakhsh,https://www.kabaddiadda.com/player/mohammad-esmaeil-nabibakhsh-1000464?tab=auction,Pro Kabaddi Season 6,Gujarat Fortunegiants,24.55 L,SOLD
Mohammad Esmaeil Nabibakhsh,https://www.kabaddiadda.com/player/mohammad-esmaeil-nabibakhsh-1000464?tab=auction,Pro Kabaddi Season 6,Gujarat Fortunegiants,24.60 L,RETAINED
Mohammad Esmaeil Nabibakhsh,https://www.kabaddiadda.com/player/mohammad-esmaeil-nabibakhsh-1000464?tab=auction,Pro Kabaddi Season 5,Gujarat Fortunegiants,25.00 L,SOLD
