season,player-super-tackles_player_name,player-raid-points_player_name,player-super-raids_player_name,high-5s_player_name,player-tackle-points_player_name,player-avg-tackle-points_player_name,player-dod-raid-points_player_name,player-total-points_player_name,player-successful-tackles_player_name,player-successful-raids_player_name,super-10s_player_name,player-super-tackles_match_played,player-raid-points_match_played,player-super-raids_match_played,high-5s_match_played,player-tackle-points_match_played,player-avg-tackle-points_match_played,player-dod-raid-points_match_played,player-total-points_match_played,player-successful-tackles_match_played,player-successful-raids_match_played,super-10s_match_played,player-super-tackles_position_name,player-raid-points_position_name,player-super-raids_position_name,high-5s_position_name,player-tackle-points_position_name,player-avg-tackle-points_position_name,player-dod-raid-points_position_name,player-total-points_position_name,player-successful-tackles_position_name,player-successful-raids_position_name,super-10s_position_name,player-super-tackles_team,player-raid-points_team,player-super-raids_team,high-5s_team,player-tackle-points_team,player-avg-tackle-points_team,player-dod-raid-points_team,player-total-points_team,player-successful-tackles_team,player-successful-raids_team,super-10s_team,player-super-tackles_team_name,player-raid-points_team_name,player-super-raids_team_name,high-5s_team_name,player-tackle-points_team_name,player-avg-tackle-points_team_name,player-dod-raid-points_team_name,player-total-points_team_name,player-successful-tackles_team_name,player-successful-raids_team_name,super-10s_team_name,player-super-tackles_team_full_name,player-raid-points_team_full_name,player-super-raids_team_full_name,high-5s_team_full_name,player-tackle-points_team_full_name,player-avg-tackle-points_team_full_name,player-dod-raid-points_team_full_name,player-total-points_team_full_name,player-successful-tackles_team_full_name,player-successful-raids_team_full_name,super-10s_team_full_name,player-super-tackles_rank,player-raid-points_rank,player-super-raids_rank,high-5s_rank,player-tackle-points_rank,player-avg-tackle-points_rank,player-dod-raid-points_rank,player-total-points_rank,player-successful-tackles_rank,player-successful-raids_rank,super-10s_rank,player-super-tackles_value,player-raid-points_value,player-super-raids_value,high-5s_value,player-tackle-points_value,player-avg-tackle-points_value,player-dod-raid-points_value,player-total-points_value,player-successful-tackles_value,player-successful-raids_value,super-10s_value,player-super-tackles_points_per_match,player-raid-points_points_per_match,player-super-raids_points_per_match,high-5s_points_per_match,player-tackle-points_points_per_match,player-avg-tackle-points_points_per_match,player-dod-raid-points_points_per_match,player-total-points_points_per_match,player-successful-tackles_points_per_match,player-successful-raids_points_per_match,super-10s_points_per_match,player-super-tackles_team_id,player-raid-points_team_id,player-super-raids_team_id,high-5s_team_id,player-tackle-points_team_id,player-avg-tackle-points_team_id,player-dod-raid-points_team_id,player-total-points_team_id,player-successful-tackles_team_id,player-successful-raids_team_id,super-10s_team_id,player-super-tackles_position_id,player-raid-points_position_id,player-super-raids_position_id,high-5s_position_id,player-tackle-points_position_id,player-avg-tackle-points_position_id,player-dod-raid-points_position_id,player-total-points_position_id,player-successful-tackles_position_id,player-successful-raids_position_id,super-10s_position_id
2,,Dinesh Kumar,,,,,Dinesh Kumar,Dinesh Kumar,,Dinesh Kumar,,,8,,,,,8,8,,8,,,All Rounder,,,,,All Rounder,All Rounder,,All Rounder,,,,,,,,,,,,,,KOL,,,,,KOL,KOL,,KOL,,,Bengal Warriors,,,,,Bengal Warriors,Bengal Warriors,,Bengal Warriors,,,30,,,,,43,51,,29,,,19,,,,,4,19,,17,,,2.375,,,,,0.5,2.375,,2.125,,,4,,,,,4,4,,4,,,0,,,,,0,0,,0,
2,Deepak Kumar,,,Deepak Kumar,Deepak Kumar,Deepak Kumar,,Deepak Kumar,Deepak Kumar,,,4,,,4,4,4,,4,4,,,Defender,,,Defender,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,KOL,,,KOL,KOL,KOL,,KOL,KOL,,,Bengal Warriors,,,Bengal Warriors,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,,,34,,,17,60,42,,96,60,,,1,,,1,5,1.25,,5,4,,,0.25,,,0.25,1.25,0.3125,,1.25,1,,,4,,,4,4,4,,4,4,,,9,,,9,9,9,,9,9,,
2,Vijin Thangadurai,,,,Vijin Thangadurai,Vijin Thangadurai,,Vijin Thangadurai,Vijin Thangadurai,,,7,,,,7,7,,7,7,,,Defender,,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,KOL,,,,KOL,KOL,,KOL,KOL,,,Bengal Warriors,,,,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,,,26,,,,30,28,,66,31,,,2,,,,13,1.86,,13,11,,,0.2857142857142857,,,,1.8571428571428572,0.2657142857142857,,1.8571428571428572,1.5714285714285714,,,4,,,,4,4,,4,4,,,9,,,,9,9,,9,9,,
2,,Sonu Narwal,Sonu Narwal,,,,Sonu Narwal,Sonu Narwal,,Sonu Narwal,Sonu Narwal,,11,11,,,,11,11,,11,11,,Raider,Raider,,,,Raider,Raider,,Raider,Raider,,,,,,,,,,,,,JAI,JAI,,,,JAI,JAI,,JAI,JAI,,Jaipur Pink Panthers,Jaipur Pink Panthers,,,,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,,15,30,,,,14,21,,13,9,,51,1,,,,12,51,,42,1,,4.636363636363637,0.090909091,,,,1.0909090909090908,4.636363636363637,,3.8181818181818183,0.090909091,,3,3,,,,3,3,,3,3,,8,8,,,,8,8,,8,8
2,C. Arun,,,,C. Arun,C. Arun,,C. Arun,C. Arun,,,8,,,,8,8,,8,8,,,Defender,,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,JAI,,,,JAI,JAI,,JAI,JAI,,,Jaipur Pink Panthers,,,,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,,,36,,,,36,37,,75,34,,,1,,,,11,1.38,,11,10,,,0.125,,,,1.375,0.1725,,1.375,1.25,,,3,,,,3,3,,3,3,,,9,,,,9,9,,9,9,,
2,,,,,Joginder Singh Narwal,Joginder Singh Narwal,,Joginder Singh Narwal,Joginder Singh Narwal,,,,,,,14,14,,14,14,,,,,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,,,,BLR,BLR,,BLR,BLR,,,,,,,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,,,,,,,15,18,,38,13,,,,,,,30,2.14,,30,30,,,,,,,2.142857142857143,0.1528571428571428,,2.142857142857143,2.142857142857143,,,,,,,1,1,,1,1,,,,,,,9,9,,9,9,,
2,,Ashish Chhokar,,,Ashish Chhokar,Ashish Chhokar,Ashish Chhokar,Ashish Chhokar,Ashish Chhokar,Ashish Chhokar,,,6,,,6,6,6,6,6,6,,,Raider,,,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,,BLR,,,BLR,BLR,BLR,BLR,BLR,BLR,,,Bengaluru Bulls,,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,,40,,,106,97,44,65,105,50,,,12,,,1,0.17,3,13,1,7,,,2,,,0.1666666666666666,0.028333333,0.5,2.1666666666666665,0.1666666666666666,1.1666666666666667,,,1,,,1,1,1,1,1,1,,,8,,,8,8,8,8,8,8,
2,,Pardeep Narwal,Pardeep Narwal,,,,Pardeep Narwal,Pardeep Narwal,,Pardeep Narwal,,,6,6,,,,6,6,,6,,,Raider,Raider,,,,Raider,Raider,,Raider,,,,,,,,,,,,,,BLR,BLR,,,,BLR,BLR,,BLR,,,Bengaluru Bulls,Bengaluru Bulls,,,,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,,,50,31,,,,42,85,,51,,,9,1,,,,4,9,,7,,,1.5,0.1666666666666666,,,,0.6666666666666666,1.5,,1.1666666666666667,,,1,1,,,,1,1,,1,,,8,8,,,,8,8,,8,
2,,Kazuhiro Takano,,,,,,Kazuhiro Takano,,Kazuhiro Takano,,,2,,,,,,2,,2,,,All Rounder,,,,,,All Rounder,,All Rounder,,,,,,,,,,,,,,JAI,,,,,,JAI,,JAI,,,Jaipur Pink Panthers,,,,,,Jaipur Pink Panthers,,Jaipur Pink Panthers,,,80,,,,,,125,,81,,,1,,,,,,1,,1,,,0.5,,,,,,0.5,,0.5,,,3,,,,,,3,,3,,,0,,,,,,0,,0,
2,,Mohammad Maghshoudulu,,,,,,Mohammad Maghshoudulu,,Mohammad Maghshoudulu,,,4,,,,,,4,,4,,,All Rounder,,,,,,All Rounder,,All Rounder,,,,,,,,,,,,,,JAI,,,,,,JAI,,JAI,,,Jaipur Pink Panthers,,,,,,Jaipur Pink Panthers,,Jaipur Pink Panthers,,,81,,,,,,126,,82,,,1,,,,,,1,,1,,,0.25,,,,,,0.25,,0.25,,,3,,,,,,3,,3,,,0,,,,,,0,,0,
