player-super-raids_player_name,player-total-points_player_name,super-10s_player_name,player-successful-raids_player_name,player-super-tackles_player_name,player-avg-tackle-points_player_name,player-dod-raid-points_player_name,player-raid-points_player_name,player-successful-tackles_player_name,high-5s_player_name,player-tackle-points_player_name,player-super-raids_match_played,player-total-points_match_played,super-10s_match_played,player-successful-raids_match_played,player-super-tackles_match_played,player-avg-tackle-points_match_played,player-dod-raid-points_match_played,player-raid-points_match_played,player-successful-tackles_match_played,high-5s_match_played,player-tackle-points_match_played,player-super-raids_position_name,player-total-points_position_name,super-10s_position_name,player-successful-raids_position_name,player-super-tackles_position_name,player-avg-tackle-points_position_name,player-dod-raid-points_position_name,player-raid-points_position_name,player-successful-tackles_position_name,high-5s_position_name,player-tackle-points_position_name,player-super-raids_team,player-total-points_team,super-10s_team,player-successful-raids_team,player-super-tackles_team,player-avg-tackle-points_team,player-dod-raid-points_team,player-raid-points_team,player-successful-tackles_team,high-5s_team,player-tackle-points_team,player-super-raids_team_name,player-total-points_team_name,super-10s_team_name,player-successful-raids_team_name,player-super-tackles_team_name,player-avg-tackle-points_team_name,player-dod-raid-points_team_name,player-raid-points_team_name,player-successful-tackles_team_name,high-5s_team_name,player-tackle-points_team_name,player-super-raids_team_full_name,player-total-points_team_full_name,super-10s_team_full_name,player-successful-raids_team_full_name,player-super-tackles_team_full_name,player-avg-tackle-points_team_full_name,player-dod-raid-points_team_full_name,player-raid-points_team_full_name,player-successful-tackles_team_full_name,high-5s_team_full_name,player-tackle-points_team_full_name,player-super-raids_rank,player-total-points_rank,super-10s_rank,player-successful-raids_rank,player-super-tackles_rank,player-avg-tackle-points_rank,player-dod-raid-points_rank,player-raid-points_rank,player-successful-tackles_rank,high-5s_rank,player-tackle-points_rank,player-super-raids_value,player-total-points_value,super-10s_value,player-successful-raids_value,player-super-tackles_value,player-avg-tackle-points_value,player-dod-raid-points_value,player-raid-points_value,player-successful-tackles_value,high-5s_value,player-tackle-points_value,player-super-raids_points_per_match,player-total-points_points_per_match,super-10s_points_per_match,player-successful-raids_points_per_match,player-super-tackles_points_per_match,player-avg-tackle-points_points_per_match,player-dod-raid-points_points_per_match,player-raid-points_points_per_match,player-successful-tackles_points_per_match,high-5s_points_per_match,player-tackle-points_points_per_match,player-super-raids_team_id,player-total-points_team_id,super-10s_team_id,player-successful-raids_team_id,player-super-tackles_team_id,player-avg-tackle-points_team_id,player-dod-raid-points_team_id,player-raid-points_team_id,player-successful-tackles_team_id,high-5s_team_id,player-tackle-points_team_id,player-super-raids_position_id,player-total-points_position_id,super-10s_position_id,player-successful-raids_position_id,player-super-tackles_position_id,player-avg-tackle-points_position_id,player-dod-raid-points_position_id,player-raid-points_position_id,player-successful-tackles_position_id,high-5s_position_id,player-tackle-points_position_id
,Ran Singh,,,Ran Singh,Ran Singh,,,Ran Singh,,Ran Singh,,8,,,8.0,8.0,,,8.0,,8.0,,All Rounder,,,All Rounder,All Rounder,,,All Rounder,,All Rounder,,,,,,,,,,,,,BLR,,,BLR,BLR,,,BLR,,BLR,,Bengaluru Bulls,,,Bengaluru Bulls,Bengaluru Bulls,,,Bengaluru Bulls,,Bengaluru Bulls,,167,,,44.0,102.0,,,118.0,,105.0,,5,,,2.0,0.63,,,3.0,,5.0,,0.625,,,0.25,0.07875,,,0.375,,0.625,,1,,,1.0,1.0,,,1.0,,1.0,,0,,,0.0,0.0,,,0.0,,0.0
,Girish Maruti Ernak,,,Girish Maruti Ernak,Girish Maruti Ernak,,,Girish Maruti Ernak,Girish Maruti Ernak,Girish Maruti Ernak,,18,,,18.0,18.0,,,18.0,18.0,18.0,,Defender - Left Corner,,,Defender - Left Corner,Defender - Left Corner,,,Defender - Left Corner,Defender - Left Corner,Defender - Left Corner,,,,,,,,,,,,,KOL,,,KOL,KOL,,,KOL,KOL,KOL,,Bengal Warriors,,,Bengal Warriors,Bengal Warriors,,,Bengal Warriors,Bengal Warriors,Bengal Warriors,,51,,,70.0,11.0,,,11.0,7.0,15.0,,51,,,1.0,2.83,,,50.0,4.0,51.0,,2.8333333333333335,,,0.0555555555555555,0.1572222222222222,,,2.7777777777777777,0.2222222222222222,2.8333333333333335,,4,,,4.0,4.0,,,4.0,4.0,4.0,,0,,,0.0,0.0,,,0.0,0.0,0.0
Mahendra Rajput,Mahendra Rajput,Mahendra Rajput,Mahendra Rajput,,,Mahendra Rajput,Mahendra Rajput,,,,15.0,15,15.0,15.0,,,15.0,15.0,,,,Raider,Raider,Raider,Raider,,,Raider,Raider,,,,,,,,,,,,,,,GUJ,GUJ,GUJ,GUJ,,,GUJ,GUJ,,,,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,,,Gujarat Giants,Gujarat Giants,,,,26.0,49,30.0,34.0,,,32.0,33.0,,,,3.0,54,1.0,38.0,,,8.0,54.0,,,,0.2,3.6,0.0666666666666666,2.533333333333333,,,0.5333333333333333,3.6,,,,31.0,31,31.0,31.0,,,31.0,31.0,,,,8.0,8,8.0,8.0,,,8.0,8.0,,,
,Vijin Thangadurai,,,,Vijin Thangadurai,,,Vijin Thangadurai,,Vijin Thangadurai,,4,,,,4.0,,,4.0,,4.0,,Defender,,,,Defender,,,Defender,,Defender,,,,,,,,,,,,,GUJ,,,,GUJ,,,GUJ,,GUJ,,Gujarat Giants,,,,Gujarat Giants,,,Gujarat Giants,,Gujarat Giants,,206,,,,146.0,,,155.0,,165.0,,1,,,,0.25,,,1.0,,1.0,,0.25,,,,0.0625,,,0.25,,0.25,,31,,,,31.0,,,31.0,,31.0,,9,,,,9.0,,,9.0,,9.0
,Joginder Narwal,,,Joginder Narwal,Joginder Narwal,,,Joginder Narwal,,Joginder Narwal,,8,,,8.0,8.0,,,8.0,,8.0,,Defender - Left Corner,,,Defender - Left Corner,Defender - Left Corner,,,Defender - Left Corner,,Defender - Left Corner,,,,,,,,,,,,,HAR,,,HAR,HAR,,,HAR,,HAR,,Haryana Steelers,,,Haryana Steelers,Haryana Steelers,,,Haryana Steelers,,Haryana Steelers,,159,,,71.0,92.0,,,99.0,,96.0,,6,,,1.0,0.75,,,5.0,,6.0,,0.75,,,0.125,0.09375,,,0.625,,0.75,,28,,,28.0,28.0,,,28.0,,28.0,,0,,,0.0,0.0,,,0.0,,0.0
Pardeep Narwal,Pardeep Narwal,Pardeep Narwal,Pardeep Narwal,,,Pardeep Narwal,Pardeep Narwal,,,,22.0,22,22.0,22.0,,,22.0,22.0,,,,Raider,Raider,Raider,Raider,,,Raider,Raider,,,,,,,,,,,,,,,U.P.,U.P.,U.P.,U.P.,,,U.P.,U.P.,,,,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,,,U.P. Yoddhas,U.P. Yoddhas,,,,3.0,6,6.0,6.0,,,6.0,6.0,,,,9.0,220,11.0,161.0,,,29.0,220.0,,,,0.4090909090909091,10.0,0.5,7.318181818181818,,,1.318181818181818,10.0,,,,30.0,30,30.0,30.0,,,30.0,30.0,,,,8.0,8,8.0,8.0,,,8.0,8.0,,,
,Ashish Sangwan,,,Ashish Sangwan,Ashish Sangwan,,Ashish Sangwan,Ashish Sangwan,,Ashish Sangwan,,7,,,7.0,7.0,,7.0,7.0,,7.0,,All-Rounder,,,All-Rounder,All-Rounder,,All-Rounder,All-Rounder,,All-Rounder,,,,,,,,,,,,,KOL,,,KOL,KOL,,KOL,KOL,,KOL,,Bengal Warriors,,,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,,Bengal Warriors,,126,,,45.0,48.0,,107.0,76.0,,71.0,,12,,,2.0,1.57,,1.0,9.0,,11.0,,1.7142857142857142,,,0.2857142857142857,0.2242857142857142,,0.1428571428571428,1.2857142857142858,,1.5714285714285714,,4,,,4.0,4.0,,4.0,4.0,,4.0,,0,,,0.0,0.0,,0.0,0.0,,0.0
Rakesh Narwal,Rakesh Narwal,Rakesh Narwal,Rakesh Narwal,,Rakesh Narwal,Rakesh Narwal,Rakesh Narwal,Rakesh Narwal,,Rakesh Narwal,15.0,15,15.0,15.0,,15.0,15.0,15.0,15.0,,15.0,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,,Raider,,,,,,,,,,,,HAR,HAR,HAR,HAR,,HAR,HAR,HAR,HAR,,HAR,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,,Haryana Steelers,28.0,52,32.0,36.0,,165.0,40.0,35.0,142.0,,144.0,2.0,50,1.0,32.0,,0.13,6.0,48.0,2.0,,2.0,0.1333333333333333,3.3333333333333335,0.0666666666666666,2.1333333333333333,,0.0086666666666666,0.4,3.2,0.1333333333333333,,0.1333333333333333,28.0,28,28.0,28.0,,28.0,28.0,28.0,28.0,,28.0,8.0,8,8.0,8.0,,8.0,8.0,8.0,8.0,,8.0
,Amit Hooda,,,Amit Hooda,Amit Hooda,,,Amit Hooda,Amit Hooda,Amit Hooda,,13,,,13.0,13.0,,,13.0,13.0,13.0,,Defender - Right Corner,,,Defender - Right Corner,Defender - Right Corner,,,Defender - Right Corner,Defender - Right Corner,Defender - Right Corner,,,,,,,,,,,,,DEL,,,DEL,DEL,,,DEL,DEL,DEL,,Dabang Delhi K.C.,,,Dabang Delhi K.C.,Dabang Delhi K.C.,,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,92,,,46.0,25.0,,,39.0,19.0,39.0,,29,,,2.0,2.23,,,27.0,2.0,29.0,,2.230769230769231,,,0.1538461538461538,0.1715384615384615,,,2.076923076923077,0.1538461538461538,2.230769230769231,,2,,,2.0,2.0,,,2.0,2.0,2.0,,0,,,0.0,0.0,,,0.0,0.0,0.0
K. Prapanjan,K. Prapanjan,,K. Prapanjan,,,K. Prapanjan,K. Prapanjan,,,,13.0,13,,13.0,,,13.0,13.0,,,,Raider,Raider,,Raider,,,Raider,Raider,,,,,,,,,,,,,,,HAR,HAR,,HAR,,,HAR,HAR,,,,Haryana Steelers,Haryana Steelers,,Haryana Steelers,,,Haryana Steelers,Haryana Steelers,,,,52.0,66,,37.0,,,68.0,39.0,,,,1.0,40,,30.0,,,1.0,40.0,,,,0.0769230769230769,3.076923076923077,,2.3076923076923075,,,0.0769230769230769,3.076923076923077,,,,28.0,28,,28.0,,,28.0,28.0,,,,8.0,8,,8.0,,,8.0,8.0,,,
,Ravi Kumar,,,Ravi Kumar,Ravi Kumar,,,Ravi Kumar,,Ravi Kumar,,19,,,19.0,19.0,,,19.0,,19.0,,Defender - Right Cover,,,Defender - Right Cover,Defender - Right Cover,,,Defender - Right Cover,,Defender - Right Cover,,,,,,,,,,,,,DEL,,,DEL,DEL,,,DEL,,DEL,,Dabang Delhi K.C.,,,Dabang Delhi K.C.,Dabang Delhi K.C.,,,Dabang Delhi K.C.,,Dabang Delhi K.C.,,101,,,68.0,72.0,,,48.0,,50.0,,22,,,1.0,1.16,,,21.0,,22.0,,1.1578947368421053,,,0.0526315789473684,0.0610526315789473,,,1.105263157894737,,1.1578947368421053,,2,,,2.0,2.0,,,2.0,,2.0,,0,,,0.0,0.0,,,0.0,,0.0
,Sandeep Kandola,,,,Sandeep Kandola,,,Sandeep Kandola,,Sandeep Kandola,,14,,,,14.0,,,14.0,,14.0,,Defender,,,,Defender,,,Defender,,Defender,,,,,,,,,,,,,GUJ,,,,GUJ,,,GUJ,,GUJ,,Gujarat Giants,,,,Gujarat Giants,,,Gujarat Giants,,Gujarat Giants,,160,,,,121.0,,,91.0,,98.0,,6,,,,0.43,,,6.0,,6.0,,0.4285714285714285,,,,0.0307142857142857,,,0.4285714285714285,,0.4285714285714285,,31,,,,31.0,,,31.0,,31.0,,9,,,,9.0,,,9.0,,9.0
,Fazel Atrachali,,,Fazel Atrachali,Fazel Atrachali,,,Fazel Atrachali,Fazel Atrachali,Fazel Atrachali,,21,,,21.0,21.0,,,21.0,21.0,21.0,,Defender,,,Defender,Defender,,,Defender,Defender,Defender,,,,,,,,,,,,,PUN,,,PUN,PUN,,,PUN,PUN,PUN,,Puneri Paltan,,,Puneri Paltan,Puneri Paltan,,,Puneri Paltan,Puneri Paltan,Puneri Paltan,,47,,,69.0,13.0,,,7.0,8.0,10.0,,56,,,1.0,2.67,,,55.0,3.0,56.0,,2.6666666666666665,,,0.0476190476190476,0.1271428571428571,,,2.619047619047619,0.1428571428571428,2.6666666666666665,,7,,,7.0,7.0,,,7.0,7.0,7.0,,9,,,9.0,9.0,,,9.0,9.0,9.0
,Sandeep Dhull,,,Sandeep Dhull,Sandeep Dhull,,,Sandeep Dhull,Sandeep Dhull,Sandeep Dhull,,17,,,17.0,17.0,,,17.0,17.0,17.0,,Defender - Left Corner,,,Defender - Left Corner,Defender - Left Corner,,,Defender - Left Corner,Defender - Left Corner,Defender - Left Corner,,,,,,,,,,,,,DEL,,,DEL,DEL,,,DEL,DEL,DEL,,Dabang Delhi K.C.,,,Dabang Delhi K.C.,Dabang Delhi K.C.,,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,87,,,22.0,37.0,,,38.0,32.0,36.0,,31,,,3.0,1.82,,,28.0,1.0,31.0,,1.8235294117647056,,,0.1764705882352941,0.1070588235294117,,,1.6470588235294117,0.0588235294117647,1.8235294117647056,,2,,,2.0,2.0,,,2.0,2.0,2.0,,0,,,0.0,0.0,,,0.0,0.0,0.0
,Sandeep,,,,Sandeep,,,Sandeep,,Sandeep,,3,,,,3.0,,,3.0,,3.0,,Defender,,,,Defender,,,Defender,,Defender,,,,,,,,,,,,,GUJ,,,,GUJ,,,GUJ,,GUJ,,Gujarat Giants,,,,Gujarat Giants,,,Gujarat Giants,,Gujarat Giants,,210,,,,133.0,,,157.0,,166.0,,1,,,,0.33,,,1.0,,1.0,,0.3333333333333333,,,,0.11,,,0.3333333333333333,,0.3333333333333333,,31,,,,31.0,,,31.0,,31.0,,9,,,,9.0,,,9.0,,9.0
,Anil Kumar,,,,Anil Kumar,,,Anil Kumar,,Anil Kumar,,5,,,,5.0,,,5.0,,5.0,,Defender - Left Cover,,,,Defender - Left Cover,,,Defender - Left Cover,,Defender - Left Cover,,,,,,,,,,,,,DEL,,,,DEL,,,DEL,,DEL,,Dabang Delhi K.C.,,,,Dabang Delhi K.C.,,,Dabang Delhi K.C.,,Dabang Delhi K.C.,,184,,,,104.0,,,119.0,,125.0,,3,,,,0.6,,,3.0,,3.0,,0.6,,,,0.12,,,0.6,,0.6,,2,,,,2.0,,,2.0,,2.0,,0,,,,0.0,,,0.0,,0.0
,Pawan Sehrawat,,Pawan Sehrawat,,,,Pawan Sehrawat,,,,,1,,1.0,,,,1.0,,,,,Raider,,Raider,,,,Raider,,,,,,,,,,,,,,,,CHE,,CHE,,,,CHE,,,,,Tamil Thalaivas,,Tamil Thalaivas,,,,Tamil Thalaivas,,,,,208,,101.0,,,,108.0,,,,,1,,1.0,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,,,29,,29.0,,,,29.0,,,,,8,,8.0,,,,8.0,,,
,Nitin Tomar,,Nitin Tomar,,,,Nitin Tomar,,,,,5,,5.0,,,,5.0,,,,,Raider,,Raider,,,,Raider,,,,,,,,,,,,,,,,U.P.,,U.P.,,,,U.P.,,,,,U.P. Yoddhas,,U.P. Yoddhas,,,,U.P. Yoddhas,,,,,209,,102.0,,,,109.0,,,,,1,,1.0,,,,1.0,,,,,0.2,,0.2,,,,0.2,,,,,30,,30.0,,,,30.0,,,,,8,,8.0,,,,8.0,,,
,Surjeet Singh,,Surjeet Singh,Surjeet Singh,Surjeet Singh,,Surjeet Singh,Surjeet Singh,,Surjeet Singh,,13,,13.0,13.0,13.0,,13.0,13.0,,13.0,,Defender - Right Cover,,Defender - Right Cover,Defender - Right Cover,Defender - Right Cover,,Defender - Right Cover,Defender - Right Cover,,Defender - Right Cover,,,,,,,,,,,,,HYD,,HYD,HYD,HYD,,HYD,HYD,,HYD,,Telugu Titans,,Telugu Titans,Telugu Titans,Telugu Titans,,Telugu Titans,Telugu Titans,,Telugu Titans,,108,,103.0,43.0,62.0,,105.0,58.0,,59.0,,19,,1.0,2.0,1.31,,2.0,15.0,,17.0,,1.4615384615384617,,0.0769230769230769,0.1538461538461538,0.1007692307692307,,0.1538461538461538,1.1538461538461535,,1.3076923076923077,,8,,8.0,8.0,8.0,,8.0,8.0,,8.0,,0,,0.0,0.0,0.0,,0.0,0.0,,0.0
